sample,level,var,n_h,n_bounded,n_ar_sig,n_dm_sig,n_boot_sig,razao_ar_boot,razao_ar_dm
pre_covid,0.9,price_ipca_difusao,49,49,1,1,0,NA,1.1339
pre_covid,0.9,price_ipp,49,49,4,4,0,NA,1.13389
pre_covid,0.9,sp500_vix,49,49,15,16,0,NA,1.13414
pre_covid,0.9,spread_icc_fisica,49,49,13,16,0,NA,1.1343
pre_covid,0.9,spread_icc_juridica,49,49,0,5,0,NA,1.13433
pre_covid,0.9,trab_de_1_ano_a_menos_de_2_anos,49,49,15,17,0,NA,1.13426
pre_covid,0.9,trab_de_1_mes_a_menos_de_1_ano,49,49,14,16,0,NA,1.13433
pre_covid,0.9,trab_employment_central_west,49,49,2,2,0,NA,1.13443
pre_covid,0.9,trab_employment_north,49,49,8,13,0,NA,1.13396
pre_covid,0.9,trab_employment_northeast,49,49,11,15,0,NA,1.13405
pre_covid,0.9,trab_employment_south,49,49,1,3,0,NA,1.13411
pre_covid,0.9,trab_employment_southest,49,49,13,15,0,NA,1.13394
pre_covid,0.9,trab_hrs_trabalhadas_industria,49,49,9,13,0,NA,1.13392
pre_covid,0.9,trab_menos_de_1_mes,49,49,1,1,0,NA,1.13447
pre_covid,0.9,trab_min_wage,49,49,13,15,0,NA,1.13409
pre_covid,0.9,trab_pop_forca_trab,49,49,1,4,0,NA,1.13432
pre_covid,0.9,trab_pop_ocupada,49,49,11,16,0,NA,1.13433
pre_covid,0.9,trab_tx_desemprego,49,49,12,17,0,NA,1.13432
pre_covid,0.9,trab_x2_anos_ou_mais,49,49,2,2,0,NA,1.13424
pre_covid,0.9,vendas_servicos,49,49,13,16,0,NA,1.13421
pre_covid,0.9,vendas_varejo,49,49,17,20,0,NA,1.13418
pre_covid,0.9,yield_10y,49,49,1,1,0,NA,1.13471
pre_covid,0.9,yield_1y,49,49,7,8,0,NA,1.13403
pre_covid,0.9,yield_2y,49,49,3,4,0,NA,1.13427
pre_covid,0.9,yield_3m,49,49,11,12,0,NA,1.13379
pre_covid,0.9,yield_5y,49,49,1,1,0,NA,1.13449
pre_covid,0.9,yield_6m,49,49,10,12,0,NA,1.13388
pre_covid,0.95,asset_ibov,49,49,1,1,0,NA,1.20872
pre_covid,0.95,asset_idiv,49,49,1,1,0,NA,1.20876
pre_covid,0.95,asset_ifix,49,49,2,3,0,NA,1.21094
pre_covid,0.95,asset_ifnc,49,49,1,1,0,NA,1.20804
pre_covid,0.95,asset_imat,49,49,1,2,0,NA,1.21165
pre_covid,0.95,asset_imob,49,49,21,30,0,NA,1.20815
pre_covid,0.95,asset_mlcx,49,49,1,1,0,NA,1.20834
pre_covid,0.95,asset_smll,49,49,18,29,0,NA,1.20832
pre_covid,0.95,base_demand_deposit,49,49,5,14,0,NA,1.21222
pre_covid,0.95,base_m1,49,49,5,13,0,NA,1.21214
pre_covid,0.95,base_m2,49,49,0,0,0,NA,1.21099
pre_covid,0.95,base_m3,49,49,0,0,0,NA,1.20917
pre_covid,0.95,base_monetary_base,49,49,14,16,0,NA,1.21528
pre_covid,0.95,base_money_supply,49,49,5,11,0,NA,1.2119
pre_covid,0.95,base_savings_deposit,49,49,0,0,0,NA,1.21032
pre_covid,0.95,cambio_ars,49,49,0,0,0,NA,1.20944
pre_covid,0.95,cambio_cny,49,49,0,1,0,NA,1.20973
pre_covid,0.95,cambio_eur,49,49,0,0,0,NA,1.20995
pre_covid,0.95,cambio_inr,49,49,1,1,0,NA,1.2095
pre_covid,0.95,cambio_usd,49,49,1,1,0,NA,1.20973
pre_covid,0.95,capacidade_instalada_industria,49,49,5,8,0,NA,1.20878
pre_covid,0.95,cds_5y,49,49,1,1,0,NA,1.20901
pre_covid,0.95,commodity_agro,49,49,0,0,0,NA,1.20991
pre_covid,0.95,commodity_energia,49,49,3,4,0,NA,1.20877
pre_covid,0.95,commodity_metal,49,49,0,0,0,NA,1.20899
pre_covid,0.95,consumo_alcool,49,49,0,0,0,NA,1.2098
pre_covid,0.95,consumo_demais_derivados,49,49,5,13,0,NA,1.20901
pre_covid,0.95,consumo_gasolina,49,49,0,0,0,NA,1.20834
pre_covid,0.95,consumo_glp,49,49,3,5,0,NA,1.20883
pre_covid,0.95,consumo_oleo_combustivel,49,49,1,1,0,NA,1.20908
pre_covid,0.95,consumo_oleo_diesel,49,49,0,0,0,NA,1.20893
pre_covid,0.95,credit_outstanding,49,49,0,0,0,NA,1.21132
pre_covid,0.95,credito_agro,49,49,0,1,0,NA,1.21081
pre_covid,0.95,credito_comercio,49,49,0,0,0,NA,1.2107
pre_covid,0.95,credito_construcao,49,49,8,9,0,NA,1.20846
pre_covid,0.95,credito_industria_total,49,49,5,6,0,NA,1.20939
pre_covid,0.95,credito_pessoa_fisica,49,49,0,1,0,NA,1.21005
pre_covid,0.95,credito_transporte,49,49,0,1,0,NA,1.21202
pre_covid,0.95,embi_perc,49,49,1,1,0,NA,1.20916
pre_covid,0.95,energia_comercial,49,49,2,8,0,NA,1.20881
pre_covid,0.95,energia_industrial,49,49,9,14,0,NA,1.20879
pre_covid,0.95,energia_outros,49,49,2,7,0,NA,1.20892
pre_covid,0.95,energia_residencial,49,49,1,10,0,NA,1.20855
pre_covid,0.95,epu_brazil,49,49,0,0,0,NA,1.20924
pre_covid,0.95,epu_canada,49,49,10,12,0,NA,1.20933
pre_covid,0.95,epu_chile,49,49,9,13,0,NA,1.20871
pre_covid,0.95,epu_china,49,49,1,1,0,NA,1.20906
pre_covid,0.95,epu_germany,49,49,0,0,0,NA,1.20899
pre_covid,0.95,epu_india,49,49,0,0,0,NA,1.2084
pre_covid,0.95,epu_russia,49,49,1,5,0,NA,1.20945
pre_covid,0.95,epu_us,49,49,0,1,0,NA,1.20878
pre_covid,0.95,fin_inst_reserve_req,49,49,3,4,0,NA,1.20823
pre_covid,0.95,ibc_br,49,49,8,14,0,NA,1.20905
pre_covid,0.95,icc,49,49,3,8,0,NA,1.20884
pre_covid,0.95,ics,49,49,2,2,0,NA,1.20882
pre_covid,0.95,ind_automoveis,49,49,3,4,0,NA,1.20893
pre_covid,0.95,ind_bens_capital,49,49,0,0,0,NA,1.20868
pre_covid,0.95,ind_bens_consumo,49,49,0,1,0,NA,1.20885
pre_covid,0.95,ind_bens_duraveis,49,49,1,4,0,NA,1.20879
pre_covid,0.95,ind_bens_nao_duraveis,49,49,0,0,0,NA,1.20896
pre_covid,0.95,ind_caminhoes,49,49,11,14,0,NA,1.20879
pre_covid,0.95,ind_leves,49,49,12,15,0,NA,1.20868
pre_covid,0.95,ind_min_extr,49,49,5,9,0,NA,1.20875
pre_covid,0.95,ind_onibus,49,49,13,16,0,NA,1.20897
pre_covid,0.95,ind_transformacao,49,49,3,6,0,NA,1.20882
pre_covid,0.95,ind_uti_cap_instalada,49,49,13,15,0,NA,1.20908
pre_covid,0.95,juros_cdi,49,49,11,13,0,NA,1.20828
pre_covid,0.95,juros_selic,49,49,11,13,0,NA,1.20828
pre_covid,0.95,msci,49,49,10,12,0,NA,1.20868
pre_covid,0.95,pib,49,49,4,5,0,NA,1.20867
pre_covid,0.95,price_core_ipc,49,49,5,5,0,NA,1.20815
pre_covid,0.95,price_core_ipca_dw,49,49,5,7,0,NA,1.20905
pre_covid,0.95,price_core_ipca_ex0,49,49,2,2,0,NA,1.20989
pre_covid,0.95,price_core_ipca_ex1,49,49,5,7,0,NA,1.20891
pre_covid,0.95,price_igp_m,49,49,3,3,0,NA,1.20921
pre_covid,0.95,price_incc,49,49,8,11,0,NA,1.20874
pre_covid,0.95,price_inpc,49,49,3,5,0,NA,1.2096
pre_covid,0.95,price_ipc,49,49,1,1,0,NA,1.20919
pre_covid,0.95,price_ipca,49,49,4,4,0,NA,1.20933
pre_covid,0.95,price_ipca_difusao,49,49,0,0,0,NA,1.20872
pre_covid,0.95,price_ipp,49,49,0,0,0,NA,1.2087
pre_covid,0.95,sp500_vix,49,49,12,15,0,NA,1.20913
pre_covid,0.95,spread_icc_fisica,49,49,4,10,0,NA,1.2094
pre_covid,0.95,spread_icc_juridica,49,49,0,0,0,NA,1.20946
pre_covid,0.95,trab_de_1_ano_a_menos_de_2_anos,49,49,10,14,0,NA,1.20934
pre_covid,0.95,trab_de_1_mes_a_menos_de_1_ano,49,49,6,10,0,NA,1.20945
pre_covid,0.95,trab_employment_central_west,49,49,0,0,0,NA,1.20963
pre_covid,0.95,trab_employment_north,49,49,5,10,0,NA,1.20882
pre_covid,0.95,trab_employment_northeast,49,49,5,11,0,NA,1.20898
pre_covid,0.95,trab_employment_south,49,49,0,1,0,NA,1.20908
pre_covid,0.95,trab_employment_southest,49,49,8,13,0,NA,1.20879
pre_covid,0.95,trab_hrs_trabalhadas_industria,49,49,2,7,0,NA,1.20875
pre_covid,0.95,trab_menos_de_1_mes,49,49,1,1,0,NA,1.20969
pre_covid,0.95,trab_min_wage,49,49,5,10,0,NA,1.20905
pre_covid,0.95,trab_pop_forca_trab,49,49,0,0,0,NA,1.20943
pre_covid,0.95,trab_pop_ocupada,49,49,3,6,0,NA,1.20946
pre_covid,0.95,trab_tx_desemprego,49,49,5,8,0,NA,1.20943
pre_covid,0.95,trab_x2_anos_ou_mais,49,49,1,1,0,NA,1.20929
pre_covid,0.95,vendas_servicos,49,49,4,7,0,NA,1.20924
pre_covid,0.95,vendas_varejo,49,49,11,15,0,NA,1.2092
pre_covid,0.95,yield_10y,49,49,1,1,0,NA,1.21011
pre_covid,0.95,yield_1y,49,49,5,7,0,NA,1.20893
pre_covid,0.95,yield_2y,49,49,1,3,0,NA,1.20935
pre_covid,0.95,yield_3m,49,49,8,11,0,NA,1.20852
pre_covid,0.95,yield_5y,49,49,1,1,0,NA,1.20973
pre_covid,0.95,yield_6m,49,49,7,11,0,NA,1.20868
