sample,r,q,p,status,max_eig,break_date,design,placebo_type,instrument_free,n_C,n_NC,lambda_1,lambda_1_lo,lambda_1_hi,lambda_min,rank1_share,eig_gap,ratio_dir,p_placebo,prop_LR,prop_p_chi2,prop_p_boot,sys_min_rel_gap,p_placebo_holm,prop_p_holm,passes_cell,n_windows,replicates,verdict,eig_distinct
full,7,5,5,ok,0.9583573280722406,NA,episodio_s2,rotate,TRUE,69,79,1.2462315578507273,0.8483383735517644,2.7321071231388947,-0.4225895778454194,0.4128649294508034,1.2864427555613753,4.039833336674409,0.08691308691308691,41.08226643284116,1.7264850014303708e-4,0.041916167664670656,0.3142858289089598,1,1,FALSE,NA,FALSE,fails,TRUE
full,7,5,5,ok,0.9583573280722406,NA,intensidade_z,permute,FALSE,49,99,1.0201861770454757,0.6337995009392403,2.117093861542261,-0.8731641844669582,0.35105020399695624,1.8503542020027703,2.564176591785592,0.3866133866133866,38.85138072012293,3.8451859246907004e-4,0.031936127744510975,0.3481030791592987,1,1,FALSE,NA,FALSE,fails,TRUE
full,7,5,5,ok,0.9583573280722406,2020-02-01,quebra_livre,rotate,TRUE,68,80,1.2727059543280297,0.8526403089962149,2.888922051982229,-0.396292168630479,0.4169244078101432,1.2763967377959715,4.121373872657085,0.08291708291708291,40.808760133487255,1.9062155120961837e-4,0.03592814371257485,0.31050230909431187,1,1,FALSE,NA,FALSE,fails,TRUE
full,7,5,6,ok,0.9767937023956682,NA,intensidade_z,permute,FALSE,49,98,0.9542534128665149,0.599084403439065,1.902185497781042,-0.8841267573633916,0.31871907000988614,1.697563083907661,2.4075645167766524,0.3936063936063936,39.66363767001093,2.8782027585824325e-4,0.021956087824351298,0.3003892544863565,1,1,FALSE,NA,FALSE,fails,TRUE
full,7,5,7,ok,0.981175446921563,NA,intensidade_z,permute,FALSE,49,97,0.9736385764161284,0.5765463880031669,1.8542616527901417,-0.8989444392547113,0.3249602223487561,1.96545210522947,2.4367685290416685,0.3806193806193806,39.161584443554275,3.443416401146784e-4,0.017964071856287425,0.29006505714486536,1,1,FALSE,NA,FALSE,fails,TRUE
full,7,5,7,ok,0.981175446921563,2022-10-01,quebra_livre,rotate,TRUE,36,110,1.1979122932857853,0.5230871128547909,2.36134843524957,-0.728398797225682,0.4198797201491195,4.003447497054127,2.6792568918395636,0.27472527472527475,32.37989600486789,0.0035364456154368656,0.03992015968063872,0.2921004332986186,1,1,FALSE,NA,FALSE,fails,TRUE
full,7,5,8,ok,0.9844869083898405,NA,intensidade_z,permute,FALSE,48,97,0.8473908135784736,0.4773383964331035,1.7943484591272996,-0.9185607685784857,0.2960985075963011,1.7790790685592912,2.1640779843757354,0.45054945054945056,37.53014889782861,6.129438894312424e-4,0.01996007984031936,0.27841336286340884,1,1,FALSE,NA,FALSE,fails,TRUE
full,7,5,8,ok,0.9844869083898405,2022-10-01,quebra_livre,rotate,TRUE,36,109,1.269478467556776,0.618722281721853,2.29966522999991,-0.6607455701052977,0.44670061413976125,5.426231210928513,2.8267061805213642,0.23976023976023977,31.5232095827519,0.004679995745043893,0.04590818363273453,0.25706242759826203,1,1,FALSE,NA,FALSE,fails,TRUE
full,7,6,5,ok,0.9583573280722406,NA,episodio_s2,rotate,TRUE,69,79,1.2465253310872226,0.893329026335282,2.76415451112677,-0.6325327358964785,0.35043586647328345,1.2846106926111522,4.03788125649373,0.09090909090909091,49.095316268339566,2.9802753155812317e-4,0.031936127744510975,0.21679974601514335,1,1,FALSE,NA,FALSE,fails,TRUE
full,8,5,5,ok,0.9804083490210781,NA,episodio_s2,rotate,TRUE,69,79,1.2568961465373791,0.8909333702414598,2.6154238309760753,-0.5746210152144897,0.3736056761281004,1.4471939141451355,4.0494661278720745,9.99000999000999e-4,45.54764284687465,3.323099144172565e-5,0.013972055888223553,0.3427325778776646,0.2517482517482518,1,FALSE,NA,FALSE,fails,TRUE
full,8,5,5,ok,0.9804083490210781,NA,intensidade_z,permute,FALSE,49,99,0.9980828393219444,0.5760173117951448,2.109827220807829,-0.8635084773745287,0.3404391016802949,1.8474446259466775,2.488520512098294,0.37462537462537465,36.86210396795722,7.74047092039208e-4,0.03992015968063872,0.3133641982042508,1,1,FALSE,NA,FALSE,fails,TRUE
full,8,5,5,ok,0.9804083490210781,2021-10-01,quebra_livre,rotate,TRUE,48,100,1.3733689185989424,0.8498633477783053,2.2299786766530376,-0.8142458237592344,0.41711746712195263,3.590593658892098,3.435304409078243,0.07392607392607392,54.510303428229264,1.0505755960442608e-6,0.005988023952095809,0.2531445979023781,1,1,FALSE,NA,FALSE,fails,TRUE
