design,n_cells,p_plac_med,p_plac_min,frac_lt_05,prop_med,prop_min,frac_prop_05,n_holm_pooled,n_holm_within,rank1_med,rank1_sd,gap_med,gap_max,n_eig_distinct,n_identifies,n_isolated
calendario,56,0.44105894105894106,0.02097902097902098,0.03571428571428571,0.5459081836327345,0.10379241516966067,0,0,0,0.2916754747153379,0.08138862925466737,0.11154306529196809,0.2487038899937587,10,0,0
episodio_s2,28,0.04395604395604395,9.99000999000999e-4,0.5,0.0658682634730539,0.00998003992015968,0.25,0,0,0.34835430579413906,0.0415288624224807,0.1615623919473247,0.3427325778776646,10,0,0
intensidade_z,56,0.33916083916083917,0.008991008991008992,0.19642857142857142,0.0688622754491018,0.005988023952095809,0.44642857142857145,0,0,0.32215516134809274,0.07275627133652554,0.16605779235703816,0.38041459291710245,21,0,0
quebra_livre,56,0.23776223776223776,9.99000999000999e-4,0.21428571428571427,0.11976047904191617,0.005988023952095809,0.2857142857142857,0,0,0.37476246891081555,0.08500626762441957,0.15721341046480963,0.4334430423210604,19,0,0
volatilidade_juros,56,0.1013986013986014,0.008991008991008992,0.17857142857142858,0.3063872255489022,0.09381237524950099,0,0,0,0.3729191133673414,0.08312573787587627,0.16709806805054073,0.311853551122144,16,0,0
