month,design,regime
2021-01-01,calendario,C
2021-02-01,calendario,NC
2021-03-01,calendario,C
2021-04-01,calendario,NC
2021-05-01,calendario,C
2021-06-01,calendario,C
2021-07-01,calendario,NC
2021-08-01,calendario,C
2021-09-01,calendario,C
2021-10-01,calendario,C
2021-11-01,calendario,NC
2021-12-01,calendario,C
2022-01-01,calendario,NC
2022-02-01,calendario,C
2022-03-01,calendario,C
2022-04-01,calendario,NC
2022-05-01,calendario,C
2022-06-01,calendario,C
2022-07-01,calendario,NC
2022-08-01,calendario,C
2022-09-01,calendario,C
2022-10-01,calendario,C
2022-11-01,calendario,NC
2022-12-01,calendario,C
2023-01-01,calendario,NC
2023-02-01,calendario,C
2023-03-01,calendario,C
2023-04-01,calendario,NC
2023-05-01,calendario,C
2023-06-01,calendario,C
2023-07-01,calendario,NC
2023-08-01,calendario,C
2023-09-01,calendario,C
2023-10-01,calendario,NC
2023-11-01,calendario,C
2023-12-01,calendario,C
2024-01-01,calendario,C
2024-02-01,calendario,NC
2024-03-01,calendario,C
2024-04-01,calendario,NC
2024-05-01,calendario,C
2024-06-01,calendario,C
2024-07-01,calendario,C
2024-08-01,calendario,NC
2024-09-01,calendario,C
2024-10-01,calendario,NC
2024-11-01,calendario,C
2024-12-01,calendario,C
2025-01-01,calendario,C
2025-02-01,calendario,NC
2025-03-01,calendario,C
2025-04-01,calendario,NC
2025-05-01,calendario,C
2025-06-01,calendario,C
2025-07-01,calendario,C
2025-08-01,calendario,NC
2025-09-01,calendario,C
2013-07-01,episodio_s2,NC
2013-08-01,episodio_s2,NC
2013-09-01,episodio_s2,NC
2013-10-01,episodio_s2,NC
2013-11-01,episodio_s2,NC
2013-12-01,episodio_s2,NC
2014-01-01,episodio_s2,NC
2014-02-01,episodio_s2,NC
2014-03-01,episodio_s2,NC
2014-04-01,episodio_s2,NC
2014-05-01,episodio_s2,NC
2014-06-01,episodio_s2,NC
2014-07-01,episodio_s2,NC
2014-08-01,episodio_s2,NC
2014-09-01,episodio_s2,NC
2014-10-01,episodio_s2,NC
2014-11-01,episodio_s2,NC
2014-12-01,episodio_s2,NC
