month,design,regime
2015-01-01,episodio_s2,NC
2015-02-01,episodio_s2,NC
2015-03-01,episodio_s2,NC
2015-04-01,episodio_s2,NC
2015-05-01,episodio_s2,NC
2015-06-01,episodio_s2,NC
2015-07-01,episodio_s2,NC
2015-08-01,episodio_s2,NC
2015-09-01,episodio_s2,NC
2015-10-01,episodio_s2,NC
2015-11-01,episodio_s2,NC
2015-12-01,episodio_s2,NC
2016-01-01,episodio_s2,NC
2016-02-01,episodio_s2,NC
2016-03-01,episodio_s2,NC
2016-04-01,episodio_s2,NC
2016-05-01,episodio_s2,NC
2016-06-01,episodio_s2,NC
2016-07-01,episodio_s2,NC
2016-08-01,episodio_s2,NC
2016-09-01,episodio_s2,NC
2016-10-01,episodio_s2,NC
2016-11-01,episodio_s2,NC
2016-12-01,episodio_s2,NC
2017-01-01,episodio_s2,NC
2017-02-01,episodio_s2,NC
2017-03-01,episodio_s2,NC
2017-04-01,episodio_s2,NC
2017-05-01,episodio_s2,NC
2017-06-01,episodio_s2,NC
2017-07-01,episodio_s2,NC
2017-08-01,episodio_s2,NC
2017-09-01,episodio_s2,NC
2017-10-01,episodio_s2,NC
2017-11-01,episodio_s2,NC
2017-12-01,episodio_s2,NC
2018-01-01,episodio_s2,NC
2018-02-01,episodio_s2,NC
2018-03-01,episodio_s2,NC
2018-04-01,episodio_s2,NC
2018-05-01,episodio_s2,NC
2018-06-01,episodio_s2,NC
2018-07-01,episodio_s2,NC
2018-08-01,episodio_s2,NC
2018-09-01,episodio_s2,NC
2018-10-01,episodio_s2,NC
2018-11-01,episodio_s2,NC
2018-12-01,episodio_s2,NC
2019-01-01,episodio_s2,NC
2019-02-01,episodio_s2,NC
2019-03-01,episodio_s2,NC
2019-04-01,episodio_s2,NC
2019-05-01,episodio_s2,NC
2019-06-01,episodio_s2,NC
2019-07-01,episodio_s2,NC
2019-08-01,episodio_s2,NC
2019-09-01,episodio_s2,NC
2019-10-01,episodio_s2,NC
2019-11-01,episodio_s2,NC
2019-12-01,episodio_s2,NC
2020-01-01,episodio_s2,C
2020-02-01,episodio_s2,C
2020-03-01,episodio_s2,C
2020-04-01,episodio_s2,C
2020-05-01,episodio_s2,C
2020-06-01,episodio_s2,C
2020-07-01,episodio_s2,C
2020-08-01,episodio_s2,C
2020-09-01,episodio_s2,C
2020-10-01,episodio_s2,C
2020-11-01,episodio_s2,C
2020-12-01,episodio_s2,C
2021-01-01,episodio_s2,C
2021-02-01,episodio_s2,C
2021-03-01,episodio_s2,C
2021-04-01,episodio_s2,C
2021-05-01,episodio_s2,C
2021-06-01,episodio_s2,C
2021-07-01,episodio_s2,C
2021-08-01,episodio_s2,C
2021-09-01,episodio_s2,C
2021-10-01,episodio_s2,C
2021-11-01,episodio_s2,C
2021-12-01,episodio_s2,C
2022-01-01,episodio_s2,C
2022-02-01,episodio_s2,C
2022-03-01,episodio_s2,C
2022-04-01,episodio_s2,C
2022-05-01,episodio_s2,C
2022-06-01,episodio_s2,C
2022-07-01,episodio_s2,C
2022-08-01,episodio_s2,C
2022-09-01,episodio_s2,C
2022-10-01,episodio_s2,C
2022-11-01,episodio_s2,C
2022-12-01,episodio_s2,C
2023-01-01,episodio_s2,C
2023-02-01,episodio_s2,C
2023-03-01,episodio_s2,C
2023-04-01,episodio_s2,C
2023-05-01,episodio_s2,C
2023-06-01,episodio_s2,C
2023-07-01,episodio_s2,C
2023-08-01,episodio_s2,C
2023-09-01,episodio_s2,C
2023-10-01,episodio_s2,C
2023-11-01,episodio_s2,C
2023-12-01,episodio_s2,C
2024-01-01,episodio_s2,C
2024-02-01,episodio_s2,C
2024-03-01,episodio_s2,C
2024-04-01,episodio_s2,C
2024-05-01,episodio_s2,C
2024-06-01,episodio_s2,C
2024-07-01,episodio_s2,C
2024-08-01,episodio_s2,C
2024-09-01,episodio_s2,C
2024-10-01,episodio_s2,C
2024-11-01,episodio_s2,C
2024-12-01,episodio_s2,C
2025-01-01,episodio_s2,C
2025-02-01,episodio_s2,C
2025-03-01,episodio_s2,C
2025-04-01,episodio_s2,C
2025-05-01,episodio_s2,C
2025-06-01,episodio_s2,C
2025-07-01,episodio_s2,C
2025-08-01,episodio_s2,C
2025-09-01,episodio_s2,C
2013-07-01,intensidade_z,C
2013-08-01,intensidade_z,C
2013-09-01,intensidade_z,NC
2013-10-01,intensidade_z,NC
2013-11-01,intensidade_z,NC
2013-12-01,intensidade_z,NC
2014-01-01,intensidade_z,C
2014-02-01,intensidade_z,C
2014-03-01,intensidade_z,NC
2014-04-01,intensidade_z,NC
2014-05-01,intensidade_z,NC
2014-06-01,intensidade_z,NC
2014-07-01,intensidade_z,NC
2014-08-01,intensidade_z,NC
2014-09-01,intensidade_z,C
2014-10-01,intensidade_z,NC
2014-11-01,intensidade_z,NC
2014-12-01,intensidade_z,NC
2015-01-01,intensidade_z,NC
2015-02-01,intensidade_z,NC
2015-03-01,intensidade_z,C
2015-04-01,intensidade_z,NC
2015-05-01,intensidade_z,NC
2015-06-01,intensidade_z,NC
2015-07-01,intensidade_z,NC
2015-08-01,intensidade_z,NC
2015-09-01,intensidade_z,C
2015-10-01,intensidade_z,C
2015-11-01,intensidade_z,NC
2015-12-01,intensidade_z,NC
2016-01-01,intensidade_z,C
2016-02-01,intensidade_z,NC
2016-03-01,intensidade_z,NC
2016-04-01,intensidade_z,C
2016-05-01,intensidade_z,NC
2016-06-01,intensidade_z,C
2016-07-01,intensidade_z,NC
2016-08-01,intensidade_z,NC
2016-09-01,intensidade_z,C
2016-10-01,intensidade_z,NC
2016-11-01,intensidade_z,NC
2016-12-01,intensidade_z,C
2017-01-01,intensidade_z,C
2017-02-01,intensidade_z,NC
2017-03-01,intensidade_z,NC
2017-04-01,intensidade_z,NC
2017-05-01,intensidade_z,NC
2017-06-01,intensidade_z,C
2017-07-01,intensidade_z,C
2017-08-01,intensidade_z,NC
2017-09-01,intensidade_z,NC
2017-10-01,intensidade_z,C
2017-11-01,intensidade_z,NC
2017-12-01,intensidade_z,NC
2018-01-01,intensidade_z,NC
2018-02-01,intensidade_z,NC
2018-03-01,intensidade_z,NC
2018-04-01,intensidade_z,NC
2018-05-01,intensidade_z,C
2018-06-01,intensidade_z,NC
2018-07-01,intensidade_z,NC
2018-08-01,intensidade_z,NC
2018-09-01,intensidade_z,C
2018-10-01,intensidade_z,NC
2018-11-01,intensidade_z,NC
2018-12-01,intensidade_z,NC
2019-01-01,intensidade_z,NC
2019-02-01,intensidade_z,C
2019-03-01,intensidade_z,NC
2019-04-01,intensidade_z,NC
2019-05-01,intensidade_z,NC
2019-06-01,intensidade_z,NC
2019-07-01,intensidade_z,NC
2019-08-01,intensidade_z,C
2019-09-01,intensidade_z,NC
2019-10-01,intensidade_z,C
2019-11-01,intensidade_z,NC
2019-12-01,intensidade_z,C
2020-01-01,intensidade_z,NC
2020-02-01,intensidade_z,NC
2020-03-01,intensidade_z,NC
2020-04-01,intensidade_z,NC
2020-05-01,intensidade_z,NC
2020-06-01,intensidade_z,C
2020-07-01,intensidade_z,NC
2020-08-01,intensidade_z,C
2020-09-01,intensidade_z,NC
2020-10-01,intensidade_z,C
2020-11-01,intensidade_z,NC
2020-12-01,intensidade_z,NC
2021-01-01,intensidade_z,C
2021-02-01,intensidade_z,NC
2021-03-01,intensidade_z,C
2021-04-01,intensidade_z,NC
2021-05-01,intensidade_z,NC
2021-06-01,intensidade_z,C
2021-07-01,intensidade_z,NC
2021-08-01,intensidade_z,C
2021-09-01,intensidade_z,C
2021-10-01,intensidade_z,C
2021-11-01,intensidade_z,NC
2021-12-01,intensidade_z,C
2022-01-01,intensidade_z,NC
2022-02-01,intensidade_z,NC
2022-03-01,intensidade_z,C
2022-04-01,intensidade_z,NC
2022-05-01,intensidade_z,C
2022-06-01,intensidade_z,NC
2022-07-01,intensidade_z,NC
2022-08-01,intensidade_z,C
2022-09-01,intensidade_z,C
2022-10-01,intensidade_z,NC
2022-11-01,intensidade_z,NC
2022-12-01,intensidade_z,NC
2023-01-01,intensidade_z,NC
2023-02-01,intensidade_z,NC
2023-03-01,intensidade_z,C
2023-04-01,intensidade_z,NC
2023-05-01,intensidade_z,C
2023-06-01,intensidade_z,C
2023-07-01,intensidade_z,NC
2023-08-01,intensidade_z,NC
2023-09-01,intensidade_z,NC
2023-10-01,intensidade_z,NC
2023-11-01,intensidade_z,NC
2023-12-01,intensidade_z,NC
2024-01-01,intensidade_z,NC
2024-02-01,intensidade_z,C
2024-03-01,intensidade_z,NC
2024-04-01,intensidade_z,NC
2024-05-01,intensidade_z,C
2024-06-01,intensidade_z,C
2024-07-01,intensidade_z,NC
2024-08-01,intensidade_z,C
2024-09-01,intensidade_z,C
2024-10-01,intensidade_z,NC
2024-11-01,intensidade_z,C
2024-12-01,intensidade_z,C
2025-01-01,intensidade_z,C
2025-02-01,intensidade_z,NC
2025-03-01,intensidade_z,C
2025-04-01,intensidade_z,NC
2025-05-01,intensidade_z,NC
2025-06-01,intensidade_z,NC
2025-07-01,intensidade_z,NC
2025-08-01,intensidade_z,NC
2025-09-01,intensidade_z,NC
2013-07-01,volatilidade_juros,NC
2013-08-01,volatilidade_juros,NC
2013-09-01,volatilidade_juros,NC
2013-10-01,volatilidade_juros,NC
2013-11-01,volatilidade_juros,NC
2013-12-01,volatilidade_juros,NC
2014-01-01,volatilidade_juros,NC
2014-02-01,volatilidade_juros,NC
2014-03-01,volatilidade_juros,NC
2014-04-01,volatilidade_juros,NC
2014-05-01,volatilidade_juros,NC
2014-06-01,volatilidade_juros,NC
2014-07-01,volatilidade_juros,NC
2014-08-01,volatilidade_juros,NC
2014-09-01,volatilidade_juros,NC
2014-10-01,volatilidade_juros,NC
2014-11-01,volatilidade_juros,NC
2014-12-01,volatilidade_juros,NC
2015-01-01,volatilidade_juros,NC
2015-02-01,volatilidade_juros,NC
2015-03-01,volatilidade_juros,NC
2015-04-01,volatilidade_juros,NC
2015-05-01,volatilidade_juros,NC
2015-06-01,volatilidade_juros,NC
2015-07-01,volatilidade_juros,NC
2015-08-01,volatilidade_juros,NC
2015-09-01,volatilidade_juros,C
2015-10-01,volatilidade_juros,C
2015-11-01,volatilidade_juros,NC
2015-12-01,volatilidade_juros,NC
2016-01-01,volatilidade_juros,NC
2016-02-01,volatilidade_juros,NC
2016-03-01,volatilidade_juros,NC
2016-04-01,volatilidade_juros,NC
2016-05-01,volatilidade_juros,NC
2016-06-01,volatilidade_juros,NC
2016-07-01,volatilidade_juros,NC
2016-08-01,volatilidade_juros,NC
2016-09-01,volatilidade_juros,NC
2016-10-01,volatilidade_juros,NC
2016-11-01,volatilidade_juros,NC
2016-12-01,volatilidade_juros,NC
2017-01-01,volatilidade_juros,NC
2017-02-01,volatilidade_juros,NC
2017-03-01,volatilidade_juros,NC
2017-04-01,volatilidade_juros,NC
2017-05-01,volatilidade_juros,C
2017-06-01,volatilidade_juros,NC
2017-07-01,volatilidade_juros,NC
2017-08-01,volatilidade_juros,NC
2017-09-01,volatilidade_juros,NC
2017-10-01,volatilidade_juros,NC
2017-11-01,volatilidade_juros,NC
2017-12-01,volatilidade_juros,NC
2018-01-01,volatilidade_juros,NC
2018-02-01,volatilidade_juros,NC
2018-03-01,volatilidade_juros,NC
2018-04-01,volatilidade_juros,NC
2018-05-01,volatilidade_juros,NC
2018-06-01,volatilidade_juros,C
2018-07-01,volatilidade_juros,NC
2018-08-01,volatilidade_juros,NC
2018-09-01,volatilidade_juros,NC
2018-10-01,volatilidade_juros,NC
2018-11-01,volatilidade_juros,NC
2018-12-01,volatilidade_juros,NC
2019-01-01,volatilidade_juros,NC
2019-02-01,volatilidade_juros,NC
2019-03-01,volatilidade_juros,NC
2019-04-01,volatilidade_juros,NC
2019-05-01,volatilidade_juros,NC
2019-06-01,volatilidade_juros,NC
2019-07-01,volatilidade_juros,NC
2019-08-01,volatilidade_juros,NC
2019-09-01,volatilidade_juros,NC
2019-10-01,volatilidade_juros,NC
2019-11-01,volatilidade_juros,NC
2019-12-01,volatilidade_juros,NC
2020-01-01,volatilidade_juros,NC
2020-02-01,volatilidade_juros,NC
2020-03-01,volatilidade_juros,C
2020-04-01,volatilidade_juros,C
2020-05-01,volatilidade_juros,NC
2020-06-01,volatilidade_juros,NC
2020-07-01,volatilidade_juros,NC
2020-08-01,volatilidade_juros,NC
2020-09-01,volatilidade_juros,NC
2020-10-01,volatilidade_juros,NC
2020-11-01,volatilidade_juros,NC
2020-12-01,volatilidade_juros,NC
2021-01-01,volatilidade_juros,NC
2021-02-01,volatilidade_juros,NC
2021-03-01,volatilidade_juros,NC
2021-04-01,volatilidade_juros,NC
2021-05-01,volatilidade_juros,NC
2021-06-01,volatilidade_juros,NC
2021-07-01,volatilidade_juros,NC
2021-08-01,volatilidade_juros,NC
2021-09-01,volatilidade_juros,C
2021-10-01,volatilidade_juros,C
2021-11-01,volatilidade_juros,C
2021-12-01,volatilidade_juros,NC
2022-01-01,volatilidade_juros,NC
2022-02-01,volatilidade_juros,NC
2022-03-01,volatilidade_juros,NC
2022-04-01,volatilidade_juros,NC
2022-05-01,volatilidade_juros,NC
2022-06-01,volatilidade_juros,NC
2022-07-01,volatilidade_juros,NC
2022-08-01,volatilidade_juros,NC
2022-09-01,volatilidade_juros,NC
2022-10-01,volatilidade_juros,NC
2022-11-01,volatilidade_juros,NC
2022-12-01,volatilidade_juros,NC
2023-01-01,volatilidade_juros,C
2023-02-01,volatilidade_juros,C
2023-03-01,volatilidade_juros,C
2023-04-01,volatilidade_juros,C
2023-05-01,volatilidade_juros,C
2023-06-01,volatilidade_juros,C
2023-07-01,volatilidade_juros,C
2023-08-01,volatilidade_juros,C
2023-09-01,volatilidade_juros,C
2023-10-01,volatilidade_juros,C
2023-11-01,volatilidade_juros,C
2023-12-01,volatilidade_juros,C
2024-01-01,volatilidade_juros,C
2024-02-01,volatilidade_juros,C
2024-03-01,volatilidade_juros,C
2024-04-01,volatilidade_juros,C
2024-05-01,volatilidade_juros,C
2024-06-01,volatilidade_juros,NC
2024-07-01,volatilidade_juros,C
2024-08-01,volatilidade_juros,C
2024-09-01,volatilidade_juros,C
2024-10-01,volatilidade_juros,C
2024-11-01,volatilidade_juros,C
2024-12-01,volatilidade_juros,C
2025-01-01,volatilidade_juros,NC
2025-02-01,volatilidade_juros,NC
2025-03-01,volatilidade_juros,C
2025-04-01,volatilidade_juros,C
2025-05-01,volatilidade_juros,C
2025-06-01,volatilidade_juros,NC
2025-07-01,volatilidade_juros,NC
2025-08-01,volatilidade_juros,C
2025-09-01,volatilidade_juros,C
2013-07-01,quebra_livre,NC
2013-08-01,quebra_livre,NC
2013-09-01,quebra_livre,NC
2013-10-01,quebra_livre,NC
2013-11-01,quebra_livre,NC
2013-12-01,quebra_livre,NC
2014-01-01,quebra_livre,NC
2014-02-01,quebra_livre,NC
2014-03-01,quebra_livre,NC
2014-04-01,quebra_livre,NC
2014-05-01,quebra_livre,NC
2014-06-01,quebra_livre,NC
2014-07-01,quebra_livre,NC
2014-08-01,quebra_livre,NC
2014-09-01,quebra_livre,NC
2014-10-01,quebra_livre,NC
2014-11-01,quebra_livre,NC
2014-12-01,quebra_livre,NC
2015-01-01,quebra_livre,NC
2015-02-01,quebra_livre,NC
2015-03-01,quebra_livre,NC
2015-04-01,quebra_livre,NC
2015-05-01,quebra_livre,NC
2015-06-01,quebra_livre,NC
2015-07-01,quebra_livre,NC
2015-08-01,quebra_livre,NC
2015-09-01,quebra_livre,NC
2015-10-01,quebra_livre,NC
2015-11-01,quebra_livre,NC
2015-12-01,quebra_livre,NC
2016-01-01,quebra_livre,NC
2016-02-01,quebra_livre,NC
2016-03-01,quebra_livre,NC
2016-04-01,quebra_livre,NC
2016-05-01,quebra_livre,NC
2016-06-01,quebra_livre,NC
2016-07-01,quebra_livre,NC
2016-08-01,quebra_livre,NC
2016-09-01,quebra_livre,NC
2016-10-01,quebra_livre,NC
2016-11-01,quebra_livre,NC
2016-12-01,quebra_livre,NC
2017-01-01,quebra_livre,NC
2017-02-01,quebra_livre,NC
2017-03-01,quebra_livre,NC
2017-04-01,quebra_livre,NC
2017-05-01,quebra_livre,NC
2017-06-01,quebra_livre,NC
2017-07-01,quebra_livre,NC
2017-08-01,quebra_livre,NC
2017-09-01,quebra_livre,NC
2017-10-01,quebra_livre,NC
2017-11-01,quebra_livre,NC
2017-12-01,quebra_livre,NC
2018-01-01,quebra_livre,NC
2018-02-01,quebra_livre,NC
2018-03-01,quebra_livre,NC
2018-04-01,quebra_livre,NC
2018-05-01,quebra_livre,NC
2018-06-01,quebra_livre,NC
2018-07-01,quebra_livre,NC
2018-08-01,quebra_livre,NC
2018-09-01,quebra_livre,NC
2018-10-01,quebra_livre,NC
2018-11-01,quebra_livre,NC
2018-12-01,quebra_livre,NC
2019-01-01,quebra_livre,NC
2019-02-01,quebra_livre,NC
2019-03-01,quebra_livre,NC
2019-04-01,quebra_livre,NC
2019-05-01,quebra_livre,NC
2019-06-01,quebra_livre,NC
2019-07-01,quebra_livre,NC
2019-08-01,quebra_livre,NC
2019-09-01,quebra_livre,NC
2019-10-01,quebra_livre,NC
2019-11-01,quebra_livre,NC
2019-12-01,quebra_livre,NC
2020-01-01,quebra_livre,NC
2020-02-01,quebra_livre,NC
2020-03-01,quebra_livre,NC
2020-04-01,quebra_livre,NC
2020-05-01,quebra_livre,NC
2020-06-01,quebra_livre,NC
2020-07-01,quebra_livre,NC
2020-08-01,quebra_livre,NC
2020-09-01,quebra_livre,NC
2020-10-01,quebra_livre,NC
2020-11-01,quebra_livre,NC
2020-12-01,quebra_livre,NC
2021-01-01,quebra_livre,NC
2021-02-01,quebra_livre,NC
2021-03-01,quebra_livre,NC
2021-04-01,quebra_livre,NC
2021-05-01,quebra_livre,NC
2021-06-01,quebra_livre,NC
2021-07-01,quebra_livre,NC
2021-08-01,quebra_livre,NC
2021-09-01,quebra_livre,NC
2021-10-01,quebra_livre,NC
2021-11-01,quebra_livre,NC
2021-12-01,quebra_livre,C
2022-01-01,quebra_livre,C
2022-02-01,quebra_livre,C
2022-03-01,quebra_livre,C
2022-04-01,quebra_livre,C
2022-05-01,quebra_livre,C
2022-06-01,quebra_livre,C
2022-07-01,quebra_livre,C
2022-08-01,quebra_livre,C
2022-09-01,quebra_livre,C
2022-10-01,quebra_livre,C
2022-11-01,quebra_livre,C
2022-12-01,quebra_livre,C
2023-01-01,quebra_livre,C
2023-02-01,quebra_livre,C
2023-03-01,quebra_livre,C
2023-04-01,quebra_livre,C
2023-05-01,quebra_livre,C
2023-06-01,quebra_livre,C
2023-07-01,quebra_livre,C
2023-08-01,quebra_livre,C
2023-09-01,quebra_livre,C
2023-10-01,quebra_livre,C
2023-11-01,quebra_livre,C
2023-12-01,quebra_livre,C
2024-01-01,quebra_livre,C
2024-02-01,quebra_livre,C
2024-03-01,quebra_livre,C
2024-04-01,quebra_livre,C
2024-05-01,quebra_livre,C
2024-06-01,quebra_livre,C
2024-07-01,quebra_livre,C
2024-08-01,quebra_livre,C
2024-09-01,quebra_livre,C
2024-10-01,quebra_livre,C
2024-11-01,quebra_livre,C
2024-12-01,quebra_livre,C
2025-01-01,quebra_livre,C
2025-02-01,quebra_livre,C
2025-03-01,quebra_livre,C
2025-04-01,quebra_livre,C
2025-05-01,quebra_livre,C
2025-06-01,quebra_livre,C
2025-07-01,quebra_livre,C
2025-08-01,quebra_livre,C
2025-09-01,quebra_livre,C
