wed_date,thu_date,regime,DI_3m,DI_2y,IBOV,BRL
2013-01-02,2013-01-03,NC,-1.8999999999999573,0.9999999999998899,1.2114314589265263,0
2013-01-09,2013-01-10,NC,-2.5999999999999632,-4.000000000000115,0.1618246602907547,0.3718302918608196
2013-01-16,2013-01-17,C,1.9999999999999185,11.000000000000037,0.6560845837960017,NA
2013-01-23,2013-01-24,NC,1.0000000000000286,10.000000000000009,-1.2935949259142987,-0.3484686350631927
2013-01-30,2013-01-31,NC,0,2.999999999999947,0.7133471992066376,0.09560257699807728
2013-02-06,2013-02-07,NC,2.500000000000002,10.000000000000009,-0.9863574528960584,0.1511802812386165
2013-02-13,2013-02-14,NC,2.399999999999902,3.999999999999976,-0.5639118658546494,-0.23900672504294507
2013-02-20,2013-02-21,NC,0,-2.0000000000000573,-0.04080750487407414,0.3168155483446178
2013-02-27,2013-02-28,NC,-2.0000000000000573,-6.000000000000033,0.2622711176956116,-0.3892316971069065
2013-03-06,2013-03-07,C,2.1000000000000183,13.999999999999984,1.552721799862944,0.41696640279259567
2013-03-13,2013-03-14,NC,-4.499999999999921,-3.000000000000086,-0.18292987942292172,0.29971449570301845
2013-03-20,2013-03-21,NC,0,5.000000000000004,-0.8124288123033452,0.09075172131570719
2013-03-27,2013-03-28,NC,1.0000000000000286,3.999999999999976,0.5655504644991538,-0.23353196662476705
2013-04-03,2013-04-04,NC,-1.2000000000000899,-5.000000000000004,-1.6597470459378982,-0.40656163995385075
2013-04-10,2013-04-11,NC,2.999999999999947,2.0000000000000573,-1.408156278111683,0.08105507550674185
2013-04-17,2013-04-18,C,-23.999999999999993,-26.99999999999994,0.5355141571103061,-0.7741092394402793
2013-04-24,2013-04-25,NC,5.000000000000004,5.999999999999894,-0.03803631868493085,-0.46905730416658686
2013-05-08,2013-05-09,NC,1.0000000000000286,5.000000000000004,-0.6422177971668219,0.4289281681996937
2013-05-15,2013-05-16,NC,1.9999999999999185,5.000000000000004,-0.29859004621695107,0.1335734015301071
2013-05-22,2013-05-23,NC,0,2.999999999999947,-0.14073521921105225,-0.22022238587429133
2013-05-29,2013-05-31,C,27.000000000000078,41.99999999999996,-2.0873736683439503,NA
2013-06-05,2013-06-06,NC,0.49999999999994493,17.99999999999996,0.16312868468837394,0.10817280916517458
2013-06-12,2013-06-13,NC,-3.999999999999976,-34,2.4787737822027367,-1.6817296406852922
2013-06-19,2013-06-20,NC,3.999999999999976,15.000000000000014,0.6687745102841092,1.4063090417806623
2013-06-26,2013-06-27,NC,-2.0000000000000573,-14.999999999999874,0.9231408739788449,0.44271358611137623
2013-07-03,2013-07-04,NC,0.7999999999999674,6.000000000000033,1.5838944781338071,-0.7717262686331883
2013-07-10,2013-07-11,C,-1.4999999999999736,11.999999999999927,2.48158179229101,-0.813729647959549
2013-07-17,2013-07-18,NC,0,-5.000000000000004,0.5251408939628277,-0.04948927608982023
