config,linkage,threshold,principal,series,block,group,group_size,kept,reason,kept_dentro_do_bloco
completa_0.90,complete,0.9,TRUE,energia_outros,energia,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,pib,atividade_agregada,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,ibc_br,atividade_agregada,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,icc,confianca,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,ics,confianca,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,trab_employment_southest,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,trab_employment_south,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,trab_employment_northeast,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,trab_employment_north,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,trab_employment_central_west,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,trab_min_wage,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,trab_pop_forca_trab,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,trab_pop_ocupada,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,trab_tx_desemprego,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,trab_hrs_trabalhadas_industria,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,trab_menos_de_1_mes,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,trab_de_1_mes_a_menos_de_1_ano,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,trab_de_1_ano_a_menos_de_2_anos,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,trab_x2_anos_ou_mais,trabalho,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,commodity_agro,commodities,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,commodity_metal,commodities,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,commodity_energia,commodities,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,asset_ibov,acoes,7,2,TRUE,prioridade,TRUE
completa_0.90,complete,0.9,TRUE,asset_idiv,acoes,7,2,FALSE,descartada,FALSE
completa_0.90,complete,0.9,TRUE,asset_ifix,acoes,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,asset_ifnc,acoes,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,asset_imat,acoes,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,asset_imob,acoes,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,asset_smll,acoes,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,embi_perc,risco_externo,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,cds_5y,risco_externo,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,msci,risco_externo,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,sp500_vix,risco_externo,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,fiscal_dbgg,fiscal,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,fiscal_dlsp,fiscal,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,fiscal_primary_balance,fiscal,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,expect_focus_ipca12m,expectativas,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,expect_focus_selic_ny,expectativas,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,expect_focus_pib_ny,expectativas,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,expect_focus_cambio_ny,expectativas,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,epu_brazil,epu,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,epu_canada,epu,NA,1,TRUE,sem_grupo,TRUE
completa_0.90,complete,0.9,TRUE,epu_chile,epu,NA,1,TRUE,sem_grupo,TRUE
