var,larg_h0,larg_h12,larg_h24,larg_h36,razao_h36_h0,razao_h12_h0
yield_6m,0,0.014477783344420415,0.018912521455461264,0.017926353222867824,Inf,Inf
cambio_usd,0.15720151835253413,0.27297826530756053,0.2394469536262016,0.22709543349502867,1.4446134864025493,1.7364861877185556
embi_perc,0.30114992191030415,0.37695853621222614,0.3489931538232292,0.3076176534399913,1.0214767830210945,1.251730479692773
price_core_ipca_ex0,0.12035818944146517,0.19834987228680395,0.22925819118472002,0.23075036248831512,1.9171970229789632,1.6479964779070488
asset_ibov,7.684255819119705,65.95551426286951,141.2659090315255,213.61663325336005,27.799261019114745,8.583201264429698
asset_ifix,3.0967870854211395,27.28075059872142,56.09473606650859,82.37391354280771,26.599798846553732,8.809372374081521
asset_imob,9.148027153446607,84.59607729890965,178.34955935946124,255.23580732362177,27.90063945398973,9.247466790371
ind_transformacao,3.2299622790030393,3.376928021305625,2.5865527763513776,2.433878225307291,0.7535314703608651,1.0455007611878204
pib,0.8466528855923955,1.5004053726203084,1.3390959116135592,1.197985607345982,1.414966661936978,1.7721611750847435
ibc_br,1.2320299659576774,1.498099086794579,1.2956565381387235,1.0046149745217463,0.8154143992275726,1.215959942687012
