var,h,b_alto,b_baixo,dif,se_dif,t_dif,F_alto,F_baixo,flag_alto,flag_baixo,p_asym,p_boot,p_holm_asym,p_holm_boot
cambio_usd,0,0.14601979731940445,0.05772926971134894,0.08829052760805552,0.08896811429156687,0.992383937898349,10.916747669454267,19.820740378837634,ok,ok,0.3210102712236231,0.3685111237877924,1,1
cambio_usd,1,0.17201927461737568,0.07403482664597959,0.09798444797139609,0.12934686343181664,0.7575324624941308,10.883644149557849,19.96842105149046,ok,ok,0.44873092499785283,0.5653166001140901,1,1
cambio_usd,2,0.09071032548218681,0.046897960217997935,0.04381236526418888,0.11723941795909229,0.3736999554149619,10.562351808525992,19.939923696344344,ok,ok,0.708627558502146,0.7706788362806617,1,1
cambio_usd,3,-0.10540911516401139,0.017068550814701666,-0.12247766597871305,0.10788414178791729,-1.135270336760747,10.365293468174885,20.2562881413328,ok,ok,0.25626206685955566,0.23616657159155732,1,1
cambio_usd,4,-0.11380666358500548,-0.01483178927123845,-0.09897487431376703,0.08833647148168933,-1.1204304706044645,10.260720194395196,20.320569991093855,ok,ok,0.26253036629590604,0.2053622361665716,1,1
cambio_usd,5,-0.03989541913133962,-0.0779341274560602,0.038038708324720574,0.08251602289571766,0.46098572119493986,9.958950287189815,20.88071886601659,FRACO,ok,0.6448088494665636,0.648031945236737,1,1
cambio_usd,6,0.04530184116439159,-0.12318343483040735,0.16848527599479896,0.07024264091183623,2.3986181870107957,9.797293147889281,20.790345681059943,FRACO,ok,0.016457064673347666,0.05419281232173417,0.11519945271343367,0.37934968625213916
cambio_usd,7,0.11739714707845451,-0.08162782764448821,0.19902497472294273,0.05386964351664029,3.6945663964058735,9.614225502320583,28.450144481858896,FRACO,ok,2.2026233420039174e-4,0.0034227039361095267,0.001982361007803526,0.03080433542498574
cambio_usd,8,0.05242061995143331,-0.13424750323775697,0.1866681231891903,0.06202049683960079,3.0097811643134174,9.414411780935238,29.510275345479027,FRACO,ok,0.0026143597900492826,0.003993154592127781,0.02091487832039426,0.03194523673702225
embi_perc,0,0.10372449418449833,0.14018226534519498,-0.03645777116069665,0.11367917918721406,-0.3207075510340877,12.026391617276143,19.972945651848846,ok,ok,0.7484320244331737,0.8642111050027488,1,1
embi_perc,1,0.0896714657262055,0.13056412182594385,-0.04089265609973834,0.1641022229253695,-0.24919014118617716,12.997003982934897,20.134453712846135,ok,ok,0.803213705135924,0.8675096206706981,1,1
embi_perc,2,-0.030148799326761948,0.024421140514107265,-0.05456993984086921,0.19610830353011935,-0.27826430017782533,13.31749174269387,20.15977994566542,ok,ok,0.7808094786065423,0.8136338647608576,1,1
embi_perc,3,-0.16557234075286034,0.04293588484365955,-0.20850822559651988,0.20918035865851628,-0.9967868251765758,13.88502406709522,20.588122442008174,ok,ok,0.3188679945635912,0.3595382078064871,1,1
embi_perc,4,-0.2230430696874646,0.014170925258215448,-0.23721399494568005,0.20718379336344278,-1.1449447425144792,15.093531077814045,20.79447343305376,ok,ok,0.25223204809598476,0.2325453545904343,1,1
embi_perc,5,-0.12685072709648013,-0.03685832801418428,-0.08999239908229584,0.15870987684269983,-0.567024566287635,14.901932707863883,21.62884692462874,ok,ok,0.5706974912396502,0.6008796041781198,1,1
embi_perc,6,-0.01919109510465205,-0.00848201283787148,-0.01070908226678057,0.11132174003801913,-0.09619937905321237,14.86773009049293,21.721213289462284,ok,ok,0.9233622239729153,0.9351291918636614,1,1
embi_perc,7,0.028547060929959116,-0.06479473585954793,0.09334179678950705,0.12397569217412636,0.75290401813935115,14.698485527626296,26.337017503546996,ok,ok,0.45150759338671864,0.5343595382078065,1,1
embi_perc,8,0.07423300667345757,-0.013235009135676138,0.08746801580913371,0.11230490908991927,0.7788440996742236,14.561102591965039,27.38191458702576,ok,ok,0.436071556385292,0.5184167124793843,1,1
cds_5y,0,12.159394123675302,16.812699644160457,-4.653305520485155,11.929925465491774,-0.39005319303504443,11.514735464308368,19.203526219215853,ok,ok,0.6964972134607315,0.8344594594594594,1,1
cds_5y,1,12.51554866082035,17.283487902577036,-4.767939241756686,14.307952180174292,-0.33323701265673406,11.73555953153312,19.311425586911078,ok,ok,0.738955381146164,0.8209459459459459,1,1
cds_5y,2,-1.2420873144734652,3.3758187033142897,-4.617906017787755,17.6505044808748,-0.2616302566757503,11.621406181662561,19.144832944278807,ok,ok,0.7936065148526503,0.777027027027027,1,1
cds_5y,3,-9.952371421661228,11.735770295348484,-21.688141717009714,21.368950370505424,-1.0149371560591416,11.651231809397665,19.330773479336234,ok,ok,0.3101357850903858,0.27871621621621623,1,1
cds_5y,4,-17.442850151015445,4.857644007070921,-22.300494158086366,17.911174476548016,-1.2450604055744923,11.972464952813931,19.342524608199525,ok,ok,0.21310954695717105,0.16666666666666666,1,1
cds_5y,5,-5.557091438537464,1.6226228754222394,-7.179714313959703,18.94365137292527,-0.37900371858727966,11.703355861337302,19.970774546317525,ok,ok,0.7046851024609913,0.6762387387387387,1,1
cds_5y,6,5.733734758859501,4.534040217241272,1.1996945416182285,15.17137162578814,0.07907620821699471,11.586230794546797,19.929124991314037,ok,ok,0.9369720073349149,0.918918918918919,1,1
cds_5y,7,18.388461708845572,-1.6583149424032309,20.046776651248802,14.034612840329757,1.4283811658589212,11.386298221634373,24.391696804491254,ok,ok,0.15318217719923508,0.16554054054054054,1,1
cds_5y,8,11.962418979089707,3.9433221687190234,8.019096810370684,17.328770954599527,0.46276200610997154,11.164778059828558,25.2266633900881,ok,ok,0.6435349675473159,0.75,1,1
price_ipp,0,0.4075603316261595,0.3110014593117404,0.09655887231441912,0.5765387699618286,0.16748027599394932,12.783120592471425,18.258908037946085,ok,ok,0.8669921658082695,0.9036275040606389,1,1
price_ipp,1,0.24901907564404496,0.19709514865505184,0.05192392698899312,0.3725642480220037,0.13936905450446357,13.069182818369844,18.63630896829675,ok,ok,0.8891585246059078,0.9149972929074174,1,1
price_ipp,2,-0.33603337108157744,-0.00145808911100346,-0.33457528197057396,0.3943041275588759,-0.8485208715463333,12.883216234589426,18.720564338165165,ok,ok,0.3961479538254821,0.36220898754737413,1,1
price_ipp,3,-0.9118769558741207,-0.11054069975228516,-0.8013362561218355,0.5528558202971123,-1.4494488919211999,12.849395349662478,19.051630864236536,ok,ok,0.14721226325547954,0.09745533297238766,0.8832735795328772,0.7796426637791013
price_ipp,4,-0.543482202718738,-0.016831587225706244,-0.5266506154930318,0.4110145243483063,-1.2813430774206216,13.251819147015278,19.058434344320126,ok,ok,0.20007318841254954,0.21710882512181917,1,1
price_ipp,5,0.6925332295940393,-0.07057290304556829,0.7631061326396076,0.4539186544818767,1.681151733036069,13.004726363362101,19.429473404275328,ok,ok,0.0927334460240089,0.13860314022739578,0.7418675681920712,0.9702219815917705
price_ipp,6,0.7726912580980664,-0.2712146714740766,1.043905929572143,0.6244780609807195,1.6716454825213998,12.972093838787412,19.373806688456238,ok,ok,0.09459425038963354,0.16188413643746616,0.7418675681920712,0.971304818624797
price_ipp,7,0.5049389282508066,-0.2374801740555307,0.7424191023063372,0.3750364878393031,1.9795916567575458,12.899718079371889,23.010608726713482,ok,ok,0.047749431248476054,0.0768814293448836,0.4297448812362845,0.6919328641039524
price_ipp,8,-0.01812446993383844,-0.09971437631650759,0.08158990638266915,0.3016536390458195,0.27047545867754674,12.852935406488838,23.266103119005745,ok,ok,0.7867944946946573,0.805630752571738,1,1
price_core_ipca_ex0,0,0.05561331707699537,0.0354119293124883,0.02020138776450707,0.07214904775889772,0.2799952098053263,11.916443762352829,22.82536215797062,ok,ok,0.7794811799885052,0.8137203166226913,1,1
price_core_ipca_ex0,1,-0.004440099149072126,-0.007090977080555945,0.002650877931483819,0.0705498623493398,0.03757453017211487,12.085383895300467,23.117614986402444,ok,ok,0.9700269155553015,0.9577836411609498,1,1
price_core_ipca_ex0,2,0.0033548221734434947,0.06079329541416627,-0.05743847324072277,0.11314099568912514,-0.507671625928988,12.031940540914425,23.577852590832364,ok,ok,0.6116836502717593,0.6189973614775726,1,1
price_core_ipca_ex0,3,-0.006442397241099229,-0.003962762203489661,-0.0024796350376095682,0.07755945184575501,-0.03197076537545544,12.005175686900895,24.519509200853054,ok,ok,0.9744953648253095,0.9662269129287598,1,1
price_core_ipca_ex0,4,0.046848590884424654,0.06065295499202776,-0.013804364107603107,0.05363621346281697,-0.25737022090817263,12.364183327990432,25.1896635865283,ok,ok,0.7968929890301166,0.8321899736147758,1,1
price_core_ipca_ex0,5,0.05796849354206643,0.01947516265703342,0.03849333088503301,0.0657354020960428,0.5855799106361634,12.141166963025437,26.60893354666684,ok,ok,0.5581578517783983,0.6242744063324538,1,1
price_core_ipca_ex0,6,0.07863910972006352,0.0011832021176421393,0.07745590760242138,0.060141323573347956,1.2878982869067834,12.172627917379918,26.7044960159822,ok,ok,0.19778137190468126,0.19419525065963061,1,1
price_core_ipca_ex0,7,0.027314653525602355,0.027665404876862566,-3.5075135126021173e-4,0.11108782138261557,-0.003157423981267327,12.051539523595354,31.286076344335406,ok,ok,0.997480744339319,0.9963060686015831,1,1
price_core_ipca_ex0,8,0.0415365367680505,0.06118686181913845,-0.01965032505108795,0.07195804276103154,-0.27308031593279336,11.919352001837103,32.722011578374286,ok,ok,0.7847914774766478,0.8411609498680739,1,1
asset_ifnc,0,0.04759929268018823,-3.2146344347477567,3.2622337274279447,2.7763123962365825,1.1750240109326495,11.346071683508528,18.54925939556768,ok,ok,0.23998510976544798,0.22923777019340158,1,1
asset_ifnc,1,-4.828921986888709,-3.3064742240532543,-1.5224477628354545,4.029310281258029,-0.37784326759767844,11.800561066108518,18.745428562743726,ok,ok,0.7055470293244602,0.7918088737201365,1,1
asset_ifnc,2,-3.0084966184462973,-4.879704911652675,1.871208293206378,3.4259749087052676,0.5461827196841726,11.852509210773102,18.277089801714165,ok,ok,0.584940343274791,0.7133105802047781,1,1
asset_ifnc,3,2.1036309992430686,-1.890281737144842,3.9939127363879106,4.520298511850379,0.8835506606294916,12.133093172364273,18.29134328402349,ok,ok,0.3769388234307158,0.30659840728100113,1,1
asset_ifnc,4,5.9984198843665215,-3.7419679838873616,9.740387868253883,4.607762044276663,2.1139086121759463,12.903456098098163,18.0508187213883,ok,ok,0.03452307352878633,0.030147895335608646,0.27618458823029063,0.24118316268486917
asset_ifnc,5,1.4322712521835275,-1.5588787902278365,2.991150042411364,3.660944706840039,0.8170432175123422,13.039510629575474,18.367190672951782,ok,ok,0.41390373078735915,0.4021615472127418,1,1
asset_ifnc,6,-6.182158761216524,-2.4470556393164498,-3.735103121900074,3.8295651576091725,-0.9753334825701016,13.174181118486853,18.35214109534125,ok,ok,0.32939486701009807,0.3970420932878271,1,1
asset_ifnc,7,-6.4450618642846536,-0.42301812807589156,-6.0220437362087615,2.745257825525797,-2.1936168181417948,13.064391160186641,23.312816265629156,ok,ok,0.028262968319376906,0.013083048919226393,0.25436671487439216,0.11774744027303753
asset_ifnc,8,-3.0017375467609235,-1.6435510254927794,-1.358186521268144,4.372154922244356,-0.3106446467297062,13.01263012307892,23.7418901205639,ok,ok,0.7560707820176067,0.7889647326507395,1,1
rel_ifnc_ibov,0,-0.46678243654000884,-0.8412089536504683,0.3744265171104595,1.0565128889510507,0.35439843756398043,12.147996865431649,17.830015461157583,ok,ok,0.7230403053249435,0.7494212962962963,1,1
rel_ifnc_ibov,1,-1.30814058106203,-0.19581273068631475,-1.1123278503757152,1.4330271554550367,-0.7762084941248109,12.563017297367853,17.999456452501274,ok,ok,0.4376258915809809,0.3883101851851852,1,1
rel_ifnc_ibov,2,-1.3581266992473229,-2.043920214921751,0.6857935156744281,1.373405283222991,0.49933804977440166,12.496596374743492,17.778534658315657,ok,ok,0.6175412540050489,0.6863425925925926,1,1
rel_ifnc_ibov,3,-0.5208855304954796,0.024563237064912757,-0.5454487675603923,1.6644051732249612,-0.3277139342841188,12.662700903053329,18.027605874134032,ok,ok,0.7431279666847903,0.7442129629629629,1,1
rel_ifnc_ibov,4,0.9146761752432212,-0.4963986453855682,1.4110748206287895,1.8814876570551078,0.7499782501031097,13.256772294475743,17.873165457644927,ok,ok,0.45326780427677593,0.5150462962962963,1,1
rel_ifnc_ibov,5,-0.5012614138002663,0.958428581975179,-1.4596899957754452,1.6846835741099253,-0.8664475740179566,13.275872910611229,18.61692256065959,ok,ok,0.38624476443483935,0.4600694444444444,1,1
rel_ifnc_ibov,6,-4.051372085414532,0.13889189398705412,-4.190263979401586,1.631972173643717,-2.5676074917662053,13.340305655598844,18.996941944320326,ok,ok,0.01024030346826553,5.787037037037037e-4,0.09216273121438977,0.005208333333333333
rel_ifnc_ibov,7,-2.173335441169734,0.5612617874961597,-2.7345972286658937,1.6585700381976003,-1.64876801442623,13.228828727100147,22.646193624221418,ok,ok,0.09919517010787378,0.07465277777777778,0.6943661907551164,0.5225694444444444
rel_ifnc_ibov,8,-1.7102662068204335,0.844050356691323,-2.5543165635117564,1.4808270566965174,-1.7249256433833795,13.120909371481169,23.25421812541725,ok,ok,0.08454087356428916,0.05439814814814815,0.6763269885143133,0.4351851851851852
