var,h0,h0_pct_media,lo90_h0,hi90_h0,sig90_h0,n_sig90_h0a4,n_sig90_h0a24
commodity_metal,12.065320278215106,3.9781447057357475,5.422271997377212,18.467143680692004,TRUE,4,4
commodity_metal_usd,0.42033705326597576,0.5927208655397869,-1.4423679309392596,1.876483039639086,FALSE,0,0
commodity_agro,10.675859277749081,3.969481890363144,5.878330826435497,16.319851090454595,TRUE,5,6
commodity_agro_usd,0.3954802444226031,0.6219264804505671,-0.7078896072856263,1.0464784925128672,FALSE,0,0
commodity_energia,10.53626019042733,8.045941407795254,6.37018909687066,14.74834214385821,TRUE,4,4
commodity_energia_usd,1.3331816514037838,4.277353774829352,-0.0035036249786155474,2.1412012882513816,FALSE,2,2
cambio_usd,0.1342852956069816,3.2659675325855253,0.06411932823044551,0.2515499919298069,TRUE,4,4
msci,1.842148426446909,0.6584033349916084,-10.647885558459683,14.323402772369665,FALSE,0,0
sp500_vix,-0.6936007795400195,-3.8821507217556226,-2.6422593610222216,2.0049585631956055,FALSE,1,1
epu_us,-26.537321203024543,-14.958491549331912,-57.80546320653935,4.93868422204394,FALSE,0,0
