var,beta_juros,se_juros,t_juros,beta_cambio,se_cambio,t_cambio,R2,irf_h0,irf_h12,irf_h48
asset_imob,-5.767651625438674,1.224551828231193,-4.710010219632577,-0.17732939055839939,0.07976825398853231,-2.2230571899429155,0.36260797961751606,-3.787472630379492,15.53427730329598,31.345590083097896
asset_smll,-3.762546071148937,1.074413784519535,-3.5019525301711414,-0.16681801951479092,0.06799948510770774,-2.453224745019166,0.33178521881528755,-4.056447726658324,6.012477856292404,-1.5005394806637327
asset_ifnc,-3.706216165672578,1.1350017071879417,-3.2653837806597026,-0.19728241257090368,0.06243366220471352,-3.159872504740072,0.3131100270812319,-3.150614599797503,28.838896307112655,64.59317565093077
asset_ibov,-2.872544983509113,0.9920641253074826,-2.8955234951357505,-0.14158384470451105,0.06001254160786601,-2.3592376011942355,0.26826926629298253,-2.4071247096898034,19.15753289137166,13.85893672593281
asset_mlcx,-2.6604306328052054,0.9611785450807927,-2.767883913369686,-0.13847118975198297,0.05919791794523382,-2.3391226340103346,0.26076096125109116,-2.478226647465269,16.121662596271083,8.238019283013674
asset_idiv,-2.362579616403995,0.9140546509176293,-2.5847246814314397,-0.1718336365257689,0.049645663365183695,-3.4612013392145577,0.2852343458067836,-2.8998802971059447,21.30017383103134,30.192665157929614
asset_ifix,-1.3477587661823338,0.583483666579149,-2.3098483186067242,-0.07632235188996987,0.030296761944879763,-2.5191587150081087,0.26934407584748143,-2.1754831969071566,-14.391667379372237,-42.82149016480595
asset_imat,-0.3746691810473135,1.3115947452701684,-0.2856592574790603,-0.04966364970084453,0.05795829352506181,-0.8568859895671259,0.014208534301400101,-0.4554844870638769,11.972189297955172,-27.05972129261678
