var,h,point,lo68,hi68,lo90,hi90,sig68,sig90
asset_ibov,0,-1.7226766564462794,-5.042048896773934,-0.6326662923348056,-6.909569370161542,0.774686448958163,TRUE,FALSE
asset_ibov,1,-3.227807155580595,-7.657068204324984,-0.9403490823726279,-10.78106746499438,1.568429536590793,TRUE,FALSE
asset_ibov,2,-2.3074304331649635,-8.122936966599394,1.4775087136144904,-12.647372491465989,4.733596722325477,FALSE,FALSE
asset_ibov,3,-3.1177873110159946,-10.075079322625353,2.6426897005304575,-15.298569355921254,6.669833807929727,FALSE,FALSE
asset_ibov,4,-3.2572211450169344,-11.379498739198173,3.6513587914498435,-17.003036562829852,8.886572492926081,FALSE,FALSE
asset_ibov,5,-2.097339178015495,-11.081360141051293,5.7013049090978845,-17.482415583473117,12.058195232864986,FALSE,FALSE
asset_ibov,6,-0.9124523659370144,-11.561861982542045,8.313767117603003,-18.318295514478898,15.47783312398668,FALSE,FALSE
asset_ibov,7,0.8449853337893078,-11.502279373774972,11.364995219954187,-19.315334063451754,19.865384823373155,FALSE,FALSE
asset_ibov,8,2.852198003317811,-10.419003980455047,14.435895083987473,-19.60351590846761,25.142705631000844,FALSE,FALSE
asset_ibov,9,4.612485851245432,-10.12007982451518,17.626980958749495,-21.0703392367492,29.139542343308385,FALSE,FALSE
asset_ibov,10,6.56867858480462,-9.668573366046646,20.756415306264667,-20.72162692298797,33.48029322994035,FALSE,FALSE
asset_ibov,11,8.361694505642262,-9.540140144260098,24.22167671506611,-21.811423926602377,37.73214397471554,FALSE,FALSE
asset_ibov,12,10.259005357010963,-9.164877741460668,27.213628683314777,-22.767951229142394,43.18756303372712,FALSE,FALSE
asset_idiv,0,-2.039189774984028,-5.554537522983025,-1.0283546424040895,-7.4245403685042595,0.27633239442375773,TRUE,FALSE
asset_idiv,1,-3.714385102128163,-8.493544035866137,-1.4369131148066192,-11.69775182192717,0.8304890896602579,TRUE,FALSE
asset_idiv,2,-2.8799612570001227,-9.234134424267555,0.6848190165000112,-14.048279979144707,3.692665426814602,FALSE,FALSE
asset_idiv,3,-3.778113418234531,-11.321336003098683,1.3969947766851432,-17.339926140104517,5.247313207430027,FALSE,FALSE
asset_idiv,4,-4.055367979941015,-13.06325843531669,2.600600888565132,-19.31923868526101,7.431837036866645,FALSE,FALSE
asset_idiv,5,-3.0743518427274386,-13.24984491569565,5.139931220015021,-19.98965769914641,10.970406351551452,FALSE,FALSE
asset_idiv,6,-2.0647487825940227,-13.88672773919777,7.573316694556386,-21.120448154531033,14.613274293336774,FALSE,FALSE
asset_idiv,7,-0.4346642083728812,-14.11009104457543,10.489612569662631,-22.819589355421073,19.10263617140503,FALSE,FALSE
asset_idiv,8,1.4811331127433356,-13.325296392040169,13.315052928626072,-23.51842037391088,23.40618495368234,FALSE,FALSE
asset_idiv,9,3.20440314866942,-13.022945340443064,16.466068459029763,-24.4002275961823,28.447855478579438,FALSE,FALSE
asset_idiv,10,5.163083654140826,-12.517538733767594,20.084361837899696,-25.225780991700947,33.21162244822986,FALSE,FALSE
asset_idiv,11,6.982899772288413,-12.554274061455999,23.718333880150027,-26.871349211672342,37.69860537210064,FALSE,FALSE
asset_idiv,12,8.939549125867497,-12.38356600300561,27.167177831678583,-26.915333707693208,41.85396478558583,FALSE,FALSE
asset_ifix,0,-1.3106028057962482,-2.4408175735655084,-0.7834540071085049,-3.331140863947228,-0.23435377852608844,TRUE,TRUE
asset_ifix,1,-2.736256505477551,-4.463620078731951,-1.5156223819400034,-5.791768418305298,-0.6414083260469827,TRUE,TRUE
asset_ifix,2,-3.5533070906246245,-5.829860682590408,-1.5896358395329249,-7.442778959904014,-0.28815304885932447,TRUE,TRUE
asset_ifix,3,-4.859291976390699,-7.544697498818323,-2.055148560940288,-9.183567994326927,-0.05532944770746342,TRUE,TRUE
asset_ifix,4,-5.725897129422209,-8.63001275889946,-1.9905235376443842,-10.822241296202463,0.257927623284266,TRUE,FALSE
asset_ifix,5,-5.871110742455466,-9.200469648038741,-1.3879959314365728,-11.914584315583236,1.1619555083654107,TRUE,FALSE
asset_ifix,6,-6.034355164680206,-9.889462199245155,-0.8781975137223803,-13.210381121021944,1.7318957017615946,TRUE,FALSE
asset_ifix,7,-5.876468734335587,-10.217268234873396,-0.10894417646836874,-14.073658316522046,3.2447223800603573,TRUE,FALSE
asset_ifix,8,-5.534821085468669,-10.51554919244768,0.8717418497917443,-14.651913415425831,4.599175714882589,FALSE,FALSE
asset_ifix,9,-5.307630707172549,-10.945816729636773,1.6995535534168118,-15.319451126020475,6.041166570232393,FALSE,FALSE
asset_ifix,10,-4.920711731080471,-11.061080000427477,2.524032685393994,-15.815579883847056,7.315230674576596,FALSE,FALSE
asset_ifix,11,-4.533851050741053,-11.380876322120358,3.4957346831990614,-16.274676859685833,8.74243185021939,FALSE,FALSE
asset_ifix,12,-4.093093301611188,-11.553790368396871,4.419808093894758,-16.83060731742409,10.450143281297327,FALSE,FALSE
asset_ifnc,0,-2.7006811170838465,-6.85250748831702,-1.3737767673752166,-9.130975602806558,0.41688082054032655,TRUE,FALSE
asset_ifnc,1,-4.947579707856504,-11.043421898148383,-2.0037870726927687,-14.92189142366997,0.723299605393742,TRUE,FALSE
asset_ifnc,2,-4.08135408445061,-12.231388487708692,0.11681535978482105,-17.63455886171381,4.457340956338501,FALSE,FALSE
asset_ifnc,3,-5.389314230451798,-14.864242576146895,1.1167105353484637,-21.970227417902372,5.934651101004596,FALSE,FALSE
asset_ifnc,4,-5.912313590770888,-16.7098048546248,2.269885136907052,-24.31936678018163,8.990858521404272,FALSE,FALSE
asset_ifnc,5,-4.855794102597763,-16.90299517714248,5.230314249651656,-26.0425598659887,12.825591704544864,FALSE,FALSE
asset_ifnc,6,-3.765677027930888,-17.739365722806724,8.139041017127912,-27.777892816059385,16.498758825557182,FALSE,FALSE
asset_ifnc,7,-1.8801073594925117,-18.13406696279064,11.768623571011089,-29.955572748118314,21.846616965453915,FALSE,FALSE
asset_ifnc,8,0.37492754992160043,-17.584536170673108,15.162520770214405,-30.45614258364397,28.835797516321136,FALSE,FALSE
asset_ifnc,9,2.399651393691495,-16.969691721501352,19.376513137465842,-32.065326629247835,34.10718487532327,FALSE,FALSE
asset_ifnc,10,4.73374424296766,-16.45308480392687,23.584568364257247,-32.83298736803649,39.52506739182098,FALSE,FALSE
asset_ifnc,11,6.90449059912427,-16.12903604967592,27.604352371159855,-34.78921254450943,44.77329134701512,FALSE,FALSE
asset_ifnc,12,9.255636488454954,-15.685212146667133,32.02567965905254,-36.23081388611625,50.38104960379958,FALSE,FALSE
asset_imat,0,-0.06907334973422977,-2.596196362341246,0.8327640163346932,-4.079639376705932,2.0560050429945904,FALSE,FALSE
asset_imat,1,0.13552132978737227,-3.3821657203149194,2.3240732681601806,-5.596541983047559,4.298541315687885,FALSE,FALSE
asset_imat,2,1.9950804102471398,-2.7353589552415922,5.8329555306817555,-5.439877318093036,8.874936592798202,FALSE,FALSE
asset_imat,3,2.572254273747346,-3.275831766574248,8.336439691701019,-6.343190408133233,12.304917722465808,FALSE,FALSE
asset_imat,4,3.432789816873693,-3.1941785382466144,10.634069426987883,-7.2630279330782175,16.604857271890985,FALSE,FALSE
asset_imat,5,4.86996169241245,-2.889053431342814,13.593286790271172,-7.65378371337206,21.246842073604935,FALSE,FALSE
asset_imat,6,6.310842386511323,-2.742637618365576,16.718491292929254,-8.239037130420675,24.58887793386474,FALSE,FALSE
asset_imat,7,7.951776248227485,-2.120127116166877,19.64338176136047,-8.32315140206654,28.13254230248265,FALSE,FALSE
asset_imat,8,9.565263926034625,-1.8195471600228936,22.397442866505884,-8.333821712208191,32.36101273457081,FALSE,FALSE
asset_imat,9,10.934226274961944,-1.1038460182446674,25.595049013780212,-8.478188765803203,36.504153311682266,FALSE,FALSE
asset_imat,10,12.264370848155837,-1.0633285185280736,27.94389947272062,-8.912625077206897,40.08430737567323,FALSE,FALSE
