var,indicador,h,n_alto,n_baixo,F_alto,F_baixo,flag_alto,flag_baixo
cds_5y,cds_ma12,1,70,70,11.73555953153312,19.311425586911078,ok,ok
cds_5y,cds_ma12,2,70,69,11.621406181662561,19.144832944278807,ok,ok
cds_5y,cds_ma12,3,70,68,11.651231809397665,19.330773479336234,ok,ok
cds_5y,cds_ma12,4,70,67,11.972464952813931,19.342524608199525,ok,ok
cds_5y,cds_ma12,5,70,66,11.703355861337302,19.970774546317525,ok,ok
cds_5y,cds_ma12,6,70,65,11.586230794546797,19.929124991314037,ok,ok
cds_5y,cds_ma12,7,70,64,11.386298221634373,24.391696804491254,ok,ok
cds_5y,cds_ma12,8,70,63,11.164778059828558,25.2266633900881,ok,ok
cds_5y,cds_ma12,9,70,62,11.200002082868274,19.82779388726744,ok,ok
cds_5y,cds_ma12,10,70,61,11.73211957497008,21.79105191970143,ok,ok
cds_5y,cds_ma12,11,70,60,12.229939815946386,22.591182292953587,ok,ok
cds_5y,cds_ma12,12,70,59,12.80169034167773,25.34863446538902,ok,ok
cds_5y,cds_ma12,13,70,58,13.33444137585383,34.266457050047705,ok,ok
cds_5y,cds_ma12,14,70,57,13.686000890430574,40.321677993581766,ok,ok
cds_5y,cds_ma12,15,70,56,14.190048042742854,42.25044063379191,ok,ok
cds_5y,cds_ma12,16,70,55,14.970641196651206,44.69111191234743,ok,ok
cds_5y,cds_ma12,17,70,54,15.605420271296154,46.18358691230766,ok,ok
cds_5y,cds_ma12,18,70,53,16.321507389041198,46.74535147813573,ok,ok
cds_5y,cds_ma12,19,70,52,17.01179553084972,47.89403073590069,ok,ok
cds_5y,cds_ma12,20,70,51,17.816876324590307,48.23356763603332,ok,ok
cds_5y,cds_ma12,21,70,50,18.774137468362618,48.4605433781664,ok,ok
cds_5y,cds_ma12,22,70,49,19.715321605293404,47.76751562650987,ok,ok
cds_5y,cds_ma12,23,69,49,20.53031540204058,49.39373237295315,ok,ok
cds_5y,cds_ma12,24,68,49,21.635594869474804,51.297950727014836,ok,ok
price_ipp,cds_ma12,0,70,71,12.783120592471425,18.258908037946085,ok,ok
price_ipp,cds_ma12,1,70,70,13.069182818369844,18.63630896829675,ok,ok
price_ipp,cds_ma12,2,70,69,12.883216234589426,18.720564338165165,ok,ok
price_ipp,cds_ma12,3,70,68,12.849395349662478,19.051630864236536,ok,ok
price_ipp,cds_ma12,4,70,67,13.251819147015278,19.058434344320126,ok,ok
price_ipp,cds_ma12,5,70,66,13.004726363362101,19.429473404275328,ok,ok
price_ipp,cds_ma12,6,70,65,12.972093838787412,19.373806688456238,ok,ok
price_ipp,cds_ma12,7,70,64,12.899718079371889,23.010608726713482,ok,ok
price_ipp,cds_ma12,8,70,63,12.852935406488838,23.266103119005745,ok,ok
price_ipp,cds_ma12,9,70,62,13.029132471028051,18.922225335621473,ok,ok
price_ipp,cds_ma12,10,70,61,13.758737134724623,18.850900019511307,ok,ok
price_ipp,cds_ma12,11,70,60,14.364948535007652,19.430945855458933,ok,ok
price_ipp,cds_ma12,12,70,59,14.991307370941145,21.520694543906167,ok,ok
price_ipp,cds_ma12,13,70,58,15.608006509946323,28.244603064483545,ok,ok
price_ipp,cds_ma12,14,70,57,15.964800318236673,32.2228305435523,ok,ok
price_ipp,cds_ma12,15,70,56,16.468591389859494,33.38282459428181,ok,ok
price_ipp,cds_ma12,16,70,55,17.316648684847713,35.77117009539742,ok,ok
price_ipp,cds_ma12,17,70,54,17.966227794220465,36.749647574068824,ok,ok
price_ipp,cds_ma12,18,70,53,18.808531741129283,38.097685671163454,ok,ok
price_ipp,cds_ma12,19,70,52,19.621307937961667,38.21878135921299,ok,ok
price_ipp,cds_ma12,20,70,51,20.498521444054425,38.3939591111975,ok,ok
price_ipp,cds_ma12,21,70,50,21.59565221971008,38.71158943568545,ok,ok
price_ipp,cds_ma12,22,70,49,22.767336386152028,38.57759393845981,ok,ok
price_ipp,cds_ma12,23,69,49,23.609775363899228,40.075523294204665,ok,ok
price_ipp,cds_ma12,24,68,49,24.868846119564555,41.7109618318754,ok,ok
price_core_ipca_ex0,cds_ma12,0,70,71,11.916443762352829,22.82536215797062,ok,ok
price_core_ipca_ex0,cds_ma12,1,70,70,12.085383895300467,23.117614986402444,ok,ok
price_core_ipca_ex0,cds_ma12,2,70,69,12.031940540914425,23.577852590832364,ok,ok
price_core_ipca_ex0,cds_ma12,3,70,68,12.005175686900895,24.519509200853054,ok,ok
price_core_ipca_ex0,cds_ma12,4,70,67,12.364183327990432,25.1896635865283,ok,ok
price_core_ipca_ex0,cds_ma12,5,70,66,12.141166963025437,26.60893354666684,ok,ok
price_core_ipca_ex0,cds_ma12,6,70,65,12.172627917379918,26.7044960159822,ok,ok
price_core_ipca_ex0,cds_ma12,7,70,64,12.051539523595354,31.286076344335406,ok,ok
price_core_ipca_ex0,cds_ma12,8,70,63,11.919352001837103,32.722011578374286,ok,ok
price_core_ipca_ex0,cds_ma12,9,70,62,11.90296050349492,27.199580153399896,ok,ok
price_core_ipca_ex0,cds_ma12,10,70,61,12.416352174443482,34.401162865439034,ok,ok
price_core_ipca_ex0,cds_ma12,11,70,60,12.90975796740613,35.23300304945072,ok,ok
price_core_ipca_ex0,cds_ma12,12,70,59,13.430926508692671,39.27137456450366,ok,ok
price_core_ipca_ex0,cds_ma12,13,70,58,13.880679345880777,46.88073100234924,ok,ok
price_core_ipca_ex0,cds_ma12,14,70,57,14.168937810058127,50.3150142197322,ok,ok
price_core_ipca_ex0,cds_ma12,15,70,56,14.532949945400631,53.79706913476796,ok,ok
price_core_ipca_ex0,cds_ma12,16,70,55,15.24541550921224,53.47488467335308,ok,ok
price_core_ipca_ex0,cds_ma12,17,70,54,15.819741181526798,54.20443066666669,ok,ok
price_core_ipca_ex0,cds_ma12,18,70,53,16.458166828472198,60.4238861470029,ok,ok
price_core_ipca_ex0,cds_ma12,19,70,52,17.074316546694,60.730140334466654,ok,ok
price_core_ipca_ex0,cds_ma12,20,70,51,17.93155063792759,63.345682036398706,ok,ok
price_core_ipca_ex0,cds_ma12,21,70,50,18.95022845822509,65.90972048335773,ok,ok
price_core_ipca_ex0,cds_ma12,22,70,49,20.053848583912764,59.71524144108687,ok,ok
price_core_ipca_ex0,cds_ma12,23,69,49,21.242249994601504,61.610595381231526,ok,ok
price_core_ipca_ex0,cds_ma12,24,68,49,22.60239023495171,63.832354777646856,ok,ok
asset_ifnc,cds_ma12,0,70,71,11.346071683508528,18.54925939556768,ok,ok
asset_ifnc,cds_ma12,1,70,70,11.800561066108518,18.745428562743726,ok,ok
asset_ifnc,cds_ma12,2,70,69,11.852509210773102,18.277089801714165,ok,ok
asset_ifnc,cds_ma12,3,70,68,12.133093172364273,18.29134328402349,ok,ok
asset_ifnc,cds_ma12,4,70,67,12.903456098098163,18.0508187213883,ok,ok
asset_ifnc,cds_ma12,5,70,66,13.039510629575474,18.367190672951782,ok,ok
asset_ifnc,cds_ma12,6,70,65,13.174181118486853,18.35214109534125,ok,ok
asset_ifnc,cds_ma12,7,70,64,13.064391160186641,23.312816265629156,ok,ok
asset_ifnc,cds_ma12,8,70,63,13.01263012307892,23.7418901205639,ok,ok
asset_ifnc,cds_ma12,9,70,62,13.245047724054542,20.55923246905054,ok,ok
asset_ifnc,cds_ma12,10,70,61,14.075602195625597,25.817804163360957,ok,ok
asset_ifnc,cds_ma12,11,70,60,14.891830816729017,27.9100848717272,ok,ok
asset_ifnc,cds_ma12,12,70,59,15.877257345258558,30.064444845225527,ok,ok
asset_ifnc,cds_ma12,13,70,58,16.796239277646706,37.273444178585265,ok,ok
asset_ifnc,cds_ma12,14,70,57,17.4410392691169,45.16529664918254,ok,ok
asset_ifnc,cds_ma12,15,70,56,18.26354859639286,47.36566963123952,ok,ok
asset_ifnc,cds_ma12,16,70,55,19.544526463212915,49.87005603469354,ok,ok
asset_ifnc,cds_ma12,17,70,54,20.53020079538371,51.594375027980426,ok,ok
asset_ifnc,cds_ma12,18,70,53,21.728344109069496,51.65986825828386,ok,ok
asset_ifnc,cds_ma12,19,70,52,22.87165680794317,53.126336007913714,ok,ok
asset_ifnc,cds_ma12,20,70,51,24.112058921891382,54.960575034264494,ok,ok
asset_ifnc,cds_ma12,21,70,50,25.630991083657968,54.83891027331082,ok,ok
asset_ifnc,cds_ma12,22,70,49,27.03928643754151,52.491288279124895,ok,ok
asset_ifnc,cds_ma12,23,69,49,27.981872769001704,54.278284812874944,ok,ok
asset_ifnc,cds_ma12,24,68,49,29.307043708353266,56.40618199543889,ok,ok
asset_ibov,cds_ma12,0,70,71,11.449349086557191,20.404464248377174,ok,ok
asset_ibov,cds_ma12,1,70,70,12.1134636409542,20.65591827497867,ok,ok
asset_ibov,cds_ma12,2,70,69,12.41371474720965,20.381975180733946,ok,ok
asset_ibov,cds_ma12,3,70,68,12.751372727045895,20.384592234544176,ok,ok
asset_ibov,cds_ma12,4,70,67,13.641274208105921,20.218623565258547,ok,ok
asset_ibov,cds_ma12,5,70,66,13.719150247843192,20.574849229572276,ok,ok
asset_ibov,cds_ma12,6,70,65,13.844317798958258,20.437283735842282,ok,ok
asset_ibov,cds_ma12,7,70,64,13.662897339118752,26.566342916864567,ok,ok
asset_ibov,cds_ma12,8,70,63,13.468576852263414,27.058343097308704,ok,ok
asset_ibov,cds_ma12,9,70,62,13.519071370793693,22.89511440041707,ok,ok
asset_ibov,cds_ma12,10,70,61,14.240527774903477,27.1185998337852,ok,ok
asset_ibov,cds_ma12,11,70,60,14.901715991666878,29.431418961356965,ok,ok
asset_ibov,cds_ma12,12,70,59,15.728083084865986,32.16925572215956,ok,ok
asset_ibov,cds_ma12,13,70,58,16.466915843561893,42.597261103332976,ok,ok
asset_ibov,cds_ma12,14,70,57,16.94381782101537,52.12809851149241,ok,ok
asset_ibov,cds_ma12,15,70,56,17.59140912999086,55.11650840916082,ok,ok
