var,h,lp,lp_se,lp_t,dfm,dfm_sig90,razao_lp_dfm
yield_6m,0,0.004999999999943157,3.630663120712031e-14,137715889183.42215,0.005,TRUE,0.9999999999886313
yield_6m,1,0.004587075346057929,7.042787156105801e-4,6.513153449598611,0.005843234062734047,TRUE,0.785023378630778
yield_6m,2,0.005341153215932053,0.0011569622611800278,4.616531926014956,0.0057904973930935025,TRUE,0.9223997272328633
yield_6m,3,0.006652706607195995,0.001227056757955374,5.421677981938911,0.005971603910447129,TRUE,1.1140569111687564
yield_6m,4,0.007543307580310313,0.0020127648911511847,3.7477340813491526,0.0046340061686039056,FALSE,1.627815610479193
yield_6m,5,0.0071561534639927515,0.002155249683151476,3.3203361633389927,0.004074720879365372,FALSE,1.7562315741016612
yield_6m,6,0.006986077011961953,0.002626893054198655,2.6594447767090714,0.004145202047359336,FALSE,1.685340529157649
yield_6m,7,0.008674725000037568,0.0034230749953269623,2.5341907530159102,0.0035742394633253424,FALSE,2.4270128202229966
yield_6m,8,0.00759362211453535,0.00360633493483914,2.105634183108415,0.0027950706087650694,FALSE,2.716790799746701
yield_6m,9,0.006110188905743996,0.004383560663219133,1.393887155939776,0.002320087738442374,FALSE,2.633602516190256
yield_6m,10,0.007458008185724623,0.004233849033033335,1.761519630845539,0.001387574796203595,FALSE,5.374851291713957
yield_6m,11,0.006688262590056411,0.004179204422847394,1.6003674176578169,3.6280715138936907e-4,FALSE,18.434759525670117
yield_6m,12,0.006482223567794279,0.004122354087886667,1.572456763683152,-3.2218917259283056e-4,FALSE,-20.11930914880944
yield_6m,13,0.00484303407069568,0.004600629506135349,1.0526894339648656,-0.0013327422352598236,FALSE,-3.6338865405218512
yield_6m,14,0.005621817810805218,0.004367128871856144,1.2873029342080757,-0.0022416063306616805,FALSE,-2.5079416193233905
yield_6m,15,0.0029196841648842665,0.0036457435500725174,0.8008473785343984,-0.0028342444559389035,FALSE,-1.0301454974239543
yield_6m,16,0.004481646373964239,0.004069168848710008,1.1013665297730253,-0.003517032969505316,FALSE,-1.2742690821560876
yield_6m,17,0.002133687380480822,0.0037217781355480244,0.5732978438723191,-0.004113605346776609,FALSE,-0.5186903459644625
yield_6m,18,0.002210141196752282,0.003515716426223432,0.6286460364854871,-0.004592398150386198,FALSE,-0.48126079760014273
yield_6m,19,-4.5471405892858033e-4,0.0037218433663399743,-0.12217442115941109,-0.005111444040524683,FALSE,0.08895999942941848
yield_6m,20,7.531066184772329e-4,0.0036621274753534695,0.20564729751919486,-0.005551514678989581,FALSE,-0.1356578631283209
yield_6m,21,8.393503000604952e-4,0.0037647931513061406,0.22294725535433327,-0.0059061252770338316,FALSE,-0.14211522117966874
yield_6m,22,-0.0026610497371555297,0.004636590317829301,-0.5739238437614099,-0.006262225699751968,FALSE,0.4249367341169015
yield_6m,23,-0.0011003697116033705,0.004609575018583409,-0.23871391769680547,-0.006577515061722248,FALSE,0.16729261754290095
yield_6m,24,-0.0027590217314007503,0.004969038237438838,-0.5552426042152608,-0.006841564381333914,FALSE,0.4032735172277686
cambio_usd,0,0.08194875565055554,0.033539133371858626,2.4433772555171487,0.14975595400397,TRUE,0.5472153424256047
cambio_usd,1,0.10273300929861306,0.05101300636664614,2.013859143298464,0.19373518767615738,TRUE,0.5302754266320419
cambio_usd,2,0.051343635999892286,0.04620735843275632,1.11115713473668,0.15063336073416075,TRUE,0.3408516928099615
cambio_usd,3,-0.02482199333999688,0.05823086086873506,-0.42626869961532965,0.1330757073050528,TRUE,-0.1865253534448387
cambio_usd,4,-0.051613782529020685,0.05104060631139691,-1.0112298081673805,0.11936515548047422,TRUE,-0.4324024236492004
cambio_usd,5,-0.05568899154064184,0.04895352184774323,-1.1375890730364093,0.0783140045661205,FALSE,-0.711098760038808
cambio_usd,6,-0.03894654210176668,0.06741555472601217,-0.577708546047745,0.06910469886122948,FALSE,-0.5635874657376918
cambio_usd,7,0.008387057226423167,0.06437645299146041,0.13028144355104057,0.05274301448366656,FALSE,0.1590174036984645
cambio_usd,8,-0.04833263761973285,0.058227503684554316,-0.8300654254658315,0.02040650564687119,FALSE,-2.368491620080159
cambio_usd,9,-0.04441976396561586,0.06992367984978524,-0.6352606736522075,0.006694682493219253,FALSE,-6.635081500968368
cambio_usd,10,-0.03301561865269832,0.06507359606637819,-0.5073581398363294,-0.0025494061278257254,FALSE,12.950317445442037
cambio_usd,11,-0.029561280656926103,0.07084204467461917,-0.4172844077652254,-0.015390147021664208,FALSE,1.9207926094087113
cambio_usd,12,-0.023761730553569577,0.09073268775552026,-0.2618872111183975,-0.020639979808059664,FALSE,1.1512477616034735
cambio_usd,13,-0.043284507077323724,0.10298779462384298,-0.4202877363809751,-0.036802172019019,FALSE,1.1761400130121318
cambio_usd,14,-0.05557192104225578,0.10923703120990266,-0.5087278592867692,-0.05159460407845332,FALSE,1.0770878473600585
cambio_usd,15,0.008606532447920472,0.1134511845328567,0.07586110698939354,-0.05702014805483521,FALSE,-0.15093844441869442
cambio_usd,16,0.03033429555114708,0.10192317424942156,0.29761921932410024,-0.06327688130616836,FALSE,-0.4793898644336321
cambio_usd,17,0.017761429502934335,0.10133362171646272,0.17527676601386885,-0.0682343716390631,FALSE,-0.2603003307026308
cambio_usd,18,0.03083006786767328,0.09891441001480451,0.31168429213760607,-0.06802790011765357,FALSE,-0.45319740598126634
cambio_usd,19,0.007493000105368992,0.09991150571983054,0.07499636855019165,-0.06699490865873058,FALSE,-0.11184432153699976
cambio_usd,20,-0.01949992169003963,0.10575693010432544,-0.18438433936011242,-0.06425936953808947,FALSE,0.3034564738217846
cambio_usd,21,0.02152191085246159,0.10940868675129752,0.19671117067133934,-0.0586192608251297,FALSE,-0.3671474281578673
cambio_usd,22,0.007178724768327811,0.09265830025414555,0.07747524775047483,-0.05273343942291778,FALSE,-0.1361323070690504
cambio_usd,23,-0.020572481811086618,0.08283533460011917,-0.24835394110977638,-0.046925615721047836,FALSE,0.43840622003515056
cambio_usd,24,0.07457782949169087,0.11664384609544506,0.6393636011510352,-0.04066434397819272,FALSE,-1.833985801705915
embi_perc,0,0.14773147846500023,0.06323328725049848,2.3362928749815333,0.1995366882215048,TRUE,0.7403725088441088
embi_perc,1,0.11321845385831694,0.06500379818053383,1.7417205921395156,0.20187550984625527,TRUE,0.5608330299427705
embi_perc,2,-0.019378618590969836,0.07663134590051031,-0.2528810940646781,0.10012615665914529,FALSE,-0.1935420197635224
embi_perc,3,-0.038422887378801535,0.09859760878330534,-0.3896939069105228,0.121219281240067,FALSE,-0.31697009737838217
embi_perc,4,-0.0946975339150481,0.11119027476101787,-0.8516710127624223,0.11270454590419936,FALSE,-0.8402281660896136
embi_perc,5,-0.05525537142386838,0.06725865579064656,-0.8215354704063617,0.08098741403177007,FALSE,-0.6822710921747988
embi_perc,6,0.021502695510778266,0.06341834323330722,0.33906113617116823,0.06772670384847175,FALSE,0.31749213070943616
embi_perc,7,-0.013207435670906306,0.08017131681375775,-0.1647401613919837,0.04857775669645831,FALSE,-0.2718823710496543
embi_perc,8,0.03625200716278187,0.10458981825992344,0.3466112453956988,0.014748502002548316,FALSE,2.458012831168757
embi_perc,9,-0.14247641261161334,0.12437865247253944,-1.1455053562593434,6.612220524734436e-4,FALSE,-215.47438122889218
embi_perc,10,-0.03417955878263001,0.08921793272303613,-0.38310189150801544,-0.011270416621612487,FALSE,3.032679263789261
embi_perc,11,0.0021077737994710335,0.06925552422899746,0.030434738931461345,-0.031632687915157935,FALSE,-0.06663277572630867
embi_perc,12,0.08732119010376437,0.10563820359314523,0.8266061626726731,-0.0493788543690932,FALSE,-1.7683923861631694
embi_perc,13,-0.06585942706182095,0.10449659919297453,-0.630254262535357,-0.07556002346985183,FALSE,0.8716173452235443
embi_perc,14,-0.05399323655019316,0.10229093555804317,-0.5278398936878983,-0.10453514271111378,FALSE,0.5165079909959582
embi_perc,15,0.07109798871396607,0.09585447009541946,0.7417284623574752,-0.11884316433457817,FALSE,-0.5982505524154884
embi_perc,16,-0.060220529567855015,0.09613253663582265,-0.6264323368058775,-0.13520852970292338,FALSE,0.4453900186635412
embi_perc,17,-0.08947750790489409,0.08460564966909885,-1.0575831313257396,-0.1516810338309486,FALSE,0.5899057096658404
embi_perc,18,-0.029362912625688298,0.08901211613127803,-0.32987545855423656,-0.16020635360787985,FALSE,0.183281823500938
embi_perc,19,-0.2133663770164594,0.12195834986432046,-1.7495020000994688,-0.16678387165269865,FALSE,1.2792986210367006
embi_perc,20,-0.17029786911193015,0.09671053161384681,-1.7609030399285621,-0.17147545081054333,FALSE,0.9931326513909315
embi_perc,21,-0.23916910740113737,0.06630116184083222,-3.6073139709874997,-0.17180005363422768,FALSE,1.3921363954305994
embi_perc,22,-0.18718383696600313,0.08380757043646934,-2.2334955659870674,-0.17183344951005736,FALSE,1.0893329412853772
embi_perc,23,-0.08301210919248661,0.14075942330055807,-0.58974459575068106,-0.17171607307543632,FALSE,0.4834265523648371
embi_perc,24,0.029511953511864704,0.19463488306679222,0.1516272573901215,-0.17030968692894688,FALSE,-0.1732840570846512
cds_5y,0,17.06506167582964,6.393855714666192,2.6689782249364638,29.06725606878315,TRUE,0.5870888409778969
cds_5y,1,13.88989090967938,6.471516339427078,2.1463116495675956,31.908122583123827,TRUE,0.43530893657233627
cds_5y,2,-2.6076225710776635,6.482848793078334,-0.40223405701854303,20.958638823503044,TRUE,-0.12441755368929171
cds_5y,3,1.5516517339638085,9.102413768864597,0.1704659635745559,22.40148895920007,TRUE,0.06926556251639517
cds_5y,4,-6.595296029211895,8.743309530266268,-0.7543248933806239,19.735365503692467,TRUE,-0.33418666748168013
cds_5y,5,1.3056438608601457,5.939718358409212,0.2198157862168108,14.872925779354652,FALSE,0.08778661846565058
cds_5y,6,6.972457421165309,6.663493050074617,1.0463667281962923,13.621425301682018,FALSE,0.5118742911804044
cds_5y,7,4.278934239779483,6.7010549251516025,0.6385463613675242,10.870444381659878,FALSE,0.39363011203099546
cds_5y,8,6.760009885205655,8.197286383379518,0.8246643546469199,6.113451951167922,FALSE,1.1057598782491802
cds_5y,9,-5.946229425760684,9.691207729899658,-0.6135694942762568,4.172023369583807,FALSE,-1.4252627320143387
cds_5y,10,4.605707962013257,7.633681015987816,0.6033403743707868,2.1259975041374095,FALSE,2.166375055967882
cds_5y,11,12.795567638591455,8.260906938530672,1.5489301276243819,-0.8810561091159933,FALSE,-14.522988384281081
cds_5y,12,14.947627528425656,9.897431235512547,1.510253233666602,-2.974937195130959,FALSE,-5.024518686609668
cds_5y,13,5.54921487552012,12.761055632623304,0.43485547240572303,-6.585165617631857,FALSE,-0.8426841780048832
cds_5y,14,8.12088453833254,12.265362473132786,0.6620990252934877,-10.274373666269623,FALSE,-0.790401906930161
cds_5y,15,14.435344910260028,10.156244717207047,1.4213270073931152,-11.94670139129992,FALSE,-1.2083121890677238
cds_5y,16,9.908072485909507,12.658335961780196,0.7827310410961863,-13.978891324811604,FALSE,-0.7087881474780003
cds_5y,17,0.22194745126820636,10.505133077079817,0.021127524005617127,-15.881867315925271,FALSE,-0.013974896456013856
cds_5y,18,11.410542023177259,11.735488559666047,0.9723107789814901,-16.769052047340175,FALSE,-0.680452418596145
cds_5y,19,-7.713579887697124,14.490346277642255,-0.5323254351484147,-17.536793350626624,FALSE,0.4398512164381239
cds_5y,20,-7.8059360144083625,11.03129047161273,-0.7076176658112391,-18.000722959845575,FALSE,0.4336456947768796
cds_5y,21,-7.59024922715791,7.049143693624691,-1.0767618815917457,-17.910162571827538,FALSE,0.42379566331225144
cds_5y,22,-9.354024216875551,6.9668316443988525,-1.3426511066039521,-17.836768629520442,FALSE,0.524423700904789
cds_5y,23,-3.9960422704194207,9.568999149735198,-0.4176029496804797,-17.741337179966298,FALSE,0.2252390690670032
cds_5y,24,5.616691432548396,14.415818810735606,0.3896200074577511,-17.495119487266273,FALSE,-0.32104333077784775
price_ipp,0,0.33923099922656436,0.21104125112795977,1.6074155996207578,0.5859194963019906,TRUE,0.5789720283547627
price_ipp,1,0.20107775465585803,0.15241677064118891,1.31926266256634,0.8810075689507191,TRUE,0.22823612616102928
price_ipp,2,-0.20886243417652453,0.17952597301768802,-1.1634106790550363,0.6905538137055539,TRUE,-0.3024564198056571
price_ipp,3,-0.44975270395700023,0.28933075915923673,-1.554458659231158,0.6141039868708491,TRUE,-0.7323722261578262
price_ipp,4,-0.31594896800600114,0.20659523962531753,-1.529313882444766,0.6048693638881205,TRUE,-0.5223424872687725
price_ipp,5,0.1783547637167237,0.21274172678582226,0.8383628656745951,0.42512892414136966,FALSE,0.4195310024528342
price_ipp,6,0.11052500552327445,0.29952756577766126,0.3689977756682233,0.3665601218439216,FALSE,0.3015194477983481
price_ipp,7,-0.0963334000588543,0.2278128547129995,-0.4228620030253161,0.34069969832401426,FALSE,-0.2827516447262561
price_ipp,8,-0.1378573359349707,0.19338648677451103,-0.7128591983560495,0.14325305342138606,FALSE,-0.9623343631598303
price_ipp,9,0.005619024798140515,0.18828863317727873,0.029842612925285054,0.07609019562743152,FALSE,0.07384689646026855
price_ipp,10,-0.21076398714197753,0.21643542339118899,-0.9737961736560987,0.04915746712514049,FALSE,-4.2875273985422035
