var,h,cds_alto,cds_baixo,cds_t_dif,cds_F_alto,cds_F_baixo,embi_alto,embi_baixo,embi_t_dif
cambio_usd,0,0.14601979731940445,0.05772926971134894,0.992383937898349,10.916747669454267,19.820740378837634,0.08507202846312112,0.09159138144883855,-0.1262284372180692
cambio_usd,1,0.17201927461737568,0.07403482664597959,0.7575324624941308,10.883644149557849,19.96842105149046,0.07933007087919008,0.14996224651230705,-1.0425008480104478
cambio_usd,2,0.09071032548218681,0.046897960217997935,0.3736999554149619,10.562351808525992,19.939923696344344,0.05799875353897505,0.06431755731969588,-0.08346741241140211
cambio_usd,3,-0.10540911516401139,0.017068550814701666,-1.135270336760747,10.365293468174885,20.2562881413328,-0.03258850297629124,0.022793503073830833,-0.5339876652104264
cambio_usd,4,-0.11380666358500548,-0.01483178927123845,-1.1204304706044645,10.260720194395196,20.320569991093855,-0.057800856643868886,0.006029335938994791,-0.5952520177854304
cambio_usd,5,-0.03989541913133962,-0.0779341274560602,0.46098572119493986,9.958950287189815,20.88071886601659,-0.05642108664544821,-0.07260612677763448,0.14959012856511641
cambio_usd,6,0.04530184116439159,-0.12318343483040735,2.3986181870107957,9.797293147889281,20.790345681059943,-0.06893078750763493,-0.05999114884821438,-0.0915812160987095
cambio_usd,7,0.11739714707845451,-0.08162782764448821,3.6945663964058735,9.614225502320583,28.450144481858896,-0.0026580188917819216,-0.032854138307541234,0.339759135404087
cambio_usd,8,0.05242061995143331,-0.13424750323775697,3.0097811643134174,9.414411780935238,29.510275345479027,-0.019160129394412025,-0.16177186928373657,1.3379894485114863
embi_perc,0,0.10372449418449833,0.14018226534519498,-0.3207075510340877,12.026391617276143,19.972945651848846,0.0654521401556849,0.25493750599271153,-2.623821252552683
embi_perc,1,0.0896714657262055,0.13056412182594385,-0.24919014118617716,12.997003982934897,20.134453712846135,0.08091241471891408,0.20637859268666944,-0.9421338301180063
embi_perc,2,-0.030148799326761948,0.024421140514107265,-0.27826430017782533,13.31749174269387,20.15977994566542,0.026663908834198082,0.04837175570384716,-0.18710341003998396
embi_perc,3,-0.16557234075286034,0.04293588484365955,-0.9967868251765758,13.88502406709522,20.588122442008174,-0.006417712206566648,0.05870049444398319,-0.3898926113833255
embi_perc,4,-0.2230430696874646,0.014170925258215448,-1.1449447425144792,15.093531077814045,20.79447343305376,-0.020099735731091643,-0.03591300351137761,0.10635560091434904
embi_perc,5,-0.12685072709648013,-0.03685832801418428,-0.567024566287635,14.901932707863883,21.62884692462874,-0.015081602110876701,0.008801191646271037,-0.18069351004761727
embi_perc,6,-0.01919109510465205,-0.00848201283787148,-0.09619937905321237,14.86773009049293,21.721213289462284,0.07700876705166593,0.02792890559278021,0.3236591050323327
embi_perc,7,0.028547060929959116,-0.06479473585954793,0.75290401813935115,14.698485527626296,26.337017503546996,0.06730406798360491,-0.02278560352671775,0.5647271036326184
embi_perc,8,0.07423300667345757,-0.013235009135676138,0.7788440996742236,14.561102591965039,27.38191458702576,0.21389228156629542,-0.14498943408558262,2.429284914269275
price_ipp,0,0.4075603316261595,0.3110014593117404,0.16748027599394932,12.783120592471425,18.258908037946085,0.3244689952602283,0.4677563051782329,-0.3965097766118083
price_ipp,1,0.24901907564404496,0.19709514865505184,0.13936905450446357,13.069182818369844,18.63630896829675,0.1332965026033503,0.3502540718725618,-0.7164661781418942
price_ipp,2,-0.33603337108157744,-0.00145808911100346,-0.8485208715463333,12.883216234589426,18.720564338165165,-0.23176191444205302,0.15196284709165525,-1.2854600196577592
price_ipp,3,-0.9118769558741207,-0.11054069975228516,-1.4494488919211999,12.849395349662478,19.051630864236536,-0.3500953245832,-0.20756388946787752,-0.35534635842979256
price_ipp,4,-0.543482202718738,-0.016831587225706244,-1.2813430774206216,13.251819147015278,19.058434344320126,-0.3838232263011707,0.3526859967362395,-1.9965252364279704
price_ipp,5,0.6925332295940393,-0.07057290304556829,1.681151733036069,13.004726363362101,19.429473404275328,0.33437506511062737,-0.2692074750781376,1.9709675290297242
price_ipp,6,0.7726912580980664,-0.2712146714740766,1.6716454825213998,12.972093838787412,19.373806688456238,0.40449059055076303,-0.8076101828728338,3.086339508856385
price_ipp,7,0.5049389282508066,-0.2374801740555307,1.9795916567575458,12.899718079371889,23.010608726713482,0.22831947717624076,-0.500021573039661,2.0020826575989457
price_ipp,8,-0.01812446993383844,-0.09971437631650759,0.27047545867754674,12.852935406488838,23.266103119005745,0.11701160356899948,-0.2675001825760353,1.280871605024618
