var,df,n,W,p_chi2,p_boot,n_rep,W_boot_mediana,W_boot_q95,chi2_q95,W_h02468,p_chi2_h02468
cambio_usd,9,133,45.20399438026238,8.458590234902558e-7,0.0775812892184826,1753,18.113666079010667,52.0671113079981,16.918977604620444,18.963799596432903,0.001952207876475647
embi_perc,9,133,12.822419116026708,0.17080761742502582,0.708631115997801,1819,17.815708418833637,54.877313376162675,16.918977604620444,4.834025846968963,0.4364700527836493
cds_5y,9,133,17.245229482012576,0.04501136797095993,0.581081081081081,1776,20.118309687362554,52.144472956184224,16.918977604620444,4.526652493600162,0.47632536536711534
price_ipp,9,133,24.924126013101485,0.0030562678606191693,0.20844612885760694,1847,15.336351667310783,41.08282793003234,16.918977604620444,3.6586498238981577,0.5995293434695339
price_core_ipca_ex0,9,133,5.3430878123631516,0.8034338835990629,0.9298153034300791,1895,14.97542518928173,47.52648033644194,16.918977604620444,3.964582398583845,0.554526436494015
asset_ifnc,9,133,34.02042820579422,8.858878871952123e-5,0.19738339021615472,1758,20.381278243348266,54.332727649287136,16.918977604620444,9.23991830636134,0.09986885524134534
rel_ifnc_ibov,9,133,29.97152678745701,4.436425790959536e-4,0.2795138888888889,1728,20.752530514285866,53.71201732986417,16.918977604620444,8.499707772641589,0.13076152675381605
