indicador,L,h,b_alto,b_baixo,t_dif,F_alto,flag_alto
cds_ma12,2,6,0.05897396058297091,-0.12912571992266295,2.805056569444994,13.402988059375872,ok
cds_ma12,2,7,0.11171174484703443,-0.08252231090998066,3.59604190915962,13.479837019618339,ok
cds_ma12,2,8,0.054431701813991824,-0.1380253738158717,3.1466750659882345,13.304204840462667,ok
cds_ma6,2,6,0.10947218764983291,-0.12821993170384302,1.9714333940101227,5.874347548634234,FRACO
cds_ma6,2,7,0.12927055097079346,-0.05744566360199315,1.403839298376312,5.959876907177302,FRACO
cds_ma6,2,8,0.08157743780728424,-0.11817922014817668,1.6418162574081374,5.894452215611042,FRACO
cds_ma12,1,6,0.0745184769523621,-0.1366146043594472,2.026965761202922,9.490244821521964,FRACO
cds_ma12,1,7,0.12985638362750251,-0.10559648931146967,2.1835741740945362,9.402053805219028,FRACO
cds_ma12,1,8,0.04341150906328039,-0.16004894068153364,1.944541486671079,9.387880612287882,FRACO
cds_ma12,3,6,0.08406259270959708,-0.13035294184161103,2.86313213144517,14.44755997944163,ok
cds_ma12,3,7,0.13285485525510013,-0.06896481605188001,3.517597527518022,14.266405003943696,ok
cds_ma12,3,8,0.06609599601266382,-0.1323043645623045,3.1536855857580814,14.091876326284908,ok
embi_ma12,2,6,-0.05919643828048493,-0.07779999995852449,0.18911100854665108,14.08495003689961,ok
embi_ma12,2,7,-0.006200162771715441,-0.035260041838537294,0.32104853740556605,15.066017281805683,ok
embi_ma12,2,8,-0.012523271479219602,-0.1695147125172025,1.4342376278435631,15.982391850421811,ok
dbgg_d12,2,6,0.11800733111025694,-0.07300575998146087,1.985641361904079,34.107808810334845,ok
dbgg_d12,2,7,0.19216229909239246,-0.01006451431368987,2.457961914970773,33.83708087694081,ok
dbgg_d12,2,8,0.19156751545735462,-0.08077665431263086,2.9117901089875873,33.47357663712169,ok
