var,grupo,tcode,h,point,lo68,hi68,lo90,hi90,sign,sig68,sig90
cambio_eur,cambio,1,0,0.13537093330805605,0.09470155317342609,0.16963772827401893,0.07319414724651821,0.2050016549662192,1,TRUE,TRUE
cambio_eur,cambio,1,1,0.14401239045830683,0.09607465902433443,0.2029438095256746,0.05905772021968635,0.2388731564756997,1,TRUE,TRUE
cambio_eur,cambio,1,2,0.1039875570586645,0.05452657937268486,0.17155376616832574,0.01732133892469476,0.2186221223480659,1,TRUE,TRUE
cambio_eur,cambio,1,3,0.10431342989369258,0.04863312494774902,0.1726172979024637,0.005294962621939871,0.21852903174250132,1,TRUE,TRUE
cambio_eur,cambio,1,4,0.09010503577517963,0.026999279037121574,0.1642109560638087,-0.012793404421464668,0.21216410211397302,1,TRUE,FALSE
cambio_eur,cambio,1,5,0.05130561419280837,-0.011748192809433376,0.13090933921857217,-0.05723406468030058,0.1831294077252917,1,FALSE,FALSE
cambio_eur,cambio,1,6,0.03140944011871581,-0.027813615628112638,0.11602670829548917,-0.07201393283173295,0.1728534590318472,1,FALSE,FALSE
cambio_eur,cambio,1,7,0.012379969499068298,-0.04669201885865137,0.10127007495577448,-0.09240428719159627,0.15862164991347175,1,FALSE,FALSE
cambio_eur,cambio,1,8,-0.015611283192939543,-0.0719987177104718,0.082463458331851,-0.11420103042405752,0.1386492758421585,-1,FALSE,FALSE
cambio_eur,cambio,1,9,-0.036502779950127656,-0.0894519617701421,0.0661485349700745,-0.13679771001793165,0.11823446271590014,-1,FALSE,FALSE
cambio_eur,cambio,1,10,-0.05339800175519692,-0.10325567639789283,0.054981240659261695,-0.15222828140970965,0.10237056233400309,-1,FALSE,FALSE
cambio_eur,cambio,1,11,-0.07098558470837578,-0.11803110046958551,0.039264127753990116,-0.16980240262849278,0.0867154495159621,-1,FALSE,FALSE
cambio_eur,cambio,1,12,-0.08451971597606175,-0.13131543605738422,0.02742495832877804,-0.18224005046834815,0.07058828137136863,-1,FALSE,FALSE
cambio_eur,cambio,1,13,-0.09475113895334172,-0.14323524179853192,0.01613088123640849,-0.19522845814852724,0.05881230296441018,-1,FALSE,FALSE
cambio_eur,cambio,1,14,-0.10339588904399402,-0.15298468557863273,0.006228203458007963,-0.20967299952953386,0.05064255008689361,-1,FALSE,FALSE
cambio_eur,cambio,1,15,-0.10954264551580854,-0.15772010602168368,-0.0036791692639466184,-0.21888254705497998,0.044675058652583886,-1,TRUE,FALSE
cambio_eur,cambio,1,16,-0.11339728337602718,-0.1657858736184283,-0.010974246411151838,-0.22602310822845215,0.040013941122391275,-1,TRUE,FALSE
