var,h,b_alto,t_alto,b_baixo,t_baixo,dif,t_dif
asset_ifnc,0,-0.7401160432265351,-0.3984586632150016,-3.3361254388867643,-1.8136042366313037,2.596009395660229,0.9924648830876458
asset_ifnc,1,-5.360406517878828,-1.8791062042158622,-3.4393129179696054,-1.475268030289454,-1.9210935999092227,-0.522795447825735
asset_ifnc,2,-3.978268168680843,-1.6333625168259518,-5.070752044301507,-2.9728206367136747,1.092483875620664,0.3635356476776718
asset_ifnc,3,-0.088605800684727,-0.031837980356239165,-1.9877814365113318,-0.8719860078049227,1.8991756358266048,0.5138030701140224
asset_ifnc,4,2.8679723372110675,0.8060839165774947,-3.9034847217706283,-1.7211955645533792,6.771457058981696,1.6302547925102993
asset_ifnc,5,-1.1538088321432587,-0.49565674826377226,-1.609823628128188,-0.7367598618284008,0.4560147959849292,0.141809184612098
asset_ifnc,6,-7.719620325646429,-2.716149638412381,-2.460314720740298,-1.1485951512691666,-5.259305604906131,-1.473701299449618
asset_ifnc,7,-7.204135667094961,-3.6435717102074223,-0.4376688671384727,-0.3273657509772977,-6.766466799956488,-2.9735730355145793
asset_ifnc,8,-5.175608332603006,-1.95120245143456,-1.6478911572785637,-0.600205733901054,-3.527717175324442,-0.9285162650858235
asset_ibov,0,-0.33931379960321467,-0.20887669369824055,-2.4842611937801427,-2.18515754482306,2.144947394176928,1.0813641392993674
asset_ibov,1,-3.900025325787683,-1.7108776372816963,-3.334192295624489,-1.910906260619757,-0.5658330301631938,-0.19836330686949935
asset_ibov,2,-2.6472832705254223,-1.249119981844783,-3.1642942608225826,-2.554085455757356,0.5170109902971602,0.21186795007033013
asset_ibov,3,0.078832406393376,0.03428690035462885,-2.1979659438137924,-1.323697917367073,2.2767983502071685,0.7889939913418034
asset_ibov,4,1.50203779123387,0.6325202855476049,-3.3716270889893942,-2.167309456074034,4.873664880223265,1.7136303553486822
asset_ibov,5,-0.6958298876246408,-0.3438242932568835,-2.3104597553672965,-1.1706845441159461,1.6146298677426558,0.5661950303509834
asset_ibov,6,-4.507501574172712,-1.8598243081647496,-2.4643786659660374,-1.607918426101399,-2.043122908206674,-0.7252047537814136
asset_ibov,7,-5.4275482448427645,-2.5828521487583127,-1.3143802301071947,-1.245755639653726,-4.11316801473557,-1.79587340393299
asset_ibov,8,-4.171611745827468,-1.7059343828469693,-2.6281276962051243,-1.5281914698045687,-1.5434840496223434,-0.564476219439864
asset_imat,0,0.7634948383947494,0.251709560330295,-2.053711172641596,-2.7113843009317637,2.8172060110363453,0.9024678286244698
asset_imat,1,-2.163971172365391,-0.5072378871955886,-2.402050149027425,-1.8563790745096562,0.23807897666203415,0.05380056346575433
asset_imat,2,-3.6066398533490336,-0.8855166574920375,-1.028610837264058,-0.7395309442660698,-2.5780290160849755,-0.6103644951369508
asset_imat,3,-4.371302174399416,-1.1725281139448216,-1.3170952797040492,-0.6845305304137034,-3.0542068946953664,-0.7544124506163336
asset_imat,4,-0.9596710923369391,-0.22763132905328587,-2.727434108243856,-1.4176361223363882,1.7677630159069166,0.392367620037975
asset_imat,5,0.7720273978022487,0.15534137152443656,-3.338820214033533,-1.3669599360871552,4.110847611835782,0.7912686990993172
asset_imat,6,-1.9302719768826684,-0.3202225856297445,-4.57896100767949,-2.5835554077758687,2.648689030796822,0.4509525419462179
asset_imat,7,-4.024628603605233,-0.5565399022955111,-3.3003561665179495,-1.4263442887456448,-0.7242724370872837,-0.10026433632549471
asset_imat,8,0.6081575570036512,0.08702271114547666,-5.8523326461199625,-2.770602161361417,6.460490203123614,0.9484265143744611
rel_ifnc_ibov,0,-0.30505868485875115,-0.4707793066635411,-0.843875495808991,-1.033055919123562,0.5388168109502398,0.5163102864298086
rel_ifnc_ibov,1,-1.1087545033591117,-0.966324127733387,-0.16055773561382494,-0.22078387919358408,-0.9481967677452868,-0.7038896274463619
rel_ifnc_ibov,2,-0.9702621340638211,-0.8558887247774694,-2.09191766323309,-2.8074631103671637,1.1216555291692687,0.832299615756928
rel_ifnc_ibov,3,-0.15286496053032353,-0.1000569749233327,0.05103864887226792,0.06239551107450446,-0.20390360940259145,-0.11815597826200684
rel_ifnc_ibov,4,1.1738519876657028,0.617859009471835,-0.504700546884801,-0.5419016332011934,1.6785525345505037,0.816412404585588
rel_ifnc_ibov,5,-0.30438707265107495,-0.20280532848319488,0.9793075626816609,1.3177510769722653,-1.2836946353327359,-0.7827828386197595
rel_ifnc_ibov,6,-3.3021336889772104,-2.595054706696006,0.1812696485051356,0.22844448197582942,-3.483403337482346,-2.378325462008288
rel_ifnc_ibov,7,-1.6132902157048876,-1.1366602921571987,0.5849872029140011,0.9000526188893895,-2.198277418618889,-1.399221686141948
rel_ifnc_ibov,8,-1.191869997310987,-1.2581555520514143,0.8913260307780115,0.8746969926817879,-2.0831960280889987,-1.3881654796249634
rel_ifnc_imat,0,-1.6711405886585566,-0.6317339130350099,-1.5354377634536411,-0.7516696741338875,-0.1357028252049155,-0.040563721683665045
rel_ifnc_imat,1,-1.8345053599296535,-0.5578796219447433,-1.130496035349846,-0.5646298340966878,-0.7040093245798074,-0.18486014286524202
rel_ifnc_imat,2,2.188546685880624,0.41880911400561355,-3.9526390652406804,-1.8726430877663325,6.141185751121304,1.0958831979284875
rel_ifnc_imat,3,7.335856188555595,1.1419366116016467,-0.4234579620770842,-0.18393381315168467,7.7593141506326795,1.1480435871751973
