var,transf,k,cor,n
cambio_usd,retorno,-4,-0.25591453886107873,148
cambio_usd,retorno,-3,-0.10275996025959279,149
cambio_usd,retorno,-2,-0.015538862772291285,150
cambio_usd,retorno,-1,-0.06395464246577011,151
cambio_usd,retorno,0,0.14842454249555312,152
cambio_usd,retorno,1,0.05924192908461069,152
cambio_usd,retorno,2,-0.09331198203987644,151
cambio_usd,retorno,3,-0.1406085089215966,150
cambio_usd,retorno,4,-0.05893530067035521,149
cambio_usd,retorno,5,0.021501777901951687,148
cambio_usd,retorno,6,0.0907410670405788,147
commodity_agro,nivel,-6,0.10618203919970297,147
commodity_agro,nivel,-5,0.11435516714575826,148
commodity_agro,nivel,-4,0.09990204069402935,149
commodity_agro,nivel,-3,0.12782126668258484,150
commodity_agro,nivel,-2,0.13633092334287983,151
commodity_agro,nivel,-1,0.13560155801634693,152
commodity_agro,nivel,0,0.15215326352361686,153
commodity_agro,nivel,1,0.1662580650051741,152
commodity_agro,nivel,2,0.1648169706724738,151
commodity_agro,nivel,3,0.15598407516439217,150
commodity_agro,nivel,4,0.15853561865751967,149
commodity_agro,nivel,5,0.15892509890750406,148
commodity_agro,nivel,6,0.16113079197670932,147
commodity_agro,retorno,-6,0.14508761479218116,146
commodity_agro,retorno,-5,0.08490700649095037,147
commodity_agro,retorno,-4,-0.16557294203543607,148
commodity_agro,retorno,-3,-0.02272542080170436,149
commodity_agro,retorno,-2,0.08507411743310307,150
commodity_agro,retorno,-1,-4.123189415513707e-5,151
commodity_agro,retorno,0,0.16275265087075433,152
commodity_agro,retorno,1,0.16579660112493882,152
commodity_agro,retorno,2,-0.04649590444194217,151
commodity_agro,retorno,3,-0.11088599603523813,150
commodity_agro,retorno,4,-0.019854431405861028,149
commodity_agro,retorno,5,0.02723902348633241,148
commodity_agro,retorno,6,0.08625640887213551,147
commodity_energia,nivel,-6,0.06875233710010785,147
commodity_energia,nivel,-5,0.06527442124251535,148
commodity_energia,nivel,-4,0.061131164183324024,149
commodity_energia,nivel,-3,0.08359882033860162,150
commodity_energia,nivel,-2,0.09986624599573843,151
commodity_energia,nivel,-1,0.11207221260696983,152
commodity_energia,nivel,0,0.13910744825114327,153
commodity_energia,nivel,1,0.14965347305765414,152
commodity_energia,nivel,2,0.1485568033160479,151
commodity_energia,nivel,3,0.16398114099971578,150
commodity_energia,nivel,4,0.17444425846465272,149
commodity_energia,nivel,5,0.19401036498610175,148
commodity_energia,nivel,6,0.20596996096361506,147
commodity_energia,retorno,-6,0.03904373211283479,146
commodity_energia,retorno,-5,0.018369500603647657,147
commodity_energia,retorno,-4,-0.06949019351152591,148
commodity_energia,retorno,-3,-0.03877708073208208,149
commodity_energia,retorno,-2,0.10927837078945683,150
commodity_energia,retorno,-1,0.08448494695119786,151
commodity_energia,retorno,0,0.14064552746510706,152
commodity_energia,retorno,1,0.08168673884740081,152
commodity_energia,retorno,2,0.004704608424287078,151
commodity_energia,retorno,3,0.04353930342646758,150
commodity_energia,retorno,4,0.034377337017837684,149
commodity_energia,retorno,5,0.05272367984996173,148
commodity_energia,retorno,6,0.05255594666792192,147
embi_perc,nivel,-6,-0.039591230855540414,147
embi_perc,nivel,-5,-0.07587550665343615,148
embi_perc,nivel,-4,-0.14934124455497066,149
embi_perc,nivel,-3,-0.07970304591767835,150
embi_perc,nivel,-2,-0.09216826157151504,151
embi_perc,nivel,-1,-0.14536238829580195,152
embi_perc,nivel,0,-0.05703184505221232,153
embi_perc,nivel,1,-0.05380634204397914,152
embi_perc,nivel,2,-0.0909723920033751,151
embi_perc,nivel,3,-0.07654247404587097,150
embi_perc,nivel,4,-0.09395518056076042,149
embi_perc,nivel,5,-0.04784360674017096,148
embi_perc,nivel,6,0.004210038699083838,147
embi_perc,retorno,-6,0.0670697261185986,146
embi_perc,retorno,-5,-0.08569195967297095,147
embi_perc,retorno,-4,-0.16925907303163437,148
embi_perc,retorno,-3,0.02020197076916416,149
embi_perc,retorno,-2,-0.03930156598644789,150
embi_perc,retorno,-1,-0.09410571575588972,151
embi_perc,retorno,0,0.23309639230825474,152
embi_perc,retorno,1,-0.03126655792534707,152
embi_perc,retorno,2,-0.09509200918775522,151
embi_perc,retorno,3,0.039542077376828924,150
embi_perc,retorno,4,-0.04727698602157265,149
embi_perc,retorno,5,0.08230441538109974,148
embi_perc,retorno,6,0.11501286290652876,147
cds_5y,nivel,-6,-0.02596874387954485,147
cds_5y,nivel,-5,-0.07301929283193352,148
cds_5y,nivel,-4,-0.17825023137701843,149
cds_5y,nivel,-3,-0.13316737055599373,150
cds_5y,nivel,-2,-0.1509442830157295,151
cds_5y,nivel,-1,-0.17395129108352173,152
cds_5y,nivel,0,-0.07774045512575313,153
cds_5y,nivel,1,-0.07489046762460959,152
cds_5y,nivel,2,-0.12666083897193608,151
cds_5y,nivel,3,-0.08490864549552855,150
cds_5y,nivel,4,-0.11041144421913518,149
cds_5y,nivel,5,-0.06323554274623622,148
cds_5y,nivel,6,-0.017268577096623224,147
cds_5y,retorno,-6,0.057588627952224025,146
cds_5y,retorno,-5,-0.10899867013901797,147
cds_5y,retorno,-4,-0.23932639531140157,148
cds_5y,retorno,-3,-0.00751394643020167,149
cds_5y,retorno,-2,-0.01932020295261725,150
cds_5y,retorno,-1,-0.0034774234442171924,151
cds_5y,retorno,0,0.2520505635258387,152
cds_5y,retorno,1,-0.03692847832390937,152
cds_5y,retorno,2,-0.14679238886024862,151
cds_5y,retorno,3,0.0885802656024493,150
cds_5y,retorno,4,-0.05327238911490407,149
cds_5y,retorno,5,0.08349372078916345,148
cds_5y,retorno,6,0.09753567669224442,147
epu_brazil,nivel,-6,-0.036686157707142744,147
epu_brazil,nivel,-5,-0.02976006933522429,148
epu_brazil,nivel,-4,-0.09823702889517053,149
epu_brazil,nivel,-3,-0.038898692080015014,150
epu_brazil,nivel,-2,-0.04342094004731166,151
epu_brazil,nivel,-1,-0.043775088783562885,152
epu_brazil,nivel,0,0.006422009337928013,153
epu_brazil,nivel,1,0.012411139060278374,152
epu_brazil,nivel,2,-0.134240335805737,151
epu_brazil,nivel,3,-0.08171980995866138,150
epu_brazil,nivel,4,-0.013207919731978799,149
epu_brazil,nivel,5,0.05377502228192036,148
epu_brazil,nivel,6,-0.049479348488729605,147
epu_brazil,retorno,-6,-0.018256556400939518,146
epu_brazil,retorno,-5,0.022608966000061174,147
epu_brazil,retorno,-4,-0.02498796757371544,148
epu_brazil,retorno,-3,-0.0883595997444848,149
epu_brazil,retorno,-2,0.08409408236985896,150
epu_brazil,retorno,-1,-0.04310377026051704,151
epu_brazil,retorno,0,0.07194309886845926,152
epu_brazil,retorno,1,-0.015393845105385055,152
epu_brazil,retorno,2,-0.10325357677096474,151
epu_brazil,retorno,3,0.04850516568623532,150
epu_brazil,retorno,4,-0.0846280708785267,149
epu_brazil,retorno,5,0.20404154468545496,148
epu_brazil,retorno,6,-0.09826775386650394,147
