h,ifnc_por_embi_alto,ifnc_por_embi_baixo,ifnc_por_yield_alto,ifnc_por_yield_baixo
0,0.45890117907465255,-22.931819705094703,9.519858535838505,-642.9268869508669
4,-26.893549720113285,-264.059538505998,822.7395126594625,-575.6218826813949
6,322.136841462368,288.4994029236257,-840.0511131104479,-499.34721655542046
8,-40.43669630633743,124.1820847000734,-273.90512479399933,-337.384349373403
