h,rho_h_OLS,rho_h_Kilian
6,0.8233639377397237,0.9987197363644601
12,0.6779281739702636,0.9974411118038966
24,0.459586609062656,0.9948887715165935
36,0.3115667106630318,0.9923429623827239
48,0.21121985122971065,0.9898036676897966
