var,indicador,L,h,n,n_alto,n_baixo,b_alto,se_alto,b_baixo,se_baixo,dif,se_dif,t_dif,F_alto,F_baixo,flag_alto,flag_baixo,rf_alto,rf_se_alto,rf_baixo,rf_se_baixo
cambio_usd,embi_ma12,2,0,141,70,71,0.0718092350513507,0.03281911499917266,0.09865719406186145,0.0339635013819776,-0.02684795901051075,0.047221284218397046,-0.5685563079212275,10.614414311196532,22.72322628234872,ok,ok,0.004012377172808113,0.0015775647450131805,0.0053882300354964885,0.0023413487445206192
cambio_usd,embi_ma12,2,4,137,70,67,-0.0545121991863698,0.03492849472666791,0.011437393467422226,0.09983932506747191,-0.06594959265379202,0.10570207703508827,-0.6239195529894815,12.445933327825093,22.666909945659743,ok,ok,-0.0030458965828913387,0.0016137923074069492,6.190994571466657e-4,0.0054266440283056066
cambio_usd,embi_ma12,2,8,133,70,63,-0.012523271479219602,0.03059986381933713,-0.1695147125172025,0.10804329529376468,0.15699144103798288,0.1094598537858933,1.4342376278435631,15.982391850421811,29.015646511744162,ok,ok,-6.997441008976257e-4,0.00181825683142502,-0.010235702913552691,0.00656993995681473
embi_perc,embi_ma12,2,0,141,70,71,0.05509489052385107,0.04048245806390672,0.272324853970058,0.060723139137234435,-0.21722996344620693,0.07303147648900911,-2.974470377562461,10.08172314859582,20.79405876560731,ok,ok,0.0031479931848128473,0.002491186679758507,0.015053710612796256,0.003983300079213571
embi_perc,embi_ma12,2,4,137,70,67,-0.0044796016240889,0.05512486455061466,-0.01200637316891516,0.13011927044049326,0.00752677154482626,0.1393244471045403,0.054023336903527376,11.942843161137775,20.281561634537546,ok,ok,-2.5595395960276157e-4,0.003114765360151092,-6.563043124497153e-4,0.007101199045090306
embi_perc,embi_ma12,2,8,133,70,63,0.18609287456855328,0.04698864203648656,-0.12782616956254061,0.13593837707796202,0.3139190441310939,0.14986271140652718,2.094710826895004,15.195410203393923,26.79027999589617,ok,ok,0.010632911606028195,0.003423866320279406,-0.007644478879919203,0.008069184545544327
asset_ifnc,embi_ma12,2,0,141,70,71,-0.16820078974691,1.2935160011588451,-7.172114223817894,2.764041531455923,7.003913434070983,3.050882609784394,2.295700729883524,10.007661630735617,21.950771693237446,ok,ok,-0.009510191684605873,0.07419003768126213,-0.3820639333216757,0.13692742964188773
asset_ifnc,embi_ma12,2,4,137,70,67,1.0346009937578902,2.162698638141914,-4.737788402811166,5.099803696117022,5.772389396569056,5.507196542395867,1.0481538750490678,12.051728899005782,23.522861689155224,ok,ok,0.058497072352662105,0.11023388367655529,-0.24507480801420822,0.2760637199353708
asset_ifnc,embi_ma12,2,8,133,70,63,-4.906808618607957,1.6732722836640992,3.74724787354633,3.7080701940663294,-8.654056492154286,4.103598920024068,-2.1088943292985194,15.409706934624941,31.02502434004852,ok,ok,-0.2774344317436679,0.11457746756223648,0.21460749316389977,0.20564924893725345
cambio_usd,embi_ma6,2,0,147,72,75,0.08670323782044477,0.03435512692966779,0.06968374035292073,0.04363948760288244,0.017019497467524042,0.05663989202967048,0.30048605069035933,11.520418997797021,16.97501311965184,ok,ok,0.004937945222343809,0.001406424083299155,0.003729531500442196,0.002523480938025176
cambio_usd,embi_ma6,2,4,143,72,71,-0.03671521046593682,0.03259360570160056,-0.026127480754630596,0.09403163272192673,-0.010587729711306226,0.09938205857940818,-0.10653562486680054,12.446337802051724,21.36509663919465,ok,ok,-0.0020910141613150746,0.0017017379911663888,-0.0014042197960990599,0.004930766624048485
cambio_usd,embi_ma6,2,8,139,72,67,0.020440150593450425,0.04327029744622953,-0.21115347942170049,0.10527217329682166,0.2315936300151509,0.11198651196568797,2.068049320851335,15.337345110662582,24.799484322822526,ok,ok,0.0011641127425038311,0.002307846947715828,-0.012138711508818734,0.005541501663862898
embi_perc,embi_ma6,2,0,147,72,75,0.05683123191833147,0.04008630248510505,0.27648844302682846,0.09111606227702577,-0.21965721110849698,0.10097034695982185,-2.1754625761155704,10.573444753653037,12.230704071450765,ok,ok,0.0032931578807549045,0.002540412636758557,0.014211850625853728,0.004161760352037582
embi_perc,embi_ma6,2,4,143,72,71,-0.010709329816345417,0.06106636901404798,-0.04463138671482739,0.1307731037274158,0.03392205689848197,0.1429097990020242,0.23736690650584075,11.629818729695842,16.263817166090046,ok,ok,-6.205657116531427e-4,0.0034723010054062238,-0.0023051602193664422,0.0065349413650634845
embi_perc,embi_ma6,2,8,139,72,67,0.19474009824113636,0.05001191158498091,-0.2154250548509299,0.13688503159771287,0.41016515309206625,0.14767143859055312,2.777552362236589,14.483308492778052,18.568933858040733,ok,ok,0.011284462215014779,0.0031826652510686007,-0.012200333465121171,0.006153189762988406
asset_ifnc,embi_ma6,2,0,147,72,75,-0.7574633581893181,1.3232622818521984,-6.079622457638309,2.810069563250903,5.322159099448991,3.1018703603850315,1.7157903074931726,10.034410832384218,15.132446119171476,ok,ok,-0.04237900237721037,0.07718539272900875,-0.313216009897368,0.12096445246789987
asset_ifnc,embi_ma6,2,4,143,72,71,0.7935902896871904,1.9403245895013428,-4.7000950492327505,4.088845939498378,5.493685338919941,4.414839025948496,1.244368210625678,10.96958690606301,23.33076996998215,ok,ok,0.0444002530407519,0.099180235380409,-0.2423324355917036,0.2288814509729567
asset_ifnc,embi_ma6,2,8,139,72,67,-6.2229424799345905,1.882412241470613,6.542181105176651,4.141260494082765,-12.76512358511124,4.618852581119761,-2.7637001529969933,13.288154080942121,24.847901585283733,ok,ok,-0.3481648205145005,0.11819489786660795,0.363911506006525,0.18996781946115332
cambio_usd,embi_ma1,2,0,151,75,76,0.09552047081848627,0.03530959291876971,0.09518273898014741,0.07088656575248362,3.3773183833886444e-4,0.08039558462372162,0.004200875457521244,12.5313376780575,2.9359026693333625,ok,NAO_IDENTIFICADO,0.00548558181687181,0.001463469649516052,0.0026458612954516347,0.0020476633044907875
