fato,valor,consequencia
"leave-one-month-out, full: min xi_mp",4.04,conjunto AR limitado em toda a vizinhanca amostral
"leave-one-month-out, full: meses que derrubam abaixo de 3.84",0 de 149,a afirmacao 'AR e limitado' e ROBUSTA
"leave-one-month-out, full: meses que derrubam abaixo de 10",149 de 149,o limiar convencional nao vale na amostra cheia
"leave-one-month-out, pre-COVID: meses abaixo de 10",80 de 80,pre-COVID e materialmente mais forte
"HAC: xi_mp em NW(6), full",6.85,"a correcao HAC eleva xi_mp, mas nao o leva a 10"
