janela,n_obs,xi_mp,f_robust_mp,AR_limitado,xi_mp_ge10,f_robust_mp_ge10
full,147,6.270849621527436,10.120538138455602,TRUE,FALSE,TRUE
pre_covid,78,10.992676983493542,9.747458077834404,TRUE,TRUE,FALSE
