h,cor_beta_juros,cor_beta_cambio,cor_sp_juros,cor_sp_cambio
0,0.903085613019599,0.907246882253719,0.7857142857142858,0.8333333333333335
6,-0.10782504807777155,-0.23765073246514903,0.04761904761904762,-0.14285714285714288
12,-0.46987163475314253,-0.6166789444032466,-0.33333333333333337,-0.5000000000000001
24,-0.6554449575472305,-0.8275949234943976,-0.6190476190476192,-0.7857142857142858
36,-0.6780318015632084,-0.84815543265971,-0.6190476190476192,-0.7857142857142858
48,-0.6717538636806147,-0.8290338071410618,-0.6190476190476192,-0.7857142857142858
