var,indicador,L,h,n,n_alto,n_baixo,b_alto,se_alto,b_baixo,se_baixo,dif,se_dif,t_dif,F_alto,F_baixo,flag_alto,flag_baixo,rf_alto,rf_se_alto,rf_baixo,rf_se_baixo
cambio_usd,cds_ma12,1,0,141,70,71,0.10800757757911925,0.09254160488024761,0.06283381065524736,0.024447096175460103,0.045173766923871886,0.09572012345025184,0.4719359450821209,8.396482235217535,19.873845330778583,FRACO,ok,0.003267492913720804,0.0025692574390507377,0.004979331732237899,0.0017775140276928073
cambio_usd,cds_ma12,1,4,137,70,67,-0.09061189177673441,0.1063987561979999,-0.017013018025745622,0.04424230860638192,-0.0735988737509888,0.11561421649677421,-0.6365901701460935,10.192247881078893,19.179903053096194,ok,ok,-0.002741230948069162,0.0031855019837041454,-0.0013190922506029212,0.003514959614762456
cambio_usd,cds_ma12,1,8,133,70,63,0.04341150906328039,0.09885405116039266,-0.16004894068153364,0.04972777858980739,0.20346044974481403,0.10463158083252021,1.944541486671079,9.387880612287882,26.30088029672614,FRACO,ok,0.0013133041349031316,0.002930331899302605,-0.012660382388089822,0.003295171830604069
embi_perc,cds_ma12,1,0,141,70,71,0.12548998901054803,0.08262990543332652,0.14083345330210706,0.052440755473611066,-0.015343464291559028,0.0977812231675593,-0.15691626464179373,9.764167440760032,19.749011218829462,FRACO,ok,0.0043066420683922635,0.002641864745476634,0.011188203141483902,0.0028876096389822705
embi_perc,cds_ma12,1,4,137,70,67,-0.04054441691137981,0.17416273213105826,0.028042050180900446,0.07008276401758753,-0.06858646709228025,0.1892063200913646,-0.36249564527845046,13.583912803590184,19.42015728730105,ok,ok,-0.001391428056423727,0.005763321036695456,0.002193967762411181,0.005488078732968938
embi_perc,cds_ma12,1,8,133,70,63,0.22264525282060277,0.07779493388940113,-0.03302665528894977,0.09098091571867746,0.25567190810955254,0.11725594270780074,2.1804601302526847,12.15621941132757,26.336054721198796,ok,ok,0.007640875735883068,0.003748740816361166,-0.0026704607476145115,0.0070733265131163806
asset_ifnc,cds_ma12,1,0,141,70,71,-0.4920980704549942,2.458370932651542,-3.350122986924152,1.5507676975878295,2.858024916469158,2.9064393830965485,0.9833423442756238,9.544034172248752,19.069102727148394,FRACO,ok,-0.016985189081020813,0.083420458277302,-0.2620856420555051,0.08505567978190495
asset_ifnc,cds_ma12,1,4,137,70,67,3.5919009775770863,5.320706349626208,-3.162889983937301,2.0324252705389036,6.754790961514387,5.512979276098999,1.2252523768408028,13.544993152473022,18.578499309298333,ok,ok,0.12397755839214475,0.16744211101918516,-0.24261230185881097,0.15719856233841809
asset_ifnc,cds_ma12,1,8,133,70,63,-5.698059671198385,4.675712463139367,-1.338705939342358,2.971087223034585,-4.359353731856027,5.161055871536787,-0.8446631542777621,12.3632917711823,27.097353965333095,ok,ok,-0.1966734411715585,0.1805117137426848,-0.1067278214876386,0.25549913293127036
cambio_usd,cds_ma12,2,0,141,70,71,0.12540786826059047,0.07133678841508352,0.05907182854523398,0.027713479211715467,0.06633603971535648,0.07653646584428991,0.866724625753092,13.00028579089231,17.971579544188657,ok,ok,0.004155916764858603,0.001929575956328271,0.0043103056136663265,0.0017879372214349386
