var,h0,h6,h12,h24,h48,n_sig68_h0a12,n_sig90_h0a12,n_sig90_h13a48,sinal_h0,sinal_h12,sinal_h48
asset_ibov,-1.6725830882120496,2.359558675711419,11.519647019034771,20.26242599512615,7.9158004023019775,1,0,0,-1,1,1
asset_idiv,-2.037587753544549,2.5260393622896786,12.652277154843045,26.40050016961371,22.92353170557696,2,0,0,-1,1,1
asset_ifix,-1.0344713548649989,-6.678913893875138,-8.890149191962315,-13.905484672890388,-33.34316248634646,9,0,0,-1,-1,-1
asset_ifnc,-1.9749414227775128,6.534599847131154,20.470212665135517,41.01560681006157,45.05202563146309,1,0,0,-1,1,1
asset_imat,-0.31491940972181787,2.829488907911288,5.105018310690655,-0.7057198889789953,-18.037347237290138,0,0,0,-1,1,-1
asset_imob,-2.8946901919707644,-1.5871808882685756,7.744729897231283,20.947343525455178,18.343623723464056,2,0,0,-1,1,1
asset_mlcx,-1.7357448002687432,1.2073866088218297,9.358775396114732,16.99092304486696,4.059377340357503,1,0,0,-1,1,1
asset_smll,-2.6765292138134567,-3.7053874153439033,3.2630095465918454,11.407166028722333,-4.4378852862306495,3,0,0,-1,1,-1
