var,n_rep,q50,q90,q95,q99,chi2_q95,razao_q95
cambio_usd,1753,18.113666079010667,40.968579508268384,52.0671113079981,82.32179235731385,16.918977604620444,3.0774383963827083
embi_perc,1819,17.815708418833637,43.56226023431692,54.877313376162675,88.66605625985962,16.918977604620444,3.2435360255560655
cds_5y,1776,20.118309687362554,43.669417654238124,52.144472956184224,68.73122380173248,16.918977604620444,3.0820108741052983
price_ipp,1847,15.336351667310783,33.68922941434565,41.08282793003234,61.93417556543224,16.918977604620444,2.428209841640368
price_core_ipca_ex0,1895,14.97542518928173,36.25157974094263,47.52648033644194,78.91116964891275,16.918977604620444,2.809063375287099
asset_ifnc,1758,20.381278243348266,44.08527057990773,54.332727649287136,79.21277637496884,16.918977604620444,3.211348162932096
rel_ifnc_ibov,1728,20.752530514285866,43.99775071145067,53.71201732986417,70.39399876414659,16.918977604620444,3.174660939039001
