teste,n,k,R2,F_rob,p_asym,p_boot
fatores_L6_conjunto,147,30,0.262714733771439,1.939573490752529,0.006655961883175437,0.4
fatores_L3_conjunto,150,15,0.11607645366727555,1.1854826023207037,0.2903853084999808,0.492
fatores_L1_conjunto,152,5,0.04397827747218602,0.7734004364673442,0.5703806017543027,0.619
eta_defasado_L6_conjunto,143,30,0.24540667486820034,1.2029346547320692,0.24195516308794573,0.689
eta_defasado_L3_conjunto,146,15,0.06390454153632223,0.6299028076503209,0.845904891837644,0.9345
eta_LEAD_L3_conjunto,146,15,0.05499965936638604,0.7549867557920974,0.7243487718901841,0.7705
eta_LEAD_L6_conjunto,143,30,0.14078083401900218,1.191050098900162,0.25306813287768215,0.5495
