h,min,max,amplitude,desvio_padrao,n_negativos
0,-2.7006811170838465,-0.06907334973422977,2.6316077673496165,0.9413711149456897,7
6,-6.840655517461636,6.310842386511323,13.15149790397296,4.490616434751444,6
12,-4.093093301611188,14.396145254273957,18.489238555885144,6.063111609259079,1
24,-1.898898576140782,19.117435055122815,21.016333631263596,7.222695569570614,1
36,-12.187506376510274,-0.8527195454539684,11.334786831056306,3.9489760809046324,7
48,-41.253368174573794,-11.727203248249902,29.526164926323894,9.990524861197107,7
