h,F_alto_parcial,F_baixo_parcial,F_alto_completa,F_baixo_completa
0,2.5300839595326146,4.26036550420472,10.916747669454267,19.820740378837634
4,4.704262724849962,4.251348047235103,10.260720194395196,20.320569991093855
8,4.535507343881173,3.725707664642531,9.414411780935238,29.510275345479027
