var,grupo,tcode,adf_rejeita_RU_5pct,kpss_p,kpss_rejeita_estac_5pct,veredito
price_ipc,precos,1,TRUE,0.1,FALSE,I(0) — os dois concordam
price_core_ipc,precos,1,TRUE,0.01688041786491854,TRUE,ambiguo
price_incc,precos,1,TRUE,0.1,FALSE,I(0) — os dois concordam
price_inpc,precos,1,TRUE,0.1,FALSE,I(0) — os dois concordam
price_ipp,precos,1,TRUE,0.1,FALSE,I(0) — os dois concordam
commodity_agro,commodity,1,FALSE,0.01,TRUE,I(1) — os dois concordam
commodity_metal,commodity,1,FALSE,0.01,TRUE,I(1) — os dois concordam
commodity_energia,commodity,1,FALSE,0.01,TRUE,I(1) — os dois concordam
asset_ibov,ativos,2,TRUE,0.1,FALSE,I(0) — os dois concordam
asset_idiv,ativos,2,TRUE,0.1,FALSE,I(0) — os dois concordam
asset_ifix,ativos,2,TRUE,0.1,FALSE,I(0) — os dois concordam
asset_ifnc,ativos,2,TRUE,0.1,FALSE,I(0) — os dois concordam
asset_imat,ativos,2,TRUE,0.1,FALSE,I(0) — os dois concordam
asset_imob,ativos,2,TRUE,0.1,FALSE,I(0) — os dois concordam
asset_mlcx,ativos,2,TRUE,0.1,FALSE,I(0) — os dois concordam
asset_smll,ativos,2,TRUE,0.1,FALSE,I(0) — os dois concordam
embi_perc,risco_ext,1,FALSE,0.06272600981336285,FALSE,ambiguo
cds_5y,risco_ext,1,FALSE,0.09942274001584975,FALSE,ambiguo
msci,risco_ext,1,FALSE,0.01,TRUE,I(1) — os dois concordam
sp500_vix,risco_ext,1,TRUE,0.020485344351286915,TRUE,ambiguo
epu_brazil,incerteza,1,TRUE,0.1,FALSE,I(0) — os dois concordam
epu_canada,incerteza,1,FALSE,0.01,TRUE,I(1) — os dois concordam
epu_chile,incerteza,1,TRUE,0.01,TRUE,ambiguo
epu_china,incerteza,1,TRUE,0.01,TRUE,ambiguo
epu_germany,incerteza,1,FALSE,0.01,TRUE,I(1) — os dois concordam
epu_india,incerteza,1,TRUE,0.048279115114846324,TRUE,ambiguo
epu_russia,incerteza,1,TRUE,0.01,TRUE,ambiguo
epu_us,incerteza,1,TRUE,0.01,TRUE,ambiguo
