variant,sample,r,q,p,n_series,n_months,n_obs_align,xi_mp,mosw_class
add_eua,full,6,3,6,111,153,147,2.689565975657729,xi_mp_le_3.84
add_eua,full,6,4,6,111,153,147,4.581382762016849,xi_mp_3.84_10
add_eua,full,6,5,6,111,153,147,4.858050076500326,xi_mp_3.84_10
add_eua,full,6,6,6,111,153,147,6.98729667473379,xi_mp_3.84_10
add_eua,full,7,3,6,111,153,147,2.3128510936845066,xi_mp_le_3.84
add_eua,full,7,4,6,111,153,147,5.420759467785307,xi_mp_3.84_10
add_eua,full,7,5,6,111,153,147,5.865584248165543,xi_mp_3.84_10
add_eua,full,7,6,6,111,153,147,5.963099108549191,xi_mp_3.84_10
add_eua,full,7,7,6,111,153,147,9.397574553558897,xi_mp_3.84_10
add_eua,full,8,3,6,111,153,147,5.835310540845411,xi_mp_3.84_10
add_eua,full,8,4,6,111,153,147,6.108434412378951,xi_mp_3.84_10
add_eua,full,8,5,6,111,153,147,6.587798091662639,xi_mp_3.84_10
add_eua,full,8,6,6,111,153,147,6.525033483819035,xi_mp_3.84_10
add_eua,full,8,7,6,111,153,147,7.04299970072773,xi_mp_3.84_10
add_eua,full,8,8,6,111,153,147,9.62286474191959,xi_mp_3.84_10
add_eua,pre_covid,5,3,6,111,84,78,8.89191610829348,xi_mp_3.84_10
add_eua,pre_covid,5,4,6,111,84,78,9.353308246066627,xi_mp_3.84_10
add_eua,pre_covid,5,5,6,111,84,78,8.584929016947294,xi_mp_3.84_10
add_eua,pre_covid,6,3,6,111,84,78,5.082163623078625,xi_mp_3.84_10
add_eua,pre_covid,6,4,6,111,84,78,11.714167039358562,xi_mp_ge_10
add_eua,pre_covid,6,5,6,111,84,78,11.998478741094306,xi_mp_ge_10
add_eua,pre_covid,6,6,6,111,84,78,10.05628554762222,xi_mp_ge_10
add_eua,pre_covid,7,3,6,111,84,78,3.1108143556333836,xi_mp_le_3.84
add_eua,pre_covid,7,4,6,111,84,78,7.8058112629906775,xi_mp_3.84_10
add_eua,pre_covid,7,5,6,111,84,78,15.83582913226746,xi_mp_ge_10
add_eua,pre_covid,7,6,6,111,84,78,15.344471648652648,xi_mp_ge_10
add_eua,pre_covid,7,7,6,111,84,78,13.667481258958475,xi_mp_ge_10
