variant,sample,r,q,p,n_series,n_months,n_obs_align,xi_mp,mosw_class
conjunto_completo_sem_duplicatas,pre_covid,8,5,6,123,84,78,5.435744793637236,xi_mp_3.84_10
conjunto_completo_sem_duplicatas,pre_covid,8,6,6,123,84,78,10.123449971059639,xi_mp_ge_10
conjunto_completo_sem_duplicatas,pre_covid,8,7,6,123,84,78,11.401261682275,xi_mp_ge_10
conjunto_completo_sem_duplicatas,pre_covid,8,8,6,123,84,78,11.426917441317155,xi_mp_ge_10
drop_credito,full,5,3,6,121,153,147,2.321573053411566,xi_mp_le_3.84
drop_credito,full,5,4,6,121,153,147,4.25023240517987,xi_mp_3.84_10
drop_credito,full,5,5,6,121,153,147,5.600749935733437,xi_mp_3.84_10
drop_credito,full,6,3,6,121,153,147,2.6895466641361434,xi_mp_le_3.84
drop_credito,full,6,4,6,121,153,147,3.3269651109663694,xi_mp_le_3.84
drop_credito,full,6,5,6,121,153,147,4.2338200496770595,xi_mp_3.84_10
drop_credito,full,6,6,6,121,153,147,6.243563269341017,xi_mp_3.84_10
drop_credito,full,7,3,6,121,153,147,5.54779995689745,xi_mp_3.84_10
drop_credito,full,7,4,6,121,153,147,3.8775377097228523,xi_mp_3.84_10
drop_credito,full,7,5,6,121,153,147,4.382788204965341,xi_mp_3.84_10
drop_credito,full,7,6,6,121,153,147,4.632597470418512,xi_mp_3.84_10
drop_credito,full,7,7,6,121,153,147,6.872522578807689,xi_mp_3.84_10
drop_credito,full,8,3,6,121,153,147,5.034465168052173,xi_mp_3.84_10
drop_credito,full,8,4,6,121,153,147,5.1514982716976405,xi_mp_3.84_10
drop_credito,full,8,5,6,121,153,147,5.632957875534114,xi_mp_3.84_10
drop_credito,full,8,6,6,121,153,147,5.539276071980214,xi_mp_3.84_10
drop_credito,full,8,7,6,121,153,147,5.478215109834437,xi_mp_3.84_10
drop_credito,full,8,8,6,121,153,147,7.769315420775537,xi_mp_3.84_10
drop_credito,pre_covid,5,3,6,121,84,78,9.21145627754672,xi_mp_3.84_10
drop_credito,pre_covid,5,4,6,121,84,78,10.490736988795877,xi_mp_ge_10
drop_credito,pre_covid,5,5,6,121,84,78,9.515051866604908,xi_mp_3.84_10
drop_credito,pre_covid,6,3,6,121,84,78,11.048802953733091,xi_mp_ge_10
drop_credito,pre_covid,6,4,6,121,84,78,13.554480574699129,xi_mp_ge_10
drop_credito,pre_covid,6,5,6,121,84,78,13.68297884416263,xi_mp_ge_10
drop_credito,pre_covid,6,6,6,121,84,78,11.459810118651992,xi_mp_ge_10
drop_credito,pre_covid,7,3,6,121,84,78,3.2777530130109547,xi_mp_le_3.84
drop_credito,pre_covid,7,4,6,121,84,78,25.403440478712554,xi_mp_ge_10
drop_credito,pre_covid,7,5,6,121,84,78,25.080532807704348,xi_mp_ge_10
drop_credito,pre_covid,7,6,6,121,84,78,23.22557613157956,xi_mp_ge_10
drop_credito,pre_covid,7,7,6,121,84,78,22.788643205501273,xi_mp_ge_10
drop_credito,pre_covid,8,3,6,121,84,78,4.416988659699235,xi_mp_3.84_10
drop_credito,pre_covid,8,4,6,121,84,78,9.262149280896043,xi_mp_3.84_10
drop_credito,pre_covid,8,5,6,121,84,78,9.820858935299205,xi_mp_3.84_10
drop_credito,pre_covid,8,6,6,121,84,78,15.476021169648178,xi_mp_ge_10
drop_credito,pre_covid,8,7,6,121,84,78,16.42217491040359,xi_mp_ge_10
drop_credito,pre_covid,8,8,6,121,84,78,15.679446282009444,xi_mp_ge_10
drop_credito__imoveis,full,5,3,6,120,153,147,2.621607138419365,xi_mp_le_3.84
drop_credito__imoveis,full,5,4,6,120,153,147,4.583216406438601,xi_mp_3.84_10
drop_credito__imoveis,full,5,5,6,120,153,147,5.63465622452226,xi_mp_3.84_10
drop_credito__imoveis,full,6,3,6,120,153,147,3.5153879228897824,xi_mp_le_3.84
drop_credito__imoveis,full,6,4,6,120,153,147,3.3852199720877554,xi_mp_le_3.84
drop_credito__imoveis,full,6,5,6,120,153,147,4.496210637040573,xi_mp_3.84_10
drop_credito__imoveis,full,6,6,6,120,153,147,6.490437773847828,xi_mp_3.84_10
drop_credito__imoveis,full,7,3,6,120,153,147,5.739009600426398,xi_mp_3.84_10
drop_credito__imoveis,full,7,4,6,120,153,147,3.8974892752849004,xi_mp_3.84_10
drop_credito__imoveis,full,7,5,6,120,153,147,4.5895981396766095,xi_mp_3.84_10
drop_credito__imoveis,full,7,6,6,120,153,147,4.922053924194258,xi_mp_3.84_10
drop_credito__imoveis,full,7,7,6,120,153,147,7.304642133149067,xi_mp_3.84_10
drop_credito__imoveis,full,8,3,6,120,153,147,5.058523879490095,xi_mp_3.84_10
drop_credito__imoveis,full,8,4,6,120,153,147,5.104686652266217,xi_mp_3.84_10
drop_credito__imoveis,full,8,5,6,120,153,147,5.7592905179351375,xi_mp_3.84_10
drop_credito__imoveis,full,8,6,6,120,153,147,5.742966034748527,xi_mp_3.84_10
drop_credito__imoveis,full,8,7,6,120,153,147,5.668012720522286,xi_mp_3.84_10
drop_credito__imoveis,full,8,8,6,120,153,147,8.04625080653778,xi_mp_3.84_10
drop_credito__imoveis,pre_covid,5,3,6,120,84,78,9.384810373711346,xi_mp_3.84_10
drop_credito__imoveis,pre_covid,5,4,6,120,84,78,9.596883902503663,xi_mp_3.84_10
drop_credito__imoveis,pre_covid,5,5,6,120,84,78,8.177310733863633,xi_mp_3.84_10
drop_credito__imoveis,pre_covid,6,3,6,120,84,78,10.969481074389773,xi_mp_ge_10
drop_credito__imoveis,pre_covid,6,4,6,120,84,78,14.302966703014981,xi_mp_ge_10
drop_credito__imoveis,pre_covid,6,5,6,120,84,78,14.279212252569657,xi_mp_ge_10
drop_credito__imoveis,pre_covid,6,6,6,120,84,78,12.634196135032884,xi_mp_ge_10
drop_credito__imoveis,pre_covid,7,3,6,120,84,78,7.780220010011806,xi_mp_3.84_10
drop_credito__imoveis,pre_covid,7,4,6,120,84,78,24.56073219065243,xi_mp_ge_10
drop_credito__imoveis,pre_covid,7,5,6,120,84,78,27.5087971004137,xi_mp_ge_10
drop_credito__imoveis,pre_covid,7,6,6,120,84,78,25.97386173459728,xi_mp_ge_10
drop_credito__imoveis,pre_covid,7,7,6,120,84,78,25.41841904885364,xi_mp_ge_10
drop_credito__imoveis,pre_covid,8,3,6,120,84,78,10.422299780805588,xi_mp_ge_10
drop_credito__imoveis,pre_covid,8,4,6,120,84,78,21.430494222305015,xi_mp_ge_10
drop_credito__imoveis,pre_covid,8,5,6,120,84,78,23.201031028309902,xi_mp_ge_10
drop_credito__imoveis,pre_covid,8,6,6,120,84,78,23.06534858965622,xi_mp_ge_10
drop_credito__imoveis,pre_covid,8,7,6,120,84,78,20.086145006566905,xi_mp_ge_10
drop_credito__imoveis,pre_covid,8,8,6,120,84,78,19.35792231968803,xi_mp_ge_10
drop_eua,full,5,3,6,118,153,147,2.851418971773677,xi_mp_le_3.84
drop_eua,full,5,4,6,118,153,147,4.291369891658352,xi_mp_3.84_10
drop_eua,full,5,5,6,118,153,147,5.886715027021007,xi_mp_3.84_10
drop_eua,full,6,3,6,118,153,147,3.514298548897163,xi_mp_le_3.84
drop_eua,full,6,4,6,118,153,147,3.4276570778530506,xi_mp_le_3.84
drop_eua,full,6,5,6,118,153,147,4.2609563098326735,xi_mp_3.84_10
drop_eua,full,6,6,6,118,153,147,6.477152821124427,xi_mp_3.84_10
drop_eua,full,7,3,6,118,153,147,6.828433395810923,xi_mp_3.84_10
drop_eua,full,7,4,6,118,153,147,6.050174035982397,xi_mp_3.84_10
drop_eua,full,7,5,6,118,153,147,6.896413080801699,xi_mp_3.84_10
drop_eua,full,7,6,6,118,153,147,7.146025484035281,xi_mp_3.84_10
drop_eua,full,7,7,6,118,153,147,8.880843067082207,xi_mp_3.84_10
drop_eua,full,8,3,6,118,153,147,7.003058153517966,xi_mp_3.84_10
drop_eua,full,8,4,6,118,153,147,7.214846059647352,xi_mp_3.84_10
drop_eua,full,8,5,6,118,153,147,7.855921526524727,xi_mp_3.84_10
drop_eua,full,8,6,6,118,153,147,7.841773068241414,xi_mp_3.84_10
drop_eua,full,8,7,6,118,153,147,7.897940761749507,xi_mp_3.84_10
drop_eua,full,8,8,6,118,153,147,9.661559169219904,xi_mp_3.84_10
drop_eua,pre_covid,5,3,6,118,84,78,8.525973720954138,xi_mp_3.84_10
drop_eua,pre_covid,5,4,6,118,84,78,8.868120434697596,xi_mp_3.84_10
drop_eua,pre_covid,5,5,6,118,84,78,8.775894173476582,xi_mp_3.84_10
drop_eua,pre_covid,6,3,6,118,84,78,6.255499012946442,xi_mp_3.84_10
drop_eua,pre_covid,6,4,6,118,84,78,10.480248818708175,xi_mp_ge_10
drop_eua,pre_covid,6,5,6,118,84,78,10.511451231753187,xi_mp_ge_10
drop_eua,pre_covid,6,6,6,118,84,78,10.077752358917389,xi_mp_ge_10
drop_eua,pre_covid,7,3,6,118,84,78,8.052049441559301,xi_mp_3.84_10
drop_eua,pre_covid,7,4,6,118,84,78,16.05924573615104,xi_mp_ge_10
drop_eua,pre_covid,7,5,6,118,84,78,16.04111114267084,xi_mp_ge_10
drop_eua,pre_covid,7,6,6,118,84,78,14.212623508661117,xi_mp_ge_10
drop_eua,pre_covid,7,7,6,118,84,78,14.679809695728828,xi_mp_ge_10
drop_eua,pre_covid,8,3,6,118,84,78,11.687824852049609,xi_mp_ge_10
drop_eua,pre_covid,8,4,6,118,84,78,17.82996728083528,xi_mp_ge_10
drop_eua,pre_covid,8,5,6,118,84,78,18.07306407162399,xi_mp_ge_10
drop_eua,pre_covid,8,6,6,118,84,78,17.815295884334223,xi_mp_ge_10
drop_eua,pre_covid,8,7,6,118,84,78,15.0821330365047,xi_mp_ge_10
drop_eua,pre_covid,8,8,6,118,84,78,12.800438724569648,xi_mp_ge_10
drop_eua__credito,full,5,3,6,116,153,147,2.691675720575395,xi_mp_le_3.84
drop_eua__credito,full,5,4,6,116,153,147,4.270720066608397,xi_mp_3.84_10
drop_eua__credito,full,5,5,6,116,153,147,6.412731246533622,xi_mp_3.84_10
drop_eua__credito,full,6,3,6,116,153,147,2.6260077404790705,xi_mp_le_3.84
drop_eua__credito,full,6,4,6,116,153,147,3.182115759035943,xi_mp_le_3.84
drop_eua__credito,full,6,5,6,116,153,147,4.385162707780208,xi_mp_3.84_10
drop_eua__credito,full,6,6,6,116,153,147,7.112463703704007,xi_mp_3.84_10
drop_eua__credito,full,7,3,6,116,153,147,6.85836673636961,xi_mp_3.84_10
drop_eua__credito,full,7,4,6,116,153,147,6.032006767412115,xi_mp_3.84_10
drop_eua__credito,full,7,5,6,116,153,147,6.88999470959424,xi_mp_3.84_10
drop_eua__credito,full,7,6,6,116,153,147,7.228600499622841,xi_mp_3.84_10
drop_eua__credito,full,7,7,6,116,153,147,9.333462049717438,xi_mp_3.84_10
drop_eua__credito,full,8,3,6,116,153,147,7.188074387611701,xi_mp_3.84_10
drop_eua__credito,full,8,4,6,116,153,147,7.500658973796423,xi_mp_3.84_10
drop_eua__credito,full,8,5,6,116,153,147,8.003469202991498,xi_mp_3.84_10
drop_eua__credito,full,8,6,6,116,153,147,7.878354726253032,xi_mp_3.84_10
drop_eua__credito,full,8,7,6,116,153,147,7.893054565797625,xi_mp_3.84_10
drop_eua__credito,full,8,8,6,116,153,147,10.072529948275248,xi_mp_ge_10
drop_eua__credito,pre_covid,5,3,6,116,84,78,10.013332051761052,xi_mp_ge_10
drop_eua__credito,pre_covid,5,4,6,116,84,78,9.93826490508458,xi_mp_3.84_10
drop_eua__credito,pre_covid,5,5,6,116,84,78,9.467581112771024,xi_mp_3.84_10
drop_eua__credito,pre_covid,6,3,6,116,84,78,8.693059059394402,xi_mp_3.84_10
drop_eua__credito,pre_covid,6,4,6,116,84,78,14.489188482167867,xi_mp_ge_10
drop_eua__credito,pre_covid,6,5,6,116,84,78,14.403659204997451,xi_mp_ge_10
drop_eua__credito,pre_covid,6,6,6,116,84,78,12.63952280759259,xi_mp_ge_10
drop_eua__credito,pre_covid,7,3,6,116,84,78,23.652034383145804,xi_mp_ge_10
drop_eua__credito,pre_covid,7,4,6,116,84,78,20.66990343428899,xi_mp_ge_10
drop_eua__credito,pre_covid,7,5,6,116,84,78,20.667635545232695,xi_mp_ge_10
drop_eua__credito,pre_covid,7,6,6,116,84,78,17.329877970165164,xi_mp_ge_10
drop_eua__credito,pre_covid,7,7,6,116,84,78,16.81307394336839,xi_mp_ge_10
drop_eua__credito,pre_covid,8,3,6,116,84,78,12.852419622576882,xi_mp_ge_10
drop_eua__credito,pre_covid,8,4,6,116,84,78,15.741110916792332,xi_mp_ge_10
drop_eua__credito,pre_covid,8,5,6,116,84,78,14.076065282563006,xi_mp_ge_10
drop_eua__credito,pre_covid,8,6,6,116,84,78,14.097682609701652,xi_mp_ge_10
drop_eua__credito,pre_covid,8,7,6,116,84,78,10.732346137358094,xi_mp_ge_10
drop_eua__credito,pre_covid,8,8,6,116,84,78,9.921392706107437,xi_mp_3.84_10
drop_eua__credito__imoveis,full,5,3,6,115,153,147,3.03370412430448,xi_mp_le_3.84
drop_eua__credito__imoveis,full,5,4,6,115,153,147,4.633563304683929,xi_mp_3.84_10
drop_eua__credito__imoveis,full,5,5,6,115,153,147,6.390820147929125,xi_mp_3.84_10
drop_eua__credito__imoveis,full,6,3,6,115,153,147,3.947432954242052,xi_mp_3.84_10
drop_eua__credito__imoveis,full,6,4,6,115,153,147,3.052788777194672,xi_mp_le_3.84
drop_eua__credito__imoveis,full,6,5,6,115,153,147,4.718502674523058,xi_mp_3.84_10
drop_eua__credito__imoveis,full,6,6,6,115,153,147,7.464932561954773,xi_mp_3.84_10
drop_eua__credito__imoveis,full,7,3,6,115,153,147,7.112142503679528,xi_mp_3.84_10
drop_eua__credito__imoveis,full,7,4,6,115,153,147,6.1529182868149634,xi_mp_3.84_10
drop_eua__credito__imoveis,full,7,5,6,115,153,147,7.17259105683278,xi_mp_3.84_10
drop_eua__credito__imoveis,full,7,6,6,115,153,147,7.5871566520599565,xi_mp_3.84_10
drop_eua__credito__imoveis,full,7,7,6,115,153,147,9.694196465616066,xi_mp_3.84_10
drop_eua__credito__imoveis,full,8,3,6,115,153,147,7.449720887200433,xi_mp_3.84_10
drop_eua__credito__imoveis,full,8,4,6,115,153,147,7.670870545750855,xi_mp_3.84_10
drop_eua__credito__imoveis,full,8,5,6,115,153,147,8.25720899070369,xi_mp_3.84_10
drop_eua__credito__imoveis,full,8,6,6,115,153,147,8.19030494481946,xi_mp_3.84_10
drop_eua__credito__imoveis,full,8,7,6,115,153,147,8.200832726112365,xi_mp_3.84_10
drop_eua__credito__imoveis,full,8,8,6,115,153,147,10.391263618848303,xi_mp_ge_10
drop_eua__credito__imoveis,pre_covid,5,3,6,115,84,78,10.685475756181276,xi_mp_ge_10
drop_eua__credito__imoveis,pre_covid,5,4,6,115,84,78,11.615373554247588,xi_mp_ge_10
drop_eua__credito__imoveis,pre_covid,5,5,6,115,84,78,11.028842933737792,xi_mp_ge_10
drop_eua__credito__imoveis,pre_covid,6,3,6,115,84,78,12.696111098705568,xi_mp_ge_10
drop_eua__credito__imoveis,pre_covid,6,4,6,115,84,78,14.67774165086074,xi_mp_ge_10
drop_eua__credito__imoveis,pre_covid,6,5,6,115,84,78,14.58925997614258,xi_mp_ge_10
drop_eua__credito__imoveis,pre_covid,6,6,6,115,84,78,13.670913708623214,xi_mp_ge_10
drop_eua__credito__imoveis,pre_covid,7,3,6,115,84,78,20.47259678144307,xi_mp_ge_10
drop_eua__credito__imoveis,pre_covid,7,4,6,115,84,78,18.57320933605639,xi_mp_ge_10
drop_eua__credito__imoveis,pre_covid,7,5,6,115,84,78,18.592067990438782,xi_mp_ge_10
drop_eua__credito__imoveis,pre_covid,7,6,6,115,84,78,16.292663277828193,xi_mp_ge_10
drop_eua__credito__imoveis,pre_covid,7,7,6,115,84,78,16.430453384834685,xi_mp_ge_10
drop_eua__credito__imoveis,pre_covid,8,3,6,115,84,78,8.906730480749804,xi_mp_3.84_10
drop_eua__credito__imoveis,pre_covid,8,4,6,115,84,78,11.611261523459135,xi_mp_ge_10
drop_eua__credito__imoveis,pre_covid,8,5,6,115,84,78,9.942772691061688,xi_mp_3.84_10
drop_eua__credito__imoveis,pre_covid,8,6,6,115,84,78,9.648504171708282,xi_mp_3.84_10
drop_eua__credito__imoveis,pre_covid,8,7,6,115,84,78,9.703688153551095,xi_mp_3.84_10
drop_eua__credito__imoveis,pre_covid,8,8,6,115,84,78,8.340342577535825,xi_mp_3.84_10
drop_eua__imoveis,full,5,3,6,117,153,147,3.1984090072888396,xi_mp_le_3.84
drop_eua__imoveis,full,5,4,6,117,153,147,4.652764490906216,xi_mp_3.84_10
drop_eua__imoveis,full,5,5,6,117,153,147,5.935526886124433,xi_mp_3.84_10
drop_eua__imoveis,full,6,3,6,117,153,147,4.318610855463979,xi_mp_3.84_10
drop_eua__imoveis,full,6,4,6,117,153,147,3.179379522982631,xi_mp_le_3.84
drop_eua__imoveis,full,6,5,6,117,153,147,4.401568669954897,xi_mp_3.84_10
drop_eua__imoveis,full,6,6,6,117,153,147,6.805085583700509,xi_mp_3.84_10
drop_eua__imoveis,full,7,3,6,117,153,147,6.82793970025566,xi_mp_3.84_10
drop_eua__imoveis,full,7,4,6,117,153,147,6.1177498846149385,xi_mp_3.84_10
drop_eua__imoveis,full,7,5,6,117,153,147,7.07993419686207,xi_mp_3.84_10
drop_eua__imoveis,full,7,6,6,117,153,147,7.407606588289261,xi_mp_3.84_10
drop_eua__imoveis,full,7,7,6,117,153,147,9.234028253740256,xi_mp_3.84_10
drop_eua__imoveis,full,8,3,6,117,153,147,7.243239986090302,xi_mp_3.84_10
drop_eua__imoveis,full,8,4,6,117,153,147,7.372916960133422,xi_mp_3.84_10
drop_eua__imoveis,full,8,5,6,117,153,147,8.061688170984569,xi_mp_3.84_10
drop_eua__imoveis,full,8,6,6,117,153,147,8.073862322908786,xi_mp_3.84_10
drop_eua__imoveis,full,8,7,6,117,153,147,8.127946542481782,xi_mp_3.84_10
drop_eua__imoveis,full,8,8,6,117,153,147,9.962349572083907,xi_mp_3.84_10
drop_eua__imoveis,pre_covid,5,3,6,117,84,78,8.410144506220494,xi_mp_3.84_10
drop_eua__imoveis,pre_covid,5,4,6,117,84,78,8.626913214807471,xi_mp_3.84_10
