variant,sample,r,q,p,n_series,n_months,n_obs_align,xi_mp,mosw_class
drop_expectativas__imoveis,pre_covid,6,4,6,118,84,78,9.055381841040298,xi_mp_3.84_10
drop_expectativas__imoveis,pre_covid,6,5,6,118,84,78,10.335822876183082,xi_mp_ge_10
drop_expectativas__imoveis,pre_covid,6,6,6,118,84,78,8.927269485494895,xi_mp_3.84_10
drop_expectativas__imoveis,pre_covid,7,3,6,118,84,78,1.9300317608940838,xi_mp_le_3.84
drop_expectativas__imoveis,pre_covid,7,4,6,118,84,78,3.5552657856215757,xi_mp_le_3.84
drop_expectativas__imoveis,pre_covid,7,5,6,118,84,78,12.559438152515257,xi_mp_ge_10
drop_expectativas__imoveis,pre_covid,7,6,6,118,84,78,12.140296697215629,xi_mp_ge_10
drop_expectativas__imoveis,pre_covid,7,7,6,118,84,78,11.705311138812634,xi_mp_ge_10
drop_expectativas__imoveis,pre_covid,8,3,6,118,84,78,0.21473415751101435,xi_mp_le_3.84
drop_expectativas__imoveis,pre_covid,8,4,6,118,84,78,0.18937643331268617,xi_mp_le_3.84
drop_expectativas__imoveis,pre_covid,8,5,6,118,84,78,1.3293455596204962,xi_mp_le_3.84
drop_expectativas__imoveis,pre_covid,8,6,6,118,84,78,4.293207683652765,xi_mp_3.84_10
drop_expectativas__imoveis,pre_covid,8,7,6,118,84,78,4.844129933205904,xi_mp_3.84_10
drop_expectativas__imoveis,pre_covid,8,8,6,118,84,78,4.90758261200556,xi_mp_3.84_10
drop_fiscal,full,5,3,6,120,153,147,3.2378247349627345,xi_mp_le_3.84
drop_fiscal,full,5,4,6,120,153,147,4.921325811612929,xi_mp_3.84_10
drop_fiscal,full,5,5,6,120,153,147,5.399678189104089,xi_mp_3.84_10
drop_fiscal,full,6,3,6,120,153,147,4.490441184642586,xi_mp_3.84_10
drop_fiscal,full,6,4,6,120,153,147,4.639074204590113,xi_mp_3.84_10
drop_fiscal,full,6,5,6,120,153,147,4.715095268723299,xi_mp_3.84_10
drop_fiscal,full,6,6,6,120,153,147,6.200109001524571,xi_mp_3.84_10
drop_fiscal,full,7,3,6,120,153,147,6.744536488213052,xi_mp_3.84_10
drop_fiscal,full,7,4,6,120,153,147,5.027143869947753,xi_mp_3.84_10
drop_fiscal,full,7,5,6,120,153,147,5.161980257160402,xi_mp_3.84_10
drop_fiscal,full,7,6,6,120,153,147,5.221411119001904,xi_mp_3.84_10
drop_fiscal,full,7,7,6,120,153,147,7.129522511433641,xi_mp_3.84_10
drop_fiscal,full,8,3,6,120,153,147,6.062731089647803,xi_mp_3.84_10
drop_fiscal,full,8,4,6,120,153,147,6.150887131244574,xi_mp_3.84_10
drop_fiscal,full,8,5,6,120,153,147,6.139515090315976,xi_mp_3.84_10
drop_fiscal,full,8,6,6,120,153,147,6.251478924174932,xi_mp_3.84_10
drop_fiscal,full,8,7,6,120,153,147,6.364988448209518,xi_mp_3.84_10
drop_fiscal,full,8,8,6,120,153,147,7.96535977048455,xi_mp_3.84_10
drop_fiscal,pre_covid,5,3,6,120,84,78,8.377380400319844,xi_mp_3.84_10
drop_fiscal,pre_covid,5,4,6,120,84,78,9.598474184645774,xi_mp_3.84_10
drop_fiscal,pre_covid,5,5,6,120,84,78,8.917009998893258,xi_mp_3.84_10
drop_fiscal,pre_covid,6,3,6,120,84,78,5.9309779564783875,xi_mp_3.84_10
drop_fiscal,pre_covid,6,4,6,120,84,78,8.426247521109625,xi_mp_3.84_10
drop_fiscal,pre_covid,6,5,6,120,84,78,8.48537647972259,xi_mp_3.84_10
drop_fiscal,pre_covid,6,6,6,120,84,78,7.863068986061437,xi_mp_3.84_10
drop_fiscal,pre_covid,7,3,6,120,84,78,1.0837300189273735,xi_mp_le_3.84
drop_fiscal,pre_covid,7,4,6,120,84,78,4.382926209683601,xi_mp_3.84_10
drop_fiscal,pre_covid,7,5,6,120,84,78,12.04145817039368,xi_mp_ge_10
drop_fiscal,pre_covid,7,6,6,120,84,78,11.872835330364948,xi_mp_ge_10
drop_fiscal,pre_covid,7,7,6,120,84,78,12.970628139395433,xi_mp_ge_10
drop_fiscal,pre_covid,8,3,6,120,84,78,3.639780458192459,xi_mp_le_3.84
drop_fiscal,pre_covid,8,4,6,120,84,78,3.8884497928610666,xi_mp_3.84_10
drop_fiscal,pre_covid,8,5,6,120,84,78,2.5019584417238607,xi_mp_le_3.84
drop_fiscal,pre_covid,8,6,6,120,84,78,7.066457867106654,xi_mp_3.84_10
drop_fiscal,pre_covid,8,7,6,120,84,78,8.469617597231878,xi_mp_3.84_10
drop_fiscal,pre_covid,8,8,6,120,84,78,8.913554672448745,xi_mp_3.84_10
drop_fiscal__credito,full,5,3,6,118,153,147,3.125221367637826,xi_mp_le_3.84
drop_fiscal__credito,full,5,4,6,118,153,147,5.225722681135509,xi_mp_3.84_10
drop_fiscal__credito,full,5,5,6,118,153,147,5.862441891973555,xi_mp_3.84_10
drop_fiscal__credito,full,6,3,6,118,153,147,3.376058068239844,xi_mp_le_3.84
drop_fiscal__credito,full,6,4,6,118,153,147,4.46236167245041,xi_mp_3.84_10
drop_fiscal__credito,full,6,5,6,118,153,147,5.0367121422513135,xi_mp_3.84_10
drop_fiscal__credito,full,6,6,6,118,153,147,7.030797824195039,xi_mp_3.84_10
drop_fiscal__credito,full,7,3,6,118,153,147,7.2453330977897865,xi_mp_3.84_10
drop_fiscal__credito,full,7,4,6,118,153,147,4.926639202884245,xi_mp_3.84_10
drop_fiscal__credito,full,7,5,6,118,153,147,5.036864219925393,xi_mp_3.84_10
drop_fiscal__credito,full,7,6,6,118,153,147,5.130001223259753,xi_mp_3.84_10
drop_fiscal__credito,full,7,7,6,118,153,147,7.5523674070271545,xi_mp_3.84_10
drop_fiscal__credito,full,8,3,6,118,153,147,6.093346882350806,xi_mp_3.84_10
drop_fiscal__credito,full,8,4,6,118,153,147,6.0798346283086255,xi_mp_3.84_10
drop_fiscal__credito,full,8,5,6,118,153,147,6.173409417589895,xi_mp_3.84_10
drop_fiscal__credito,full,8,6,6,118,153,147,6.204736905589528,xi_mp_3.84_10
drop_fiscal__credito,full,8,7,6,118,153,147,6.22103537206366,xi_mp_3.84_10
drop_fiscal__credito,full,8,8,6,118,153,147,8.43469072742953,xi_mp_3.84_10
drop_fiscal__credito,pre_covid,5,3,6,118,84,78,8.51515346781125,xi_mp_3.84_10
drop_fiscal__credito,pre_covid,5,4,6,118,84,78,10.370998036859795,xi_mp_ge_10
drop_fiscal__credito,pre_covid,5,5,6,118,84,78,9.393636623696764,xi_mp_3.84_10
drop_fiscal__credito,pre_covid,6,3,6,118,84,78,9.100780313351093,xi_mp_3.84_10
drop_fiscal__credito,pre_covid,6,4,6,118,84,78,10.925191203322155,xi_mp_ge_10
drop_fiscal__credito,pre_covid,6,5,6,118,84,78,11.237978217282821,xi_mp_ge_10
drop_fiscal__credito,pre_covid,6,6,6,118,84,78,9.886335524035907,xi_mp_3.84_10
drop_fiscal__credito,pre_covid,7,3,6,118,84,78,2.3952557849086005,xi_mp_le_3.84
drop_fiscal__credito,pre_covid,7,4,6,118,84,78,15.893690668529336,xi_mp_ge_10
drop_fiscal__credito,pre_covid,7,5,6,118,84,78,20.67951855604179,xi_mp_ge_10
drop_fiscal__credito,pre_covid,7,6,6,118,84,78,18.43290991928213,xi_mp_ge_10
drop_fiscal__credito,pre_covid,7,7,6,118,84,78,18.38223765037578,xi_mp_ge_10
drop_fiscal__credito,pre_covid,8,3,6,118,84,78,5.429975536103238,xi_mp_3.84_10
drop_fiscal__credito,pre_covid,8,4,6,118,84,78,9.394190538366855,xi_mp_3.84_10
drop_fiscal__credito,pre_covid,8,5,6,118,84,78,5.6808578715208125,xi_mp_3.84_10
drop_fiscal__credito,pre_covid,8,6,6,118,84,78,9.890683018106122,xi_mp_3.84_10
drop_fiscal__credito,pre_covid,8,7,6,118,84,78,13.362581534664985,xi_mp_ge_10
drop_fiscal__credito,pre_covid,8,8,6,118,84,78,13.41400867321287,xi_mp_ge_10
drop_fiscal__credito__imoveis,full,5,3,6,117,153,147,3.458775865395011,xi_mp_le_3.84
drop_fiscal__credito__imoveis,full,5,4,6,117,153,147,5.474393384065204,xi_mp_3.84_10
drop_fiscal__credito__imoveis,full,5,5,6,117,153,147,5.901344816463172,xi_mp_3.84_10
drop_fiscal__credito__imoveis,full,6,3,6,117,153,147,4.679767963290875,xi_mp_3.84_10
drop_fiscal__credito__imoveis,full,6,4,6,117,153,147,4.469161912803667,xi_mp_3.84_10
drop_fiscal__credito__imoveis,full,6,5,6,117,153,147,5.454998087178516,xi_mp_3.84_10
drop_fiscal__credito__imoveis,full,6,6,6,117,153,147,7.313317017259504,xi_mp_3.84_10
drop_fiscal__credito__imoveis,full,7,3,6,117,153,147,7.554570124936954,xi_mp_3.84_10
drop_fiscal__credito__imoveis,full,7,4,6,117,153,147,4.900446640877048,xi_mp_3.84_10
drop_fiscal__credito__imoveis,full,7,5,6,117,153,147,5.109289376682799,xi_mp_3.84_10
drop_fiscal__credito__imoveis,full,7,6,6,117,153,147,5.372682618193024,xi_mp_3.84_10
drop_fiscal__credito__imoveis,full,7,7,6,117,153,147,8.041106830477732,xi_mp_3.84_10
drop_fiscal__credito__imoveis,full,8,3,6,117,153,147,6.139649659893333,xi_mp_3.84_10
drop_fiscal__credito__imoveis,full,8,4,6,117,153,147,5.962542937033006,xi_mp_3.84_10
drop_fiscal__credito__imoveis,full,8,5,6,117,153,147,6.16120043463686,xi_mp_3.84_10
drop_fiscal__credito__imoveis,full,8,6,6,117,153,147,6.395742991838887,xi_mp_3.84_10
drop_fiscal__credito__imoveis,full,8,7,6,117,153,147,6.394478997507531,xi_mp_3.84_10
drop_fiscal__credito__imoveis,full,8,8,6,117,153,147,8.729741075414994,xi_mp_3.84_10
drop_fiscal__credito__imoveis,pre_covid,5,3,6,117,84,78,9.418039732518084,xi_mp_3.84_10
drop_fiscal__credito__imoveis,pre_covid,5,4,6,117,84,78,9.711583232563907,xi_mp_3.84_10
drop_fiscal__credito__imoveis,pre_covid,5,5,6,117,84,78,8.513253436488695,xi_mp_3.84_10
drop_fiscal__credito__imoveis,pre_covid,6,3,6,117,84,78,8.640118348781334,xi_mp_3.84_10
drop_fiscal__credito__imoveis,pre_covid,6,4,6,117,84,78,11.30355916728142,xi_mp_ge_10
drop_fiscal__credito__imoveis,pre_covid,6,5,6,117,84,78,11.414838189736685,xi_mp_ge_10
drop_fiscal__credito__imoveis,pre_covid,6,6,6,117,84,78,10.469717948963593,xi_mp_ge_10
drop_fiscal__credito__imoveis,pre_covid,7,3,6,117,84,78,7.030593873842799,xi_mp_3.84_10
drop_fiscal__credito__imoveis,pre_covid,7,4,6,117,84,78,20.634696750306638,xi_mp_ge_10
drop_fiscal__credito__imoveis,pre_covid,7,5,6,117,84,78,22.210532899286626,xi_mp_ge_10
drop_fiscal__credito__imoveis,pre_covid,7,6,6,117,84,78,20.172227603301085,xi_mp_ge_10
drop_fiscal__credito__imoveis,pre_covid,7,7,6,117,84,78,19.98891361757199,xi_mp_ge_10
drop_fiscal__credito__imoveis,pre_covid,8,3,6,117,84,78,7.465298380023381,xi_mp_3.84_10
drop_fiscal__credito__imoveis,pre_covid,8,4,6,117,84,78,16.75400153127221,xi_mp_ge_10
drop_fiscal__credito__imoveis,pre_covid,8,5,6,117,84,78,18.73997019626183,xi_mp_ge_10
drop_fiscal__credito__imoveis,pre_covid,8,6,6,117,84,78,18.631523688066768,xi_mp_ge_10
drop_fiscal__credito__imoveis,pre_covid,8,7,6,117,84,78,16.197956483644745,xi_mp_ge_10
drop_fiscal__credito__imoveis,pre_covid,8,8,6,117,84,78,15.170210704679464,xi_mp_ge_10
drop_fiscal__eua,full,5,3,6,115,153,147,3.7582522162199608,xi_mp_le_3.84
drop_fiscal__eua,full,5,4,6,115,153,147,5.219353684648621,xi_mp_3.84_10
drop_fiscal__eua,full,5,5,6,115,153,147,6.10603389301858,xi_mp_3.84_10
drop_fiscal__eua,full,6,3,6,115,153,147,4.9738486556748995,xi_mp_3.84_10
drop_fiscal__eua,full,6,4,6,115,153,147,4.703204644913135,xi_mp_3.84_10
drop_fiscal__eua,full,6,5,6,115,153,147,5.023439254888565,xi_mp_3.84_10
drop_fiscal__eua,full,6,6,6,115,153,147,7.096916189597336,xi_mp_3.84_10
drop_fiscal__eua,full,7,3,6,115,153,147,8.256703216332488,xi_mp_3.84_10
drop_fiscal__eua,full,7,4,6,115,153,147,6.827633336718229,xi_mp_3.84_10
drop_fiscal__eua,full,7,5,6,115,153,147,7.307915428003788,xi_mp_3.84_10
drop_fiscal__eua,full,7,6,6,115,153,147,7.448957388407374,xi_mp_3.84_10
drop_fiscal__eua,full,7,7,6,115,153,147,9.18645730322435,xi_mp_3.84_10
drop_fiscal__eua,full,8,3,6,115,153,147,8.609246772192037,xi_mp_3.84_10
drop_fiscal__eua,full,8,4,6,115,153,147,7.980144327749335,xi_mp_3.84_10
drop_fiscal__eua,full,8,5,6,115,153,147,8.37230311568783,xi_mp_3.84_10
drop_fiscal__eua,full,8,6,6,115,153,147,8.359040053931214,xi_mp_3.84_10
drop_fiscal__eua,full,8,7,6,115,153,147,8.547506155309572,xi_mp_3.84_10
drop_fiscal__eua,full,8,8,6,115,153,147,10.166402875114848,xi_mp_ge_10
drop_fiscal__eua,pre_covid,5,3,6,115,84,78,7.621307234308334,xi_mp_3.84_10
drop_fiscal__eua,pre_covid,5,4,6,115,84,78,8.029540503754529,xi_mp_3.84_10
drop_fiscal__eua,pre_covid,5,5,6,115,84,78,8.14889094895907,xi_mp_3.84_10
drop_fiscal__eua,pre_covid,6,3,6,115,84,78,5.7608223933887,xi_mp_3.84_10
drop_fiscal__eua,pre_covid,6,4,6,115,84,78,8.225344600855886,xi_mp_3.84_10
drop_fiscal__eua,pre_covid,6,5,6,115,84,78,8.231854743419454,xi_mp_3.84_10
drop_fiscal__eua,pre_covid,6,6,6,115,84,78,8.282645102268349,xi_mp_3.84_10
drop_fiscal__eua,pre_covid,7,3,6,115,84,78,9.622104709285681,xi_mp_3.84_10
drop_fiscal__eua,pre_covid,7,4,6,115,84,78,12.588599636092686,xi_mp_ge_10
drop_fiscal__eua,pre_covid,7,5,6,115,84,78,12.367806503632018,xi_mp_ge_10
drop_fiscal__eua,pre_covid,7,6,6,115,84,78,11.409522875213241,xi_mp_ge_10
drop_fiscal__eua,pre_covid,7,7,6,115,84,78,12.255893507742734,xi_mp_ge_10
drop_fiscal__eua,pre_covid,8,3,6,115,84,78,9.877890762663558,xi_mp_3.84_10
drop_fiscal__eua,pre_covid,8,4,6,115,84,78,13.634862171320151,xi_mp_ge_10
drop_fiscal__eua,pre_covid,8,5,6,115,84,78,12.643182445464276,xi_mp_ge_10
drop_fiscal__eua,pre_covid,8,6,6,115,84,78,12.67937547431339,xi_mp_ge_10
drop_fiscal__eua,pre_covid,8,7,6,115,84,78,11.591650863800698,xi_mp_ge_10
drop_fiscal__eua,pre_covid,8,8,6,115,84,78,10.316136527198605,xi_mp_ge_10
drop_fiscal__eua__credito,full,5,3,6,113,153,147,3.6398448632339067,xi_mp_le_3.84
drop_fiscal__eua__credito,full,5,4,6,113,153,147,5.430654743399559,xi_mp_3.84_10
drop_fiscal__eua__credito,full,5,5,6,113,153,147,6.630068679458204,xi_mp_3.84_10
drop_fiscal__eua__credito,full,6,3,6,113,153,147,4.346807414570585,xi_mp_3.84_10
drop_fiscal__eua__credito,full,6,4,6,113,153,147,4.536428325104488,xi_mp_3.84_10
drop_fiscal__eua__credito,full,6,5,6,113,153,147,5.261560032304253,xi_mp_3.84_10
drop_fiscal__eua__credito,full,6,6,6,113,153,147,7.918460252309096,xi_mp_3.84_10
drop_fiscal__eua__credito,full,7,3,6,113,153,147,8.721594452089297,xi_mp_3.84_10
drop_fiscal__eua__credito,full,7,4,6,113,153,147,6.894750960621871,xi_mp_3.84_10
drop_fiscal__eua__credito,full,7,5,6,113,153,147,7.272208895363511,xi_mp_3.84_10
drop_fiscal__eua__credito,full,7,6,6,113,153,147,7.551453939103822,xi_mp_3.84_10
drop_fiscal__eua__credito,full,7,7,6,113,153,147,9.751812827551946,xi_mp_3.84_10
drop_fiscal__eua__credito,full,8,3,6,113,153,147,8.860392401618506,xi_mp_3.84_10
drop_fiscal__eua__credito,full,8,4,6,113,153,147,8.146768594661737,xi_mp_3.84_10
drop_fiscal__eua__credito,full,8,5,6,113,153,147,8.55689154045382,xi_mp_3.84_10
drop_fiscal__eua__credito,full,8,6,6,113,153,147,8.578861146804755,xi_mp_3.84_10
drop_fiscal__eua__credito,full,8,7,6,113,153,147,8.525685762563489,xi_mp_3.84_10
drop_fiscal__eua__credito,full,8,8,6,113,153,147,10.703485686222928,xi_mp_ge_10
drop_fiscal__eua__credito,pre_covid,5,3,6,113,84,78,9.32765658458255,xi_mp_3.84_10
drop_fiscal__eua__credito,pre_covid,5,4,6,113,84,78,9.278069253931978,xi_mp_3.84_10
drop_fiscal__eua__credito,pre_covid,5,5,6,113,84,78,8.973358753389306,xi_mp_3.84_10
drop_fiscal__eua__credito,pre_covid,6,3,6,113,84,78,6.511297147725589,xi_mp_3.84_10
drop_fiscal__eua__credito,pre_covid,6,4,6,113,84,78,11.505237341005303,xi_mp_ge_10
drop_fiscal__eua__credito,pre_covid,6,5,6,113,84,78,11.534881408359155,xi_mp_ge_10
drop_fiscal__eua__credito,pre_covid,6,6,6,113,84,78,11.024385683247429,xi_mp_ge_10
drop_fiscal__eua__credito,pre_covid,7,3,6,113,84,78,17.450351526626577,xi_mp_ge_10
drop_fiscal__eua__credito,pre_covid,7,4,6,113,84,78,17.195985855949427,xi_mp_ge_10
drop_fiscal__eua__credito,pre_covid,7,5,6,113,84,78,17.142593264025546,xi_mp_ge_10
drop_fiscal__eua__credito,pre_covid,7,6,6,113,84,78,15.379160308344735,xi_mp_ge_10
drop_fiscal__eua__credito,pre_covid,7,7,6,113,84,78,15.302137919799465,xi_mp_ge_10
drop_fiscal__eua__credito,pre_covid,8,3,6,113,84,78,12.870476655638562,xi_mp_ge_10
drop_fiscal__eua__credito,pre_covid,8,4,6,113,84,78,13.87836210363315,xi_mp_ge_10
drop_fiscal__eua__credito,pre_covid,8,5,6,113,84,78,11.777758226699211,xi_mp_ge_10
drop_fiscal__eua__credito,pre_covid,8,6,6,113,84,78,11.760943201636545,xi_mp_ge_10
drop_fiscal__eua__credito,pre_covid,8,7,6,113,84,78,9.476861425805923,xi_mp_3.84_10
drop_fiscal__eua__credito,pre_covid,8,8,6,113,84,78,9.313776021281585,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,full,5,3,6,112,153,147,4.06685511453509,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,full,5,4,6,112,153,147,5.804286871181602,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,full,5,5,6,112,153,147,6.617383288725693,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,full,6,3,6,112,153,147,4.91193612055606,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,full,6,4,6,112,153,147,4.364340545314649,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,full,6,5,6,112,153,147,5.790238389150628,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,full,6,6,6,112,153,147,8.380488147338555,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,full,7,3,6,112,153,147,8.820307154846496,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,full,7,4,6,112,153,147,6.885029797018493,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,full,7,5,6,112,153,147,7.378679084509105,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,full,7,6,6,112,153,147,7.909539617713836,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,full,7,7,6,112,153,147,10.136752789330997,xi_mp_ge_10
drop_fiscal__eua__credito__imoveis,full,8,3,6,112,153,147,9.079849670316225,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,full,8,4,6,112,153,147,8.17822669542735,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,full,8,5,6,112,153,147,8.690345919375481,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,full,8,6,6,112,153,147,8.725445118053452,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,full,8,7,6,112,153,147,8.717715891339514,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,full,8,8,6,112,153,147,10.99105255235376,xi_mp_ge_10
drop_fiscal__eua__credito__imoveis,pre_covid,5,3,6,112,84,78,7.074667936343593,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,pre_covid,5,4,6,112,84,78,10.403580401717637,xi_mp_ge_10
drop_fiscal__eua__credito__imoveis,pre_covid,5,5,6,112,84,78,9.7069864128628,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,pre_covid,6,3,6,112,84,78,9.825886254158258,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,pre_covid,6,4,6,112,84,78,11.254560492804556,xi_mp_ge_10
drop_fiscal__eua__credito__imoveis,pre_covid,6,5,6,112,84,78,11.303424895250597,xi_mp_ge_10
drop_fiscal__eua__credito__imoveis,pre_covid,6,6,6,112,84,78,11.277038116157504,xi_mp_ge_10
drop_fiscal__eua__credito__imoveis,pre_covid,7,3,6,112,84,78,16.60655014026455,xi_mp_ge_10
drop_fiscal__eua__credito__imoveis,pre_covid,7,4,6,112,84,78,15.132820820769417,xi_mp_ge_10
drop_fiscal__eua__credito__imoveis,pre_covid,7,5,6,112,84,78,15.249590991375314,xi_mp_ge_10
drop_fiscal__eua__credito__imoveis,pre_covid,7,6,6,112,84,78,14.14230890838257,xi_mp_ge_10
drop_fiscal__eua__credito__imoveis,pre_covid,7,7,6,112,84,78,14.651684990389686,xi_mp_ge_10
drop_fiscal__eua__credito__imoveis,pre_covid,8,3,6,112,84,78,12.69881058775566,xi_mp_ge_10
drop_fiscal__eua__credito__imoveis,pre_covid,8,4,6,112,84,78,9.34177117616154,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,pre_covid,8,5,6,112,84,78,8.797822209296784,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,pre_covid,8,6,6,112,84,78,8.801247013531846,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,pre_covid,8,7,6,112,84,78,8.429764366543017,xi_mp_3.84_10
drop_fiscal__eua__credito__imoveis,pre_covid,8,8,6,112,84,78,7.855462468946919,xi_mp_3.84_10
drop_fiscal__eua__imoveis,full,5,3,6,114,153,147,4.2173945891301114,xi_mp_3.84_10
drop_fiscal__eua__imoveis,full,5,4,6,114,153,147,5.562109592959534,xi_mp_3.84_10
drop_fiscal__eua__imoveis,full,5,5,6,114,153,147,6.168870976880181,xi_mp_3.84_10
drop_fiscal__eua__imoveis,full,6,3,6,114,153,147,5.364691284734141,xi_mp_3.84_10
drop_fiscal__eua__imoveis,full,6,4,6,114,153,147,4.450404532746693,xi_mp_3.84_10
drop_fiscal__eua__imoveis,full,6,5,6,114,153,147,5.137426459015428,xi_mp_3.84_10
drop_fiscal__eua__imoveis,full,6,6,6,114,153,147,7.506701031371823,xi_mp_3.84_10
drop_fiscal__eua__imoveis,full,7,3,6,114,153,147,8.240241468943562,xi_mp_3.84_10
drop_fiscal__eua__imoveis,full,7,4,6,114,153,147,6.801591516898789,xi_mp_3.84_10
drop_fiscal__eua__imoveis,full,7,5,6,114,153,147,7.364044945714692,xi_mp_3.84_10
drop_fiscal__eua__imoveis,full,7,6,6,114,153,147,7.642765680434967,xi_mp_3.84_10
drop_fiscal__eua__imoveis,full,7,7,6,114,153,147,9.577880375323817,xi_mp_3.84_10
drop_fiscal__eua__imoveis,full,8,3,6,114,153,147,8.740373617041598,xi_mp_3.84_10
drop_fiscal__eua__imoveis,full,8,4,6,114,153,147,8.016533245747159,xi_mp_3.84_10
drop_fiscal__eua__imoveis,full,8,5,6,114,153,147,8.479777335758532,xi_mp_3.84_10
drop_fiscal__eua__imoveis,full,8,6,6,114,153,147,8.486251172301431,xi_mp_3.84_10
drop_fiscal__eua__imoveis,full,8,7,6,114,153,147,8.685919668351183,xi_mp_3.84_10
drop_fiscal__eua__imoveis,full,8,8,6,114,153,147,10.449742717523348,xi_mp_ge_10
drop_fiscal__eua__imoveis,pre_covid,5,3,6,114,84,78,6.806627775164737,xi_mp_3.84_10
drop_fiscal__eua__imoveis,pre_covid,5,4,6,114,84,78,7.001402052538481,xi_mp_3.84_10
drop_fiscal__eua__imoveis,pre_covid,5,5,6,114,84,78,7.753222682392091,xi_mp_3.84_10
drop_fiscal__eua__imoveis,pre_covid,6,3,6,114,84,78,6.801271073358002,xi_mp_3.84_10
drop_fiscal__eua__imoveis,pre_covid,6,4,6,114,84,78,7.881812082695105,xi_mp_3.84_10
drop_fiscal__eua__imoveis,pre_covid,6,5,6,114,84,78,7.873565784982814,xi_mp_3.84_10
drop_fiscal__eua__imoveis,pre_covid,6,6,6,114,84,78,8.402125627612133,xi_mp_3.84_10
drop_fiscal__eua__imoveis,pre_covid,7,3,6,114,84,78,8.954924215972087,xi_mp_3.84_10
drop_fiscal__eua__imoveis,pre_covid,7,4,6,114,84,78,10.818123023230296,xi_mp_ge_10
drop_fiscal__eua__imoveis,pre_covid,7,5,6,114,84,78,11.02940927457849,xi_mp_ge_10
drop_fiscal__eua__imoveis,pre_covid,7,6,6,114,84,78,10.656547496999499,xi_mp_ge_10
drop_fiscal__eua__imoveis,pre_covid,7,7,6,114,84,78,11.970897301362621,xi_mp_ge_10
drop_fiscal__eua__imoveis,pre_covid,8,3,6,114,84,78,9.812362682079586,xi_mp_3.84_10
drop_fiscal__eua__imoveis,pre_covid,8,4,6,114,84,78,13.062156939108677,xi_mp_ge_10
drop_fiscal__eua__imoveis,pre_covid,8,5,6,114,84,78,11.51404585491626,xi_mp_ge_10
drop_fiscal__eua__imoveis,pre_covid,8,6,6,114,84,78,11.490722773636643,xi_mp_ge_10
drop_fiscal__eua__imoveis,pre_covid,8,7,6,114,84,78,10.837563452859262,xi_mp_ge_10
drop_fiscal__eua__imoveis,pre_covid,8,8,6,114,84,78,9.742514229449528,xi_mp_3.84_10
drop_fiscal__expectativas,full,5,3,6,116,153,147,2.827878692951478,xi_mp_le_3.84
drop_fiscal__expectativas,full,5,4,6,116,153,147,4.34816682321586,xi_mp_3.84_10
drop_fiscal__expectativas,full,5,5,6,116,153,147,5.217544252042473,xi_mp_3.84_10
drop_fiscal__expectativas,full,6,3,6,116,153,147,2.810069992376818,xi_mp_le_3.84
drop_fiscal__expectativas,full,6,4,6,116,153,147,4.4973751422600206,xi_mp_3.84_10
drop_fiscal__expectativas,full,6,5,6,116,153,147,4.6206297292721485,xi_mp_3.84_10
drop_fiscal__expectativas,full,6,6,6,116,153,147,6.037837388481745,xi_mp_3.84_10
drop_fiscal__expectativas,full,7,3,6,116,153,147,4.809026442151966,xi_mp_3.84_10
drop_fiscal__expectativas,full,7,4,6,116,153,147,4.901516657974626,xi_mp_3.84_10
drop_fiscal__expectativas,full,7,5,6,116,153,147,5.0209809233640375,xi_mp_3.84_10
drop_fiscal__expectativas,full,7,6,6,116,153,147,5.153050594629339,xi_mp_3.84_10
drop_fiscal__expectativas,full,7,7,6,116,153,147,7.760452815255106,xi_mp_3.84_10
drop_fiscal__expectativas,full,8,3,6,116,153,147,5.872909363461743,xi_mp_3.84_10
drop_fiscal__expectativas,full,8,4,6,116,153,147,6.036522674149151,xi_mp_3.84_10
drop_fiscal__expectativas,full,8,5,6,116,153,147,6.214248029251689,xi_mp_3.84_10
drop_fiscal__expectativas,full,8,6,6,116,153,147,6.148904112838805,xi_mp_3.84_10
drop_fiscal__expectativas,full,8,7,6,116,153,147,6.126021130166192,xi_mp_3.84_10
