variante,tcode,n,mediana,min,max
prod,1,87,1.2942989564523097,0.6505001341853439,15.0698829346577
prod,4,16,2.4053040238258543,0.9353751725967326,3.7942120061157634
prod,6,7,1.050396291651957,0.8631073936585386,1.1426068016785114
prod_cum,1,87,1.2942989564523097,0.6505001341853439,15.0698829346577
prod_cum,2,7,37.486560287070084,32.49255773715818,39.3108059687781
prod_cum,4,16,2.4053040238258543,0.9353751725967326,3.7942120061157634
loglevel,1,87,1.3601381807883197,0.8481308853044243,11.547718787447867
loglevel,4,23,1.924199946147487,0.9418398742122612,4.058471049617615
level,1,94,1.3167904084235693,0.8075015729369867,12.372477874695145
level,4,16,2.4244772407944613,1.2048974826042678,4.259313800116336
