variante,h,t_mediano
level,0,1.8094337268181993
level,1,2.1559501239300993
level,2,1.6762659055882012
level,3,2.0537560990984334
level,4,2.00650240503716
level,5,1.4703906346657607
level,6,1.0436152985239984
level,7,0.7253146853069193
level,8,0.48972975644028194
level,9,0.3545184660948251
level,10,0.15901838115142256
level,11,0.16847099395237117
level,12,0.2018247505470003
level,13,0.25496301551842515
level,14,0.2762833706555801
level,15,0.28967296622848054
level,16,0.3043045634712968
level,17,0.3593212128650132
level,18,0.35136000134710277
level,19,0.3511943921153827
level,20,0.3067505908176728
level,21,0.2791983358287302
level,22,0.323920847442843
level,23,0.3749213313219111
level,24,0.4183952229530124
level,25,0.47022198278433036
level,26,0.51548071814515
level,27,0.5550329060039484
level,28,0.5850250140255632
level,29,0.6094147271134727
level,30,0.6238501120258344
level,31,0.6344785469209755
level,32,0.6652049367954337
level,33,0.7167153467180875
level,34,0.6821192017688285
level,35,0.6600576999169778
level,36,0.6682430112198945
level,37,0.6514926063761136
level,38,0.6271209250204436
level,39,0.6254249126697843
level,40,0.6215626919591675
level,41,0.6357141294938002
level,42,0.5980536830393607
level,43,0.5547875660136913
level,44,0.5056842223051866
level,45,0.4583403647195775
level,46,0.4109184208179913
level,47,0.3559501655380265
level,48,0.3893713611669013
loglevel,0,2.143274831965736
loglevel,1,2.900977605757877
loglevel,2,2.275489267030446
loglevel,3,2.6660405260593727
loglevel,4,2.7264353963536756
loglevel,5,2.3224217482692406
loglevel,6,1.8907319281507027
loglevel,7,1.6399750036423515
loglevel,8,1.4335654205964212
loglevel,9,1.2616516998369312
loglevel,10,1.0793167434758484
loglevel,11,0.8772525794924185
loglevel,12,0.6797432086538233
loglevel,13,0.6453376197630624
loglevel,14,0.5071580732513732
loglevel,15,0.3738967846060424
loglevel,16,0.25311236002910414
loglevel,17,0.20790106199804445
loglevel,18,0.16538466759459472
loglevel,19,0.2717557905380597
loglevel,20,0.24881082915760083
loglevel,21,0.30786729442566296
loglevel,22,0.26999433288150765
loglevel,23,0.3498741088334857
loglevel,24,0.43414185182619086
loglevel,25,0.5254437420424817
loglevel,26,0.6032079780191298
loglevel,27,0.6777403488263529
loglevel,28,0.7404018575801495
loglevel,29,0.8079486950794285
loglevel,30,0.8690164866538691
loglevel,31,0.9414924528304456
loglevel,32,1.015697756206334
loglevel,33,1.0637296950068207
loglevel,34,1.0928200549955671
loglevel,35,1.1333839967395334
loglevel,36,1.1346930553415007
loglevel,37,1.148982005197378
loglevel,38,1.1693007201826733
loglevel,39,1.1608050000929357
loglevel,40,1.1474621445452564
loglevel,41,1.1303635932853031
loglevel,42,1.1056229137987013
loglevel,43,1.0570601861992897
loglevel,44,1.0437243807217595
loglevel,45,1.019971050743693
loglevel,46,0.9697271780813547
loglevel,47,0.9070301442665222
loglevel,48,0.8476880555380525
prod,0,0.7297883848641895
prod,1,0.9804506080154008
prod,2,0.8967323693869077
prod,3,0.26795879371111536
prod,4,0.2439847934873346
prod,5,0.6395058065464468
prod,6,0.6537769185965536
prod,7,0.596954736665041
prod,8,0.692322934383203
prod,9,0.7819007502577654
prod,10,0.7531784342268176
prod,11,0.7941378922718295
prod,12,0.8013749647947268
prod,13,0.7248912132844105
prod,14,0.6777004396887699
prod,15,0.5997761287528145
prod,16,0.526426839278896
prod,17,0.4504410685145332
prod,18,0.36513752778831854
prod,19,0.2840993380859598
prod,20,0.2041381967708264
prod,21,0.10956210016405118
prod,22,0.02850152769482155
prod,23,0.08203287421700069
prod,24,0.18103234736597013
prod,25,0.27839185799866883
prod,26,0.36343928302787193
prod,27,0.4380186726101649
prod,28,0.5146935307465924
prod,29,0.5852151830623585
prod,30,0.6512646820844894
prod,31,0.7165821303597708
prod,32,0.7727749595302466
prod,33,0.8402304009637911
prod,34,0.9067453606627391
prod,35,0.9295002097352665
prod,36,0.9464256623226247
prod,37,0.9811412347000189
prod,38,1.0054542793860668
prod,39,1.0547947319566882
prod,40,1.1061015426005434
prod,41,1.1181789018935535
prod,42,1.1323417369982707
prod,43,1.1635717349246475
prod,44,1.173426724353935
prod,45,1.1841437935968278
prod,46,1.1807679343846365
prod,47,1.1866821063977102
prod,48,1.1568543475551742
