rank,variable,lambda,abs_share
1,DI_3m,221.87937351531488,0.8404741374015089
2,DI_2y,41.143178841735654,0.15584944737811318
3,IBOV,0.40784772845223627,0.0015449181342600008
4,BRL,-0.5627005247059126,0.0021314970861179877
