ref.date,workbook_primary,sgs_4649,difference
2013-01-01,-30251.410474209995,-30251.41,-4.742099954455625e-4
2013-02-01,3031.334773839994,3031.33,0.004773839993958973
2013-03-01,-3500.0178577199913,-3500.02,0.0021422800086838834
2013-04-01,-10328.337742649997,-10328.34,0.002257350002764724
2013-05-01,-5680.962145960001,-5680.96,-0.002145960001143976
2013-06-01,-5428.558810020001,-5428.56,0.00118997999925341
2013-07-01,-2286.790477199996,-2286.79,-4.7719999611217645e-4
2013-08-01,431.86782317999723,431.87,-0.0021768200027736384
2013-09-01,9047.866794890015,9047.87,-0.0032051099860836985
2013-10-01,-6188.412631539996,-6188.41,-0.0026315399964005337
2013-11-01,-29745.360082250005,-29745.36,-8.225000419770367e-5
2013-12-01,-10407.339536650023,-10407.34,4.633499775081873e-4
2014-01-01,-19921.30149268994,-19921.3,-0.0014926899420970585
2014-02-01,-2130.2243826100053,-2130.22,-0.00438261000545026
2014-03-01,-3579.574288330009,-3579.57,-0.004288330008876073
2014-04-01,-16895.80178788001,-16895.8,-0.0017878800099424552
2014-05-01,11046.362507210008,11046.36,0.002507210007024696
2014-06-01,2100.478560329989,2100.48,-0.0014396700112229155
2014-07-01,4715.14216619,4715.14,0.002166190000025381
2014-08-01,14460.017661440004,14460.02,-0.0023385599961329717
2014-09-01,25490.98536480001,25490.99,-0.004635199991753325
2014-10-01,-3728.637425970021,-3728.64,0.002574029978859471
2014-11-01,8084.222217260001,8084.22,0.0022172600010890164
2014-12-01,12894.235531999986,12894.24,-0.004468000013730489
2015-01-01,-21062.81374864999,-21062.81,-0.003748649989574915
2015-02-01,2299.6529514300078,2299.65,0.002951430007669842
2015-03-01,-239.3586282199875,-239.36,0.0013717800125050417
2015-04-01,-13445.007775059992,-13445.01,0.0022249400080909254
2015-05-01,6900.412374560001,6900.41,0.0023745600010443013
2015-06-01,9323.14740326,9323.15,-0.0025967399997171015
2015-07-01,10018.645126379999,10018.65,-0.0048736200005805586
2015-08-01,7309.983367660015,7309.98,0.003367660015101137
2015-09-01,7318.328660990006,7318.33,-0.0013390099938987987
2015-10-01,11530.19239267,11530.19,0.002392669999608188
2015-11-01,19566.96354316,19566.96,0.0035431600008450914
2015-12-01,71728.72739362998,71728.73,-0.002606370020657778
2016-01-01,-27912.843499739996,-27912.84,-0.0034997399961866904
