block,domain,n_series,share_pct,pc1_share,n_effective,mean_abs_cor,comm_r2_mean,mp_share_pct
trabalho,trabalho,14,12.612612612612613,0.36495864208405693,5.001918949458962,0.26836702410402746,0.4678184701270817,10.40455823525941
industria,atividade_real,12,10.81081081081081,0.5279127678375551,3.213024649655,0.42895164926521534,0.4912129555367467,9.64380718835385
precos,precos,11,9.90990990990991,0.38556408247068125,4.928642243175725,0.26421515949028496,0.3633303779624283,3.6271946638538957
credito,credito_moeda,10,9.00900900900901,0.35696196567405963,5.235249083146595,0.260566195267505,0.34908312429373417,9.576600519682074
epu,externo_risco,8,7.207207207207207,0.3255397573505033,5.617878668643942,0.18646006324007747,0.05607853297550561,0.933949965757523
acoes,financeiro_domestico,7,6.306306306306307,0.7173721104095473,1.8553029585114096,0.6451062023608757,0.6435708842443973,13.971291611255474
monetario,credito_moeda,7,6.306306306306307,0.5341882808593917,3.003001230177359,0.4332710172062487,0.4354478438883731,4.205555871163818
combustiveis,atividade_real,6,5.405405405405405,0.3968485822566459,4.07007178291511,0.2470645931589455,0.3127829703314462,3.1264463490023884
curva,financeiro_domestico,6,5.405405405405405,0.7550561771240969,1.6430490818899979,0.6999463744452061,0.7031088604528707,14.507658103727788
cambio,financeiro_domestico,5,4.504504504504505,0.774453542043352,1.5864590116315722,0.6746477152783338,0.6407735299752015,8.140777003867896
energia,atividade_real,4,3.6036036036036037,0.5792247866943673,2.436167308579475,0.4259197234760673,0.2618525620752139,1.6786258987075369
expectativas,expectativas,4,3.6036036036036037,0.40707478362365784,3.3146335416049335,0.20395779807312797,0.3454140372870858,3.52087599710888
risco_externo,externo_risco,4,3.6036036036036037,0.5279331515600088,2.567623721608858,0.32937916146282126,0.4151092031078856,5.521123748050151
commodities,externo_risco,3,2.7027027027027026,0.5483187818294503,2.474591613023542,0.3207495903626307,0.2864684296527117,2.852328624707908
fiscal,fiscal,3,2.7027027027027026,0.43891250612519767,2.853013257255813,0.15725005899941705,0.3564883981224976,3.052471611437914
atividade_agregada,atividade_real,2,1.8018018018018018,0.6315815637235027,1.8704615034734624,0.2631631274470055,0.438775914366172,1.4007954507196014
confianca,atividade_real,2,1.8018018018018018,0.6055813659009078,1.9146273425215652,0.2111627318018157,0.34611339376112776,1.126396114167691
vendas,atividade_real,2,1.8018018018018018,0.7502088975648941,1.5994651776379512,0.5004177951297881,0.5873909776282884,1.9142855318728926
politica,financeiro_domestico,1,0.9009009009009009,1,1,NA,0.47479770766117885,0.7952575113032347
