block,F1,F2,F3,F4,F5
acoes,2.083641949988522,15.960184445985574,0.12188618413319795,38.912934493403384,3.0255294083338278
atividade_agregada,4.217557225326658,0.21087310916453592,0.8155207031958921,0.7353519623108346,0.955544269236572
cambio,3.510022614955007,12.156838608187991,6.014812380140218,4.327921205328011,10.503465002990435
combustiveis,9.299578133019839,0.4569353410772917,1.7555089605968688,2.006752922285175,0.5772048844363642
commodities,0.13319768158723827,4.414725551477059,1.0557971410087363,3.8407513091496837,0.7311178572780979
confianca,3.785854421701555,0.02042066734471024,0.13080204327113076,0.7697189970832493,0.1556632159080592
credito,2.0325735679461223,13.934961273789897,11.291905693704859,7.538876455094357,5.052914449879431
curva,0.5573183964532225,25.634137323154732,6.543005949993853,8.12585093686069,4.819485126602289
energia,5.286540992219798,0.288776459867583,0.4165415740159484,0.7189125463212163,1.2823608185360782
epu,0.33784039748470057,0.8427461107694899,0.40335774750303527,2.6314486947473426,2.3638701151641666
expectativas,1.1497954739506766,3.9443409812873544,2.8641608064482975,6.892099954099155,2.5856177549096726
fiscal,0.5051935815081697,4.589973833651083,3.7792998016346635,2.0631739043058794,0.9718727620537491
industria,31.01497389263673,0.9742845636266743,4.394798631583123,4.168793430778349,1.0327671241757692
monetario,2.0956059124309983,0.8675709932243416,30.06359142891526,1.5018964246034767,2.5976392319635817
politica,1.2280167203858485e-4,0.574033090859312,3.441895332531798,1.126761513655371,1.4717210715388394
precos,0.7747932084088478,3.4172802096645025,3.3371930450233553,7.41517626028692,56.59287772142668
risco_externo,1.7709328322002522,9.07116872885784,0.2852415938049287,4.110866869290433,1.6685786022679907
trabalho,25.034050160775244,2.551582791158287,22.756245799242073,2.1504726220374337,3.525186682994949
vendas,6.4104067557343285,0.08916591685164649,0.5284351832526905,0.9622394983589599,0.08658390030351913
