var,h,gmr,proxy
yield_1y,0,0.006328626356160255,0.006334123738855861
yield_3m,0,0.0037540651891480913,0.0038682612744976538
yield_6m,0,0.005,0.005
yield_3m,1,0.005091405536611583,0.005054746547409631
yield_6m,1,0.006399730692423904,0.006540994796769263
yield_1y,2,0.009169296862694881,0.009389515356431797
