ident,var,h,point,lo68,hi68,lo90,hi90
GMR nao-gaussiano,yield_6m,0,0.005,0.005,0.005,0.005,0.005
GMR nao-gaussiano,yield_6m,1,0.006399730692423904,0.004968439442406545,0.007742498203660794,0.0016190979479315105,0.01112143067321978
GMR nao-gaussiano,yield_6m,2,0.008030149930956224,0.005585067621161682,0.010009500490731103,-3.741882772643668e-5,0.01597936852478076
GMR nao-gaussiano,yield_6m,3,0.009847865782464845,0.006532681133135378,0.01368121239519673,-0.0014009419637802884,0.02467708825523723
GMR nao-gaussiano,yield_6m,4,0.010524405632439136,0.005674396615186762,0.015430965873835821,-0.004234853104401531,0.026548151327628958
GMR nao-gaussiano,yield_6m,5,0.011592946372706652,0.005586285089198604,0.01835721553302922,-0.005404130966252136,0.03483196893386431
GMR nao-gaussiano,yield_6m,6,0.01204206063012495,0.0051604087526961676,0.019229048595684396,-0.00552575386152299,0.03705476801136497
GMR nao-gaussiano,yield_6m,7,0.01208121627822954,0.004438174315762945,0.02004325936778083,-0.0060173436863817705,0.04069653914963823
GMR nao-gaussiano,yield_6m,8,0.012300148920616785,0.004130021483498057,0.022536137161192606,-0.007782808296462819,0.04610792874771364
GMR nao-gaussiano,yield_6m,9,0.012240046673989558,0.00349611429727824,0.0243758000421024,-0.010269178263849228,0.04694608903480731
GMR nao-gaussiano,yield_6m,10,0.012226633767689388,0.003339602238629109,0.025271322726562753,-0.013011262981567857,0.047830085776538904
GMR nao-gaussiano,yield_6m,11,0.012123283519296726,0.0026796239664355196,0.02566196338376908,-0.014252657419108715,0.0511560061374379
GMR nao-gaussiano,yield_6m,12,0.011802566468989964,0.002458364192930647,0.02620161050835805,-0.017842476669328998,0.05716977686660896
GMR nao-gaussiano,yield_6m,13,0.01144882199251508,0.001474177820352587,0.026444846629931205,-0.017831649792408238,0.059839478301572116
GMR nao-gaussiano,yield_6m,14,0.011045902536077283,6.807122245711814e-4,0.027199322005239494,-0.023032596761157296,0.06353911800339378
GMR nao-gaussiano,yield_6m,15,0.010664509010615284,-4.8580386477042333e-4,0.027239361981099254,-0.027165864912201767,0.06448839092193441
GMR nao-gaussiano,yield_6m,16,0.010249553901061649,-0.0015535838307054344,0.02712666895623795,-0.0320827222914203,0.06534881474752023
GMR nao-gaussiano,yield_6m,17,0.009768894670458377,-0.0021840010451334335,0.026962196665816823,-0.03207937150425739,0.06523936514948774
GMR nao-gaussiano,yield_6m,18,0.009295016080469846,-0.002569039639583767,0.026747944270110284,-0.033145682647424374,0.061493300364782635
GMR nao-gaussiano,yield_6m,19,0.008790961831303684,-0.003504522696642873,0.02649177333620382,-0.03025610208802204,0.06389329248290765
GMR nao-gaussiano,yield_6m,20,0.008288213320627163,-0.004410338953838027,0.025944251466861253,-0.033395657177102175,0.060630677119576926
GMR nao-gaussiano,yield_6m,21,0.007798133213602184,-0.005037149981182553,0.025094711953313843,-0.03393712222184518,0.06333823611242333
GMR nao-gaussiano,yield_6m,22,0.007293016417124661,-0.005615249276181148,0.02398618147154905,-0.03798393732101831,0.05750642464050228
GMR nao-gaussiano,yield_6m,23,0.006789360950010613,-0.006402992505807857,0.02313510916597161,-0.03894716715977945,0.058200371547643515
