cell_id,cell,reference_cell,comparison,var,h,point,reference_point,difference_vs_reference
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,0,-0.697745811684083,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,0,-0.018708014846702533,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,0,0.005,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,0,0.08050771084479456,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,0,18.85849674935322,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,1,-0.4784496978367283,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,1,0.02556118094441765,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,1,0.006330424985722701,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,1,0.11870501836484194,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,1,21.96556072481784,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,2,-0.32955401601671275,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,2,0.047565559424075116,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,2,0.006774077168744879,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,2,0.10683691598793219,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,2,21.14404108706679,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,3,-0.2519099076664081,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,3,0.053724853512254665,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,3,0.007009236323779014,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,3,0.08995997207943392,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,3,19.172913524077032,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,4,-0.2037843481700925,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,4,0.049430004049196,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,4,0.007171577170474071,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,4,0.07347567431793864,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,4,17.442663080998166,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,5,-0.17006562550607404,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,5,0.042946246572511844,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,5,0.007279832507892535,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,5,0.05932230732330805,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,5,16.034523079818022,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,6,-0.1438591761271041,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,price_ipca,6,0.03609718961589048,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,yield_6m,6,0.007333262905077553,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cambio_usd,6,0.04698164572846886,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,cds_5y,6,14.867867697206599,NA,NA
p2_canonical,"VAR(2) canônico, 151 resíduos",NA,referência canônica,ibc_br,7,-0.12240732707184607,NA,NA
