panel,sample,n_months,n_series,r,criterion,value
baseline_111,pre_covid,84,111,12,IC2,0.17066219672091298
baseline_111,pre_covid,84,111,12,IC3,-0.3070503014192596
baseline_111,pre_covid,84,111,13,IC1,0.052975593636733986
baseline_111,pre_covid,84,111,13,IC2,0.2058143116925255
baseline_111,pre_covid,84,111,13,IC3,-0.31170756129266164
baseline_111,pre_covid,84,111,14,IC1,0.07758457539757502
baseline_111,pre_covid,84,111,14,IC2,0.2421801179191967
baseline_111,pre_covid,84,111,14,IC3,-0.3151511299110048
baseline_111,pre_covid,84,111,15,IC1,0.10091929151955137
baseline_111,pre_covid,84,111,15,IC2,0.27727165850700297
baseline_111,pre_covid,84,111,15,IC3,-0.31986896416821287
baseline_111,pre_covid,84,111,16,IC1,0.12868172086646967
baseline_111,pre_covid,84,111,16,IC2,0.31679091231975165
baseline_111,pre_covid,84,111,16,IC3,-0.32015908520047864
baseline_111,pre_covid,84,111,17,IC1,0.15383227533498744
baseline_111,pre_covid,84,111,17,IC2,0.3536982912540996
baseline_111,pre_covid,84,111,17,IC3,-0.3230610811111452
baseline_111,pre_covid,84,111,18,IC1,0.17779082607406282
baseline_111,pre_covid,84,111,18,IC2,0.3894136664590049
baseline_111,pre_covid,84,111,18,IC3,-0.3271550807512542
baseline_111,pre_covid,84,111,19,IC1,0.20089452866463264
baseline_111,pre_covid,84,111,19,IC2,0.42427419351540485
baseline_111,pre_covid,84,111,19,IC3,-0.3321039285398688
baseline_111,pre_covid,84,111,20,IC1,0.22395490834803744
baseline_111,pre_covid,84,111,20,IC2,0.4590913976646398
baseline_111,pre_covid,84,111,20,IC3,-0.3370960992356482
exchange_112,full,153,112,1,IC1,-0.10250534768866076
exchange_112,full,153,112,1,IC2,-0.0939441337714139
exchange_112,full,153,112,1,IC3,-0.12498688950361847
exchange_112,full,153,112,2,IC1,-0.16736586951328175
exchange_112,full,153,112,2,IC2,-0.15024344167878803
exchange_112,full,153,112,2,IC3,-0.21232895314319716
exchange_112,full,153,112,3,IC1,-0.20236983861181396
exchange_112,full,153,112,3,IC2,-0.1766861968600734
exchange_112,full,153,112,3,IC3,-0.2698144640566871
exchange_112,full,153,112,4,IC1,-0.21816194382712478
exchange_112,full,153,112,4,IC2,-0.18391708815813734
exchange_112,full,153,112,4,IC3,-0.3080881110869556
exchange_112,full,153,112,5,IC1,-0.22690839280875835
exchange_112,full,153,112,5,IC2,-0.18410232322252412
exchange_112,full,153,112,5,IC3,-0.33931610188354694
exchange_112,full,153,112,6,IC1,-0.22396753330799635
exchange_112,full,153,112,6,IC2,-0.17260024980451522
exchange_112,full,153,112,6,IC3,-0.3588567841977426
exchange_112,full,153,112,7,IC1,-0.21740471152476948
exchange_112,full,153,112,7,IC2,-0.15747621410404145
exchange_112,full,153,112,7,IC3,-0.3747755042294734
exchange_112,full,153,112,8,IC1,-0.21021756774401623
exchange_112,full,153,112,8,IC2,-0.14172785640604135
exchange_112,full,153,112,8,IC3,-0.3900699022636779
exchange_112,full,153,112,9,IC1,-0.2022036547796615
exchange_112,full,153,112,9,IC2,-0.1251527295244399
exchange_112,full,153,112,9,IC3,-0.40453753111428087
exchange_112,full,153,112,10,IC1,-0.18526917721783775
exchange_112,full,153,112,10,IC2,-0.0996570380453693
exchange_112,full,153,112,10,IC3,-0.41008459536741493
exchange_112,full,153,112,11,IC1,-0.16929796068592418
exchange_112,full,153,112,11,IC2,-0.07512460759620876
exchange_112,full,153,112,11,IC3,-0.41659492065045894
exchange_112,full,153,112,12,IC1,-0.15118523404339124
exchange_112,full,153,112,12,IC2,-0.048450667036428974
exchange_112,full,153,112,12,IC3,-0.4209637358228837
exchange_112,full,153,112,13,IC1,-0.1336939784949318
exchange_112,full,153,112,13,IC2,-0.02239819757072281
exchange_112,full,153,112,13,IC3,-0.42595402208938216
exchange_112,full,153,112,14,IC1,-0.11662178251310773
exchange_112,full,153,112,14,IC2,0.003235212328348336
exchange_112,full,153,112,14,IC3,-0.4313633679225156
exchange_112,full,153,112,15,IC1,-0.09547315408231238
exchange_112,full,153,112,15,IC2,0.032945054676390306
exchange_112,full,153,112,15,IC3,-0.43269628130667814
exchange_112,full,153,112,16,IC1,-0.07362699520072602
exchange_112,full,153,112,16,IC2,0.06335242747522374
exchange_112,full,153,112,16,IC3,-0.4333316642400493
exchange_112,full,153,112,17,IC1,-0.05132632906014223
exchange_112,full,153,112,17,IC2,0.09421430753305415
exchange_112,full,153,112,17,IC3,-0.4335125399144233
exchange_112,full,153,112,18,IC1,-0.029405701187453115
exchange_112,full,153,112,18,IC2,0.12469614932299011
exchange_112,full,153,112,18,IC3,-0.4340734538566918
exchange_112,full,153,112,19,IC1,-0.008710500781127006
exchange_112,full,153,112,19,IC2,0.1539525636465633
exchange_112,full,153,112,19,IC3,-0.4358597952653236
exchange_112,full,153,112,20,IC1,0.011258052510216165
exchange_112,full,153,112,20,IC2,0.18248233085515309
exchange_112,full,153,112,20,IC3,-0.4383727837889382
