panel,sample,n_months,n_series,r,criterion,value
exchange_expectations_115,pre_covid,84,115,10,IC2,0.08814284105750314
exchange_expectations_115,pre_covid,84,115,10,IC3,-0.2961041683161141
exchange_expectations_115,pre_covid,84,115,11,IC1,-0.005104299872633722
exchange_expectations_115,pre_covid,84,115,11,IC2,0.11887510476618646
exchange_expectations_115,pre_covid,84,115,11,IC3,-0.3037966055447924
exchange_expectations_115,pre_covid,84,115,12,IC1,0.01588530490601492
exchange_expectations_115,pre_covid,84,115,12,IC2,0.15113556451200083
exchange_expectations_115,pre_covid,84,115,12,IC3,-0.30996084673633983
exchange_expectations_115,pre_covid,84,115,13,IC1,0.0383078145974296
exchange_expectations_115,pre_covid,84,115,13,IC2,0.1848289291705809
exchange_expectations_115,pre_covid,84,115,13,IC3,-0.3146921830151215
exchange_expectations_115,pre_covid,84,115,14,IC1,0.06349259644044425
exchange_expectations_115,pre_covid,84,115,14,IC2,0.22128456598076096
exchange_expectations_115,pre_covid,84,115,14,IC3,-0.31666124714230315
exchange_expectations_115,pre_covid,84,115,15,IC1,0.08647092002518275
exchange_expectations_115,pre_covid,84,115,15,IC2,0.25553374453266486
exchange_expectations_115,pre_covid,84,115,15,IC3,-0.32083676952776097
exchange_expectations_115,pre_covid,84,115,16,IC1,0.11303413604310109
exchange_expectations_115,pre_covid,84,115,16,IC2,0.2933678155177486
exchange_expectations_115,pre_covid,84,115,16,IC3,-0.32142739948003884
exchange_expectations_115,pre_covid,84,115,17,IC1,0.13851499404839407
exchange_expectations_115,pre_covid,84,115,17,IC2,0.3301195284902074
exchange_expectations_115,pre_covid,84,115,17,IC3,-0.32310038744494185
exchange_expectations_115,pre_covid,84,115,18,IC1,0.16116144740585003
exchange_expectations_115,pre_covid,84,115,18,IC2,0.3640368368148288
exchange_expectations_115,pre_covid,84,115,18,IC3,-0.3276077800576822
exchange_expectations_115,pre_covid,84,115,19,IC1,0.18477775794799078
exchange_expectations_115,pre_covid,84,115,19,IC2,0.39892400232413494
exchange_expectations_115,pre_covid,84,115,19,IC3,-0.331145315485738
exchange_expectations_115,pre_covid,84,115,20,IC1,0.2073826950305293
exchange_expectations_115,pre_covid,84,115,20,IC2,0.43279979437383886
exchange_expectations_115,pre_covid,84,115,20,IC3,-0.3356942243733956
