variable,reproduced_h0,canonical_h0,difference,pass
yield_6m,0.005,0.005,0,TRUE
yield_2y,0.0072818768605230405,0.0072818768605230405,0,TRUE
yield_5y,0.007483092668287027,0.007483092668287027,0,TRUE
asset_ibov,-0.9679848905934691,-0.9679848905934691,0,TRUE
cambio_usd,0.15385505120831833,0.15385505120831833,0,TRUE
