ref.date,expect_focus_fiscal_dlsp_ny,expect_focus_fiscal_primary_balance_ny,expect_focus_fiscal_nominal_balance_ny,expect_focus_fiscal_dlsp_ny_reference,expect_focus_fiscal_primary_balance_ny_reference,expect_focus_fiscal_nominal_balance_ny_reference,expect_focus_fiscal_dlsp_ny_difference,expect_focus_fiscal_primary_balance_ny_difference,expect_focus_fiscal_nominal_balance_ny_difference
2015-05-01,38.5,1.7,-4.55,38.5,1.7,-4.55,0,0,0
2015-06-01,38.05,1.5,-4.8,38.05,1.5,-4.8,0,0,0
2015-07-01,38.5,1.2,-5.2,38.5,1.2,-5.2,0,0,0
2015-08-01,38.85,0.5,-6,38.85,0.5,-6,0,0,0
2015-09-01,39.35,-0.2,-7,39.35,-0.2,-7,0,0,0
2015-10-01,39.3,-0.4,-7.2,39.3,-0.4,-7.2,0,0,0
2015-11-01,39.9,-0.7,-7.6,39.9,-0.7,-7.6,0,0,0
2015-12-01,40,-0.95,-8.3,40,-0.95,-8.3,0,0,0
2016-01-01,43,0,-6.18,43,0,-6.18,0,0,0
2016-02-01,44.9,-0.5,-7.3,44.9,-0.5,-7.3,0,0,0
2016-03-01,46.2,-1.05,-7.5,46.2,-1.05,-7.5,0,0,0
2016-04-01,46.15,-1.1,-8.5,46.15,-1.1,-8.5,0,0,0
2016-05-01,47,-1.02,-8.1,47,-1.02,-8.1,0,0,0
2016-06-01,48,-1.5,-8.5,48,-1.5,-8.5,0,0,0
2016-07-01,49,-2,-8.5,49,-2,-8.5,0,0,0
2016-08-01,49.05,-2.1,-8.67,49.05,-2.1,-8.67,0,0,0
2016-09-01,49.5,-2.2,-8.97,49.5,-2.2,-8.97,0,0,0
2016-10-01,50,-2.2,-8.89,50,-2.2,-8.89,0,0,0
2016-11-01,50.55,-2.2,-9,50.55,-2.2,-9,0,0,0
2016-12-01,50.74,-2.2,-9.05,50.74,-2.2,-9.05,0,0,0
2017-01-01,55,-1.68,-8,55,-1.68,-8,0,0,0
2017-02-01,55,-1.64,-7.85,55,-1.64,-7.85,0,0,0
2017-03-01,55,-1.7,-7.85,55,-1.7,-7.85,0,0,0
2017-04-01,55,-1.8,-7.5,55,-1.8,-7.5,0,0,0
2017-05-01,55.1,-1.8,-7.8,55.1,-1.8,-7.8,0,0,0
2017-06-01,55.17,-1.8,-7.54,55.17,-1.8,-7.54,0,0,0
2017-07-01,55.1,-1.84,-7.65,55.1,-1.84,-7.65,0,0,0
2017-08-01,55.65,-2.17,-7.5,55.65,-2.17,-7.5,0,0,0
2017-09-01,55.7,-2.21,-7.7,55.7,-2.21,-7.7,0,0,0
2017-10-01,55.81,-2.2,-7.55,55.81,-2.2,-7.55,0,0,0
2017-11-01,55.55,-2.2,-7.58,55.55,-2.2,-7.58,0,0,0
2017-12-01,55.7,-2.2,-7.4,55.7,-2.2,-7.4,0,0,0
2018-01-01,57.6,-1.5,-7,57.6,-1.5,-7,0,0,0
2018-02-01,57.8,-1.42,-6.75,57.8,-1.42,-6.75,0,0,0
2018-03-01,57.4,-1.3,-6.7,57.4,-1.3,-6.7,0,0,0
2018-04-01,57,-1.3,-6.6,57,-1.3,-6.6,0,0,0
2018-05-01,57,-1.35,-6.7,57,-1.35,-6.7,0,0,0
2018-06-01,58,-1.5,-6.8,58,-1.5,-6.8,0,0,0
2018-07-01,58,-1.5,-6.9,58,-1.5,-6.9,0,0,0
2018-08-01,57.6,-1.55,-6.85,57.6,-1.55,-6.85,0,0,0
2018-09-01,57.95,-1.5,-6.8,57.95,-1.5,-6.8,0,0,0
2018-10-01,56.85,-1.5,-6.8,56.85,-1.5,-6.8,0,0,0
2018-11-01,57.03,-1.5,-6.5,57.03,-1.5,-6.5,0,0,0
2018-12-01,56.4,-1.4,-6.5,56.4,-1.4,-6.5,0,0,0
2019-01-01,57.88,-0.68,-5.95,57.88,-0.68,-5.95,0,0,0
2019-02-01,58.35,-0.7,-5.98,58.35,-0.7,-5.98,0,0,0
2019-03-01,58.2,-0.76,-6.05,58.2,-0.76,-6.05,0,0,0
2019-04-01,58.3,-0.8,-6.2,58.3,-0.8,-6.2,0,0,0
2019-05-01,58.55,-0.9,-6.1,58.55,-0.9,-6.1,0,0,0
2019-06-01,58.55,-1,-6,58.55,-1,-6,0,0,0
2019-07-01,58.7,-1,-6.05,58.7,-1,-6.05,0,0,0
2019-08-01,58.5,-1,-5.99,58.5,-1,-5.99,0,0,0
2019-09-01,58.15,-1.13,-5.95,58.15,-1.13,-5.95,0,0,0
2019-10-01,58.15,-1,-5.8,58.15,-1,-5.8,0,0,0
2019-11-01,58.3,-1.1,-5.89,58.3,-1.1,-5.89,0,0,0
2019-12-01,58,-1.1,-5.6,58,-1.1,-5.6,0,0,0
2020-01-01,58,-0.5,-5.05,58,-0.5,-5.05,0,0,0
