panel,variable,h,point,lo68,hi68,lo90,hi90,excludes_zero_68,excludes_zero_90
exchange_expectations_115,cambio_eur,0,0.12357134114787707,0.08537515657153112,0.15593156382168993,0.06221731953103545,0.18702150497767323,TRUE,TRUE
exchange_expectations_115,cambio_eur,6,-0.005066572648203186,-0.056970357179930334,0.08608595677088207,-0.09951722632861634,0.12940641636516156,FALSE,FALSE
exchange_expectations_115,cambio_eur,12,-0.08589885538520592,-0.14197038206339052,0.01017565885862693,-0.1971128890723397,0.05568209747629183,FALSE,FALSE
exchange_expectations_115,cambio_eur,24,-0.07974254932257903,-0.1484600711850277,-0.01656973228257718,-0.21533267743508255,0.03028020354284862,TRUE,FALSE
exchange_expectations_115,cambio_eur,36,-0.008462195863605452,-0.0774915919298857,0.0342654103586253,-0.12956003089080118,0.0648568211439821,FALSE,FALSE
exchange_expectations_115,cambio_eur,48,0.03383486773297126,-0.032473614163595836,0.06826964355606142,-0.07276608035842227,0.11974345231004223,FALSE,FALSE
exchange_expectations_115,cambio_cny,0,0.02009028135663436,0.01519909930969374,0.02414773706089717,0.01250813892566329,0.028242735241969907,TRUE,TRUE
exchange_expectations_115,cambio_cny,6,0.00597127312619647,-0.0012463446324823676,0.018644682653772067,-0.007320494596142417,0.024421241009778626,FALSE,FALSE
exchange_expectations_115,cambio_cny,12,-0.00680491608605503,-0.013037932662773892,0.008500853022302475,-0.02008238183871416,0.01541930038249444,FALSE,FALSE
exchange_expectations_115,cambio_cny,24,-0.012622814968377777,-0.0199282025417927,-9.221450501109647e-4,-0.028692281857243235,0.005557334059941184,TRUE,FALSE
exchange_expectations_115,cambio_cny,36,-0.005570920624924008,-0.013581455356311641,0.002270434501101336,-0.02123047436962286,0.008157697001961643,FALSE,FALSE
exchange_expectations_115,cambio_cny,48,0.001337524582088847,-0.006570342018764335,0.007678680447165668,-0.012771329030728033,0.014949995338649942,FALSE,FALSE
exchange_expectations_115,cambio_ars,0,0.0064280380893885014,0.003801895148227945,0.00841965645965251,0.0025447036129011068,0.009846120810240685,TRUE,TRUE
exchange_expectations_115,cambio_ars,6,0.005414444289751878,0.0021869850724794983,0.009090573398604501,1.0594677723565473e-4,0.011546258141538089,TRUE,TRUE
exchange_expectations_115,cambio_ars,12,0.0018564502842328716,-2.9190838444968504e-4,0.006928881333817435,-0.0021347555855230696,0.009924308069776922,FALSE,FALSE
exchange_expectations_115,cambio_ars,24,-0.003122113816619156,-0.004370360603186298,0.0015283745275600387,-0.0068128213368447476,0.004441723022803917,FALSE,FALSE
exchange_expectations_115,cambio_ars,36,-0.003485127980818009,-0.0048935095965484355,0.00046192069731826704,-0.008015494482409735,0.0022344970821303995,FALSE,FALSE
exchange_expectations_115,cambio_ars,48,-0.0016568284840971204,-0.0035051369431147537,0.0013425115694592807,-0.006240819591479577,0.0029441744442785054,FALSE,FALSE
exchange_expectations_115,cambio_inr,0,0.0016559188628938507,0.0012019512497901098,0.002058984812416933,9.630681254330729e-4,0.0023874053532907846,TRUE,TRUE
exchange_expectations_115,cambio_inr,6,3.389718165102829e-4,-2.4374991890825033e-4,0.0014284834136431422,-7.244795375616606e-4,0.0019431803588092135,FALSE,FALSE
exchange_expectations_115,cambio_inr,12,-6.989799574364143e-4,-0.0011855766652814313,5.421345646271937e-4,-0.0018002351557163344,0.0011264014885785673,FALSE,FALSE
exchange_expectations_115,cambio_inr,24,-9.890601934717618e-4,-0.001587047595529435,-5.994278853844881e-5,-0.0023839975461191097,4.347830114274329e-4,TRUE,FALSE
exchange_expectations_115,cambio_inr,36,-3.275234357359466e-4,-0.0010260108443083077,2.6856520322390517e-4,-0.001617893268343681,6.975471775017198e-4,FALSE,FALSE
exchange_expectations_115,cambio_inr,48,2.0869131960335599e-4,-4.68977215549035e-4,6.83917332534944e-4,-9.644571705150971e-4,0.0012270726830209192,FALSE,FALSE
exchange_expectations_115,cambio_usd,0,0.14154858684086796,0.10280338770339073,0.1725121634358401,0.0830549157239595,0.20101613024132947,TRUE,TRUE
exchange_expectations_115,cambio_usd,6,0.040623422023406845,-0.008948190938988016,0.1228504806397238,-0.05026248808617018,0.16487110650855072,FALSE,FALSE
exchange_expectations_115,cambio_usd,12,-0.04332537391756574,-0.0873686491771519,0.0536267008446861,-0.13541332832023822,0.09774613172087998,FALSE,FALSE
exchange_expectations_115,cambio_usd,24,-0.07991692481784057,-0.12930413014619163,-0.00467416964935348,-0.18163842099133456,0.03428433418829266,TRUE,FALSE
exchange_expectations_115,cambio_usd,36,-0.034098219086644614,-0.0879794518054043,0.016694784928141127,-0.13904710452724722,0.05288568105330654,FALSE,FALSE
exchange_expectations_115,cambio_usd,48,0.009990319352922154,-0.045395646548949675,0.0510756095454963,-0.08884562088803948,0.09479906453468373,FALSE,FALSE
exchange_expectations_115,juros_selic,0,0.24661499638112339,0.22032288787098686,0.31704956818883107,0.18989534468027783,0.34832879608821027,TRUE,TRUE
exchange_expectations_115,juros_selic,6,0.582112715178438,0.3857195136531203,0.7955936974804099,0.2859953128454778,0.9033713989448552,TRUE,TRUE
exchange_expectations_115,juros_selic,12,0.48715288133460427,0.30400913205075614,0.8924156108144943,0.1567561225794301,1.1138490359497142,TRUE,TRUE
exchange_expectations_115,juros_selic,24,-0.0678613386528537,-0.1831574317581851,0.47625288845554437,-0.34969834277034717,0.7181029347845624,FALSE,FALSE
exchange_expectations_115,juros_selic,36,-0.34878547039221885,-0.4667611330911383,0.06062884091146091,-0.6973416909671064,0.2773684606970737,FALSE,FALSE
exchange_expectations_115,juros_selic,48,-0.2937161873242592,-0.45158002473499015,0.03884718271777196,-0.6506322365164336,0.17351490682429258,FALSE,FALSE
exchange_expectations_115,yield_3m,0,0.003910324228150365,0.003759335612768987,0.004235491849374565,0.00359585351402599,0.004400569456103827,TRUE,TRUE
exchange_expectations_115,yield_3m,6,0.007475152962662193,0.0052996835748196506,0.009968211973172955,0.003839642273744953,0.011358750347122876,TRUE,TRUE
exchange_expectations_115,yield_3m,12,0.005555851395181144,0.0035341746572526787,0.01088624472595357,0.0016040504565361115,0.013566514317129174,TRUE,TRUE
exchange_expectations_115,yield_3m,24,-0.0016495329007304377,-0.0027608975706408297,0.005439838155074316,-0.004777158207705387,0.00866676866227217,FALSE,FALSE
exchange_expectations_115,yield_3m,36,-0.0046852865688466385,-0.005715564138991262,5.189302596082223e-4,-0.008800140132019567,0.0036430008174527435,FALSE,FALSE
exchange_expectations_115,yield_3m,48,-0.0035746434877997175,-0.00524061078166141,6.007933282610044e-4,-0.0075215806755587955,0.0026722409172239827,FALSE,FALSE
exchange_expectations_115,yield_6m,0,0.005,0.005,0.005,0.005,0.005,TRUE,TRUE
exchange_expectations_115,yield_6m,6,0.008549382141822822,0.006018620909138222,0.01151278152251173,0.004412359053758113,0.013055151416541119,TRUE,TRUE
exchange_expectations_115,yield_6m,12,0.005818088919833766,0.003710042461565223,0.012178861732001361,0.0012945532698831288,0.015463898519498804,TRUE,TRUE
exchange_expectations_115,yield_6m,24,-0.002505077064517826,-0.003627416732595008,0.005763243877682606,-0.006003069370137065,0.00956078703038798,FALSE,FALSE
exchange_expectations_115,yield_6m,36,-0.005535441778528177,-0.006714454536321119,4.058259196490944e-4,-0.010043430589444721,0.004177904374651153,FALSE,FALSE
exchange_expectations_115,yield_6m,48,-0.003944458889290592,-0.0056753246366164955,8.20682629334926e-4,-0.008476390524324745,0.0034699062567185445,FALSE,FALSE
exchange_expectations_115,yield_1y,0,0.006223244274082469,0.005785938431499739,0.006495444242577855,0.005562143492103696,0.006766061094513114,TRUE,TRUE
exchange_expectations_115,yield_1y,6,0.009381518385613656,0.006504389748905724,0.01280859529574009,0.004810576598204137,0.0148720024755565,TRUE,TRUE
exchange_expectations_115,yield_1y,12,0.005674621159466802,0.0034479525660473624,0.01284051355303851,9.871626199694208e-4,0.017246020613602888,TRUE,TRUE
exchange_expectations_115,yield_1y,24,-0.003571562218813577,-0.004657564743232408,0.005617556021529469,-0.007568964039256885,0.010089077475188729,FALSE,FALSE
exchange_expectations_115,yield_1y,36,-0.006297978600037645,-0.007770462965262853,3.461188420803405e-4,-0.01127207646517704,0.004833691329105633,FALSE,FALSE
exchange_expectations_115,yield_1y,48,-0.0041227570607671295,-0.006087234440109408,0.0011535441026019324,-0.009324777682908491,0.004286744500857812,FALSE,FALSE
exchange_expectations_115,yield_2y,0,0.007090980899464215,0.0061761856580496086,0.007783540736712363,0.005711971901527892,0.008375434171934877,TRUE,TRUE
exchange_expectations_115,yield_2y,6,0.009209598799186133,0.00626544369058446,0.012901049043132669,0.0043706170341434696,0.01541472411821403,TRUE,TRUE
exchange_expectations_115,yield_2y,12,0.0048474184110298005,0.0028221261667203444,0.012158069935310406,4.6365417294286313e-4,0.016924172288944966,TRUE,TRUE
exchange_expectations_115,yield_2y,24,-0.004256813844386292,-0.005153713066818315,0.004988373459726008,-0.008475812995233254,0.00940177640708881,FALSE,FALSE
exchange_expectations_115,yield_2y,36,-0.006295755426390188,-0.007783496005387249,2.2363585894476972e-4,-0.011487752147817866,0.004604745204066607,FALSE,FALSE
exchange_expectations_115,yield_2y,48,-0.003763521208770781,-0.0059872819832920655,0.0015336713783763133,-0.009225774765788008,0.004276762724904158,FALSE,FALSE
exchange_expectations_115,yield_5y,0,0.007064723420190035,0.005735212655336505,0.008202295499071251,0.005152060852451693,0.009126122896164084,TRUE,TRUE
exchange_expectations_115,yield_5y,6,0.00752976433545014,0.0048714503192996824,0.010836975898671327,0.003125239076900695,0.012847972226922797,TRUE,TRUE
