panel,sample,r,q,p,n_months,n_series,n_obs_aligned,xi_mp,f_robust_mp,max_companion_root,stable,baseline_xi_mp,baseline_f_robust_mp,baseline_max_companion_root,xi_mp_change,xi_mp_pct_change,f_robust_mp_change,f_robust_mp_pct_change,max_companion_root_change,max_companion_root_pct_change,target_xi_mp,target_f_robust_mp,xi_mp_difference,f_robust_mp_difference,pass
baseline_111,full,5,5,4,153,111,149,5.240158304905198,10.060921519348764,0.9681262003935757,TRUE,5.240158304905198,10.060921519348764,0.9681262003935757,0,0,0,0,0,0,5.240158,10.060922,3.0490519797865545e-7,-4.806512361454907e-7,TRUE
baseline_111,pre_covid,5,5,4,84,111,80,7.478324275893151,11.874945340584947,0.9924826507498166,TRUE,7.478324275893151,11.874945340584947,0.9924826507498166,0,0,0,0,0,0,7.478324,11.874945,2.7589315099163514e-7,3.4058494691180385e-7,TRUE
