variable,h,point,lo68,hi68,lo90,hi90,sig90
expect_focus_fiscal_dlsp_ny,0,-0.20351420610874368,-0.4102608547210315,-0.03323512864690493,-0.5269878332793263,0.08861120349263701,FALSE
expect_focus_fiscal_dlsp_ny,6,-0.6904088764713043,-1.059077688006557,-0.21369883954150204,-1.2766074199596409,0.027986407797021107,FALSE
expect_focus_fiscal_dlsp_ny,12,-0.6187113437484315,-1.1478257160030045,-0.29952518200549383,-1.425044519317162,-0.06051947480909455,TRUE
expect_focus_fiscal_dlsp_ny,24,-0.011315632526790059,-0.5741115655424588,0.1591097403210961,-0.8958969743443692,0.40136292172868493,FALSE
expect_focus_fiscal_dlsp_ny,36,0.36458361069806905,-0.16643393796357975,0.5277450234524264,-0.4050612494014292,0.8202053866318402,FALSE
expect_focus_fiscal_dlsp_ny,48,0.3644282667357263,-0.06726911810419779,0.4904230960206316,-0.25173775859701375,0.7034508722974987,FALSE
expect_focus_fiscal_primary_balance_ny,0,-0.057845346193758536,-0.10451473913243774,0.00782338630017397,-0.1465804438866408,0.051917518760182156,FALSE
expect_focus_fiscal_primary_balance_ny,6,0.015828390184308528,-0.12077668350924245,0.07311440998874415,-0.19793531300190953,0.14084578101661518,FALSE
expect_focus_fiscal_primary_balance_ny,12,0.05991460115161478,-0.06845387537762933,0.11411738752770684,-0.14211377115522994,0.1817968305650607,FALSE
expect_focus_fiscal_primary_balance_ny,24,0.05980620436605953,-0.03543393272325627,0.1056870402151922,-0.09819352951961902,0.1695820484826087,FALSE
expect_focus_fiscal_primary_balance_ny,36,0.016357695906279716,-0.05749847867425572,0.0726422803723787,-0.10482497019420314,0.12460062278114584,FALSE
expect_focus_fiscal_primary_balance_ny,48,-0.016032405954073292,-0.06984891277495915,0.051699349687148684,-0.11970647762131296,0.09822783806334548,FALSE
expect_focus_fiscal_nominal_balance_ny,0,-0.1735458319100249,-0.25196787425896383,-0.08479803414829998,-0.30728382842749813,-0.03014751480207648,TRUE
expect_focus_fiscal_nominal_balance_ny,6,-0.19605577343309674,-0.38937622243657416,-0.11036239562896437,-0.47886547627757553,-0.014145321812452127,TRUE
expect_focus_fiscal_nominal_balance_ny,12,-0.08687142991719143,-0.3422145687622134,-0.03882233924502546,-0.4914072245089553,0.036833279884995136,FALSE
expect_focus_fiscal_nominal_balance_ny,24,0.114171818601624,-0.13625123815677798,0.1447102851871026,-0.29329512491707393,0.24351289332560613,FALSE
expect_focus_fiscal_nominal_balance_ny,36,0.15232569865640433,-0.02597803168939644,0.2131559401057202,-0.15620846794692797,0.3395316557696723,FALSE
expect_focus_fiscal_nominal_balance_ny,48,0.08850482513137331,-0.05204212463050242,0.17447521826993767,-0.1601283940584478,0.2883108739838919,FALSE
