panel,sample,r,q,p,n_months,n_series,n_obs_aligned,xi_mp,f_robust_mp,max_companion_root,stable
baseline_111,full,5,5,4,153,111,149,5.240158304905198,10.060921519348764,0.9681262003935757,TRUE
baseline_111,pre_covid,5,5,4,84,111,80,7.478324275893151,11.874945340584947,0.9924826507498166,TRUE
fiscal_114,full,5,5,4,153,114,149,5.805646123317375,11.761132087578126,0.9690270785064045,TRUE
fiscal_114,pre_covid,5,5,4,84,114,80,8.124920018004207,13.679067824210199,0.991811958412687,TRUE
