var,h,winner,runnerup
asset_ibov,0,-10.599301981320208,-10.771730036105327
asset_ibov,1,-12.27912428956841,-18.24671734943683
asset_ibov,2,-10.345876391991657,-11.388302904040726
asset_ibov,3,-9.760830825965664,-9.649993916862881
asset_ibov,4,-8.71071357634285,-7.2847510656568195
asset_ibov,5,-8.850100320818838,-0.19107432305559974
asset_ibov,6,-9.016866633775267,1.8454494737496125
asset_ibov,7,-8.706298253394731,5.2227046229480285
asset_ibov,8,-6.761333569356501,9.287848470324182
asset_ibov,9,-5.827949468708049,13.25501861624895
asset_ibov,10,-5.692502632830315,16.526307330325995
asset_ibov,11,-4.8999557160356995,19.644375047399368
asset_ibov,12,-4.332275528980452,22.744112210770794
asset_ibov,13,-3.6362393413915255,24.810566128843366
asset_ibov,14,-2.8473592949428213,27.008765124145366
asset_ibov,15,-2.444466490969774,28.616513652048532
asset_ibov,16,-2.2618056633163497,29.439457769861864
asset_ibov,17,-2.027493778151054,30.31812134064381
asset_ibov,18,-1.7286019209501342,30.783520802832097
asset_ibov,19,-1.4377359244958825,31.03518243919188
asset_ibov,20,-1.120582946456789,31.135849578245374
asset_ibov,21,-0.8706267058492277,30.965761510594408
asset_ibov,22,-0.637301141979189,30.63424885401832
asset_ibov,23,-0.31714608222999346,30.204509531734814
asset_ibov,24,0.0037405487336154408,29.677134741935205
asset_ibov,25,0.3435157292326132,29.075012420475677
asset_ibov,26,0.7226045203860623,28.404270413409076
asset_ibov,27,1.0988425628990017,27.629347106789748
asset_ibov,28,1.5159436714262395,26.774656334216377
asset_ibov,29,1.9809406066887907,25.87866458946667
asset_ibov,30,2.460897863444257,24.89471276113407
asset_ibov,31,2.9624875120086416,23.84866052325045
asset_ibov,32,3.480174200433918,22.751104685959035
asset_ibov,33,3.998220905093808,21.571490981859082
asset_ibov,34,4.52163844790958,20.324621600856787
asset_ibov,35,5.042835713010539,19.007138260462344
asset_ibov,36,5.544600201923409,17.599422712300246
asset_ibov,37,6.026993868657225,16.106012434597623
asset_ibov,38,6.486347098703503,14.524846888254498
asset_ibov,39,6.914270037668071,12.852242776753563
asset_ibov,40,7.311678370389352,11.095409994843761
asset_ibov,41,7.674509420390156,9.258832635727385
asset_ibov,42,7.996981581272896,7.344454278854692
asset_ibov,43,8.279462615619755,5.362061587543118
asset_ibov,44,8.520103787139615,3.3201016849850897
asset_ibov,45,8.717229459288681,1.2257729323035225
asset_ibov,46,8.871999324223712,-0.909025507826227
asset_ibov,47,8.984349855598115,-3.0738985517801813
asset_ibov,48,9.055131772143781,-5.258548955088025
asset_idiv,0,-10.879021256871985,-10.577939848946743
asset_idiv,1,-13.438187366705673,-18.500899035634255
asset_idiv,2,-12.258398031803642,-12.4157402207101
asset_idiv,3,-12.367950913268041,-12.07353853263806
asset_idiv,4,-11.710611377370354,-10.731619825888
asset_idiv,5,-12.330220776847328,-4.423962129336537
asset_idiv,6,-13.039885992282436,-2.914888947039341
asset_idiv,7,-13.2003518177388,0.41873537644227676
asset_idiv,8,-11.88522712371064,4.587778298028232
asset_idiv,9,-11.531882959687763,8.818926293696908
asset_idiv,10,-11.913565216259217,12.635672412102428
asset_idiv,11,-11.68858510392336,16.235431604832463
asset_idiv,12,-11.716686990237523,19.97530136108152
asset_idiv,13,-11.50174876712625,22.85926121729154
asset_idiv,14,-11.116352787044216,25.983263123227367
asset_idiv,15,-11.055085286769472,28.693419810835792
asset_idiv,16,-11.11382093033142,30.822608238173988
asset_idiv,17,-11.102659483455568,33.155396758167804
asset_idiv,18,-10.994123470336223,35.15845900272712
asset_idiv,19,-10.85365531989482,37.07723960560955
asset_idiv,20,-10.674356846625614,38.91161038078758
asset_idiv,21,-10.531303416906349,40.5039843808069
asset_idiv,22,-10.37769030629205,41.97089572929349
asset_idiv,23,-10.115825220394395,43.33340486635775
asset_idiv,24,-9.824446588898034,44.59993319173692
asset_idiv,25,-9.482989309646108,45.782819541848596
asset_idiv,26,-9.080784390378808,46.878452654041
asset_idiv,27,-8.6652112469912,47.85411593302161
asset_idiv,28,-8.19526722661868,48.72007490399162
asset_idiv,29,-7.671976244886934,49.50434514806104
asset_idiv,30,-7.1277697787447805,50.152258433902844
asset_idiv,31,-6.557736404217423,50.68164067952634
asset_idiv,32,-5.969774802397264,51.093699215450386
asset_idiv,33,-5.3769305896362045,51.35436190664904
asset_idiv,34,-4.775053007081242,51.47791564705509
asset_idiv,35,-4.171651729046701,51.45898926436485
asset_idiv,36,-3.5827691978524223,51.28100711708375
asset_idiv,37,-3.0096778352019142,50.949128799316554
asset_idiv,38,-2.4573579827518515,50.46151788450658
asset_idiv,39,-1.9346721691057773,49.81624573210373
asset_idiv,40,-1.4415791313557051,49.01987271564433
asset_idiv,41,-0.9828501735010085,48.07697179575011
asset_idiv,42,-0.5641138948104081,46.990363305053144
asset_idiv,43,-0.1851334720141443,45.77026910687694
asset_idiv,44,0.15223996631850334,44.426195851330675
asset_idiv,45,0.44665107391727543,42.96714117135295
asset_idiv,46,0.6990786104416974,41.406853454652854
asset_idiv,47,0.9092869898777051,39.757571112473705
asset_idiv,48,1.0779171104591119,38.03165907580957
asset_ifix,0,-3.774714564293983,-5.166962767656227
asset_ifix,1,-5.261042689559827,-10.630135223760645
asset_ifix,2,-5.479408453900901,-13.41722467832714
asset_ifix,3,-5.4260087153008545,-16.511846789723453
asset_ifix,4,-5.650395798881096,-18.876341214437396
asset_ifix,5,-5.991955887493942,-19.349133983345144
asset_ifix,6,-6.2709467326213835,-21.637153499408473
asset_ifix,7,-6.500499153993114,-23.640893277437364
asset_ifix,8,-5.803157184508631,-24.90400700356267
asset_ifix,9,-5.384246014352606,-26.188741237566703
asset_ifix,10,-5.167324888840397,-27.814503454615185
asset_ifix,11,-4.67984774192377,-29.159296698391955
asset_ifix,12,-4.176652587430374,-30.518206301470112
asset_ifix,13,-3.546749689337948,-32.11192613024502
asset_ifix,14,-2.76645527389278,-33.475578098005336
asset_ifix,15,-2.094948312541202,-34.99063450203385
asset_ifix,16,-1.5606350834976612,-36.758902387132906
asset_ifix,17,-0.9883199940637312,-38.574950416303906
