coluna,cor_z,impacto_mp,fevd_mp,fevd_curva,agree_sig90,agree_sig68_only,agree_h0_12,agree_global,razao_mediana_sig90
1,0.148053472457699,0.001895029539716982,0.4662187789582394,0.29578933672723484,0.6,0.9130913091309131,0.6400580551523948,0.8161340007701193,0.20236660649333127
2,0.20009983229103492,0.001613703900284983,0.25233816549452515,0.40383242026692173,0.9714285714285714,0.4235423542354235,0.5587808417997098,0.4838274932614555,1.106748333704175
3,0.1540220898352531,6.225875187217397e-4,0.06954587169524827,0.12556468300903575,1,0.9878987898789879,0.7728592162554426,0.9070080862533693,2.1721786652296267
4,0.01465730690070946,2.008363213946729e-4,0.049180835252221666,0.03392151580672619,0.5357142857142857,0.8162816281628162,0.5732946298984035,0.6836734693877551,0.11566313508880649
5,0.09622005961369001,4.927336755645495e-4,0.0943031595956245,0.05833036876419513,0.45714285714285713,0.15401540154015403,0.4637155297532656,0.2603003465537158,-0.1962153906989032
6,0.09466013541775865,1.932926561917718e-4,0.06841318900414103,0.082561675425886355,0.5714285714285714,0.8591859185918592,0.6269956458635704,0.6684636118598383,0.3313647710384522
