regra,coluna,folga,col1,col2,col3,col4,col5
"R0 |cor(eps,z)| (usa z)",1,0.043906011025670294,0.2699244370724462,0.043693564958533306,0.059740231200158596,0.22601842604677588,0.05195814345573771
R1 impacto em yield_6m,1,8.279851741499869e-4,0.0017708175139987267,6.872709201344537e-5,2.759873799407901e-4,9.428323398487398e-4,5.094472008780608e-4
R2 FEVD yield_6m h0-12,1,0.6077993477447431,0.7554605061975828,0.023269581327277154,0.1476611584528397,0.047787775537408456,0.025820978484891868
R3 FEVD bloco da curva h0-12,1,0.5323665208363145,0.6363559910772228,0.09692146012485588,0.10398947024090832,0.10342864263947646,0.059304435917536445
