sample,instrument,exercise,key,n_used,wald_mp
full,z_jk_bs_purif,loo,2020-11,146,6.27621029248621
full,z_jk_bs_purif,loo,2020-12,146,5.693776523469887
full,z_jk_bs_purif,loo,2021-01,146,6.273640619056122
full,z_jk_bs_purif,loo,2021-02,146,6.285008875928517
full,z_jk_bs_purif,loo,2021-03,146,5.078388801013687
full,z_jk_bs_purif,loo,2021-04,146,5.499750908933347
full,z_jk_bs_purif,loo,2021-05,146,6.269672769267618
full,z_jk_bs_purif,loo,2021-06,146,6.644498228565292
full,z_jk_bs_purif,loo,2021-07,146,6.850570158366472
full,z_jk_bs_purif,loo,2021-08,146,6.2630795659158265
full,z_jk_bs_purif,loo,2021-09,146,6.836512326465583
full,z_jk_bs_purif,loo,2021-10,146,5.498882429684801
full,z_jk_bs_purif,loo,2021-11,146,6.194878526359755
full,z_jk_bs_purif,loo,2021-12,146,6.350042692917425
full,z_jk_bs_purif,loo,2022-01,146,6.27465295603923
full,z_jk_bs_purif,loo,2022-02,146,6.229820796418646
full,z_jk_bs_purif,loo,2022-03,146,6.507505334335984
full,z_jk_bs_purif,loo,2022-04,146,6.255635758502643
full,z_jk_bs_purif,loo,2022-05,146,6.045367343711974
full,z_jk_bs_purif,loo,2022-06,146,6.3250564289878115
full,z_jk_bs_purif,loo,2022-07,146,6.240961633623622
full,z_jk_bs_purif,loo,2022-08,146,6.247757347047848
full,z_jk_bs_purif,loo,2022-09,146,5.737378984551435
full,z_jk_bs_purif,loo,2022-10,146,6.202712686719664
full,z_jk_bs_purif,loo,2022-11,146,6.284791415947016
full,z_jk_bs_purif,loo,2022-12,146,6.32249282522194
full,z_jk_bs_purif,loo,2023-01,146,6.2829165272109995
full,z_jk_bs_purif,loo,2023-02,146,6.232875739519238
full,z_jk_bs_purif,loo,2023-03,146,6.522683119109028
full,z_jk_bs_purif,loo,2023-04,146,6.246438605246012
full,z_jk_bs_purif,loo,2023-05,146,6.0503761939637295
full,z_jk_bs_purif,loo,2023-06,146,6.716302097917917
full,z_jk_bs_purif,loo,2023-07,146,6.292173536244982
full,z_jk_bs_purif,loo,2023-08,146,6.308932621401077
full,z_jk_bs_purif,loo,2023-09,146,6.263699436213451
full,z_jk_bs_purif,loo,2023-10,146,6.29178469931423
full,z_jk_bs_purif,loo,2023-11,146,6.352672328192662
full,z_jk_bs_purif,loo,2023-12,146,6.252925237084788
full,z_jk_bs_purif,loo,2024-01,146,6.277697770440592
full,z_jk_bs_purif,loo,2024-02,146,6.266613114102517
full,z_jk_bs_purif,loo,2024-03,146,6.264576148468262
full,z_jk_bs_purif,loo,2024-04,146,6.389151904375591
full,z_jk_bs_purif,loo,2024-05,146,6.2560748801285095
full,z_jk_bs_purif,loo,2024-06,146,6.4994844318319736
full,z_jk_bs_purif,loo,2024-07,146,6.369567157976082
full,z_jk_bs_purif,loo,2024-08,146,6.2561136346871
full,z_jk_bs_purif,loo,2024-09,146,5.793608919195781
full,z_jk_bs_purif,loo,2024-10,146,6.238421208447999
full,z_jk_bs_purif,loo,2024-11,146,6.048613546077213
full,z_jk_bs_purif,loo,2024-12,146,4.887913468761272
full,z_jk_bs_purif,loo,2025-01,146,6.010413539614862
full,z_jk_bs_purif,loo,2025-02,146,6.2706387310504175
full,z_jk_bs_purif,loo,2025-03,146,6.54434706764934
full,z_jk_bs_purif,loo,2025-04,146,6.315239191812166
full,z_jk_bs_purif,loo,2025-05,146,6.18703887826293
full,z_jk_bs_purif,loo,2025-06,146,6.292187097168628
full,z_jk_bs_purif,loo,2025-07,146,6.393157720762361
full,z_jk_bs_purif,loo,2025-08,146,6.300343865660692
full,z_jk_bs_purif,loo,2025-09,146,6.271411174805583
full,z_jk_bs_purif,hac,0,147,6.270849621527436
full,z_jk_bs_purif,hac,1,147,6.288232657645883
full,z_jk_bs_purif,hac,2,147,6.53771131865775
full,z_jk_bs_purif,hac,3,147,6.955978815533408
full,z_jk_bs_purif,hac,4,147,7.449575633531752
full,z_jk_bs_purif,hac,5,147,7.916323993825162
full,z_jk_bs_purif,hac,6,147,8.054185104342537
full,z_jk_raw,baseline,NA,147,6.494306764560546
full,z_jk_raw,loo,2013-07,146,6.507875409769351
full,z_jk_raw,loo,2013-08,146,6.515235034580044
full,z_jk_raw,loo,2013-09,146,6.395565761539812
full,z_jk_raw,loo,2013-10,146,6.50635923491977
full,z_jk_raw,loo,2013-11,146,6.46562153886766
full,z_jk_raw,loo,2013-12,146,6.4581151048187415
full,z_jk_raw,loo,2014-01,146,6.281492606220776
full,z_jk_raw,loo,2014-02,146,6.066335420595807
full,z_jk_raw,loo,2014-03,146,6.495088432794878
full,z_jk_raw,loo,2014-04,146,6.2761542639292776
full,z_jk_raw,loo,2014-05,146,6.49051776126533
full,z_jk_raw,loo,2014-06,146,6.41545841681483
full,z_jk_raw,loo,2014-07,146,6.014616474352171
full,z_jk_raw,loo,2014-08,146,6.489437393383092
full,z_jk_raw,loo,2014-09,146,6.494024171331989
full,z_jk_raw,loo,2014-10,146,6.5138735473817215
full,z_jk_raw,loo,2014-11,146,6.5234942789515795
full,z_jk_raw,loo,2014-12,146,6.594058752635211
full,z_jk_raw,loo,2015-01,146,6.402858016323253
full,z_jk_raw,loo,2015-02,146,6.606123188287309
full,z_jk_raw,loo,2015-03,146,6.4446951625523825
full,z_jk_raw,loo,2015-04,146,6.311728352302239
full,z_jk_raw,loo,2015-05,146,6.458561717172725
full,z_jk_raw,loo,2015-06,146,6.501003113543114
full,z_jk_raw,loo,2015-07,146,6.495951642919221
full,z_jk_raw,loo,2015-08,146,6.555505654592063
full,z_jk_raw,loo,2015-09,146,6.813715677942323
full,z_jk_raw,loo,2015-10,146,6.376278783058699
full,z_jk_raw,loo,2015-11,146,6.379995560248865
full,z_jk_raw,loo,2015-12,146,6.337992523732312
full,z_jk_raw,loo,2016-01,146,5.157067710878141
full,z_jk_raw,loo,2016-02,146,6.531491413069548
full,z_jk_raw,loo,2016-03,146,6.44951098449743
full,z_jk_raw,loo,2016-04,146,6.464911361731633
full,z_jk_raw,loo,2016-05,146,6.186630192041413
full,z_jk_raw,loo,2016-06,146,6.7987182394729935
full,z_jk_raw,loo,2016-07,146,6.529629865376502
full,z_jk_raw,loo,2016-08,146,6.478871008631018
full,z_jk_raw,loo,2016-09,146,6.52057821463615
full,z_jk_raw,loo,2016-10,146,6.489760201906565
full,z_jk_raw,loo,2016-11,146,6.50704634655168
full,z_jk_raw,loo,2016-12,146,7.062464788120341
full,z_jk_raw,loo,2017-01,146,5.623483859354747
full,z_jk_raw,loo,2017-02,146,6.646133115576
