variable,b_2,v_2
DI_3m,5.8528279012754085,0.9124662972848875
DI_2y,-2.6150040216078287,-0.4076837858946138
IBOV,-0.141893259982143,-0.022121412030135738
BRL,-0.17089373755133833,-0.02664263815080993
