reuniao,quinta,delta_di,e_di_bs,r_ibov,e_ibov_bs,d_embi_bp,d_lbrl,d_slope_bp,e_brl_bs,e_embi_bs,jk_monetary_bs,jk3_class,jk3_embi,share_month,share_sample,nota_evento
2021-10-27,2021-10-28,40.99999999999993,36.9951538486364,-0.6206895210267405,-0.9581180795938053,1.000000000000023,1.966091662351377,89.00000000000006,1.9803195440330177,2.230521911935716,TRUE,soberano,soberano,1,0.06577951556720524,NA
2013-04-17,2013-04-18,-34.99999999999989,-35.48742454773016,0.5355141571103061,0.34809046678638517,4.0000000000000036,-0.7741092394402793,-2.999999999999936,-0.9933515005300605,3.6517216020427754,TRUE,soberano,politica,1,0.06309868598001461,NA
2021-03-17,2021-03-18,38.500000000000064,34.93629103167819,-1.4815500701066853,-1.4524632489261144,-4.999999999999982,-0.7192351367222516,-9.999999999999964,-0.6356984534225907,-5.008699612130168,TRUE,politica,politica,1,0.062118738826744825,NA
2017-01-11,2017-01-12,-28.499999999999915,-28.010796177211613,2.38566335298529,2.388143891670726,-6.000000000000005,0.05633286349233657,-12.99999999999999,-0.002358806677751251,-6.547836507566593,TRUE,soberano,soberano,1,0.04980480986043036,NA
2024-12-11,2024-12-12,28.499999999999915,25.164266158297952,-2.778431136392001,-2.7569741693872762,-3.000000000000025,-1.543619042206612,22.300000000000097,-1.5343418751049038,-1.0960323862061663,TRUE,politica,politica,1,0.044743515441768286,NA
2016-01-20,2016-01-21,-27.999999999999968,-23.797310665484822,0.19009442371746843,0.08327731994350833,-8.000000000000007,1.0539508854604307,-5.000000000000004,0.9261228397908327,-8.608166706298425,TRUE,politica,soberano,1,0.04231298979813747,NA
2017-07-26,2017-07-27,-23.000000000000103,-22.340585950881366,0.40957029867030315,0.4743299057827566,-2.0000000000000018,0.48012054056187914,-2.999999999999947,0.37164263687236204,-2.242984982905511,TRUE,politica,soberano,1,0.0397228493047787,NA
2018-05-16,2018-05-17,22.999999999999964,20.692701438441542,-3.426567603641928,-3.595589363126264,4.999999999999982,0.5617757477239138,-2.499999999999991,0.7259861090598231,6.259817703791432,TRUE,soberano,soberano,1,0.03679281567436072,NA
2014-01-15,2014-01-16,22.000000000000075,18.8927707648865,-0.8198106768910307,-0.901753915332901,2.0000000000000018,0.16570933611735894,-3.999999999999826,-0.0728436076067492,2.0607990325298764,TRUE,politica,soberano,1,0.033592435207085866,NA
2015-10-21,2015-10-22,-15.999999999999904,-16.618654038694164,1.5744961224367415,1.7576228936463363,-10.999999999999943,-0.8776743352024718,1.4999999999998348,-0.8886787116619803,-10.929984599742092,TRUE,soberano,soberano,1,0.02954892461096155,NA
