teste,regressor,conjunto,n,coef,se_hc1,t,p_asym,p_boot,r2,k,f_rob,amostra,instrumento,meses_nao_nulos,xi_mp,wald_conjunta,f_factor,impacto_mp_pre,ar_limitada,bandas_validas,denom_vs_prod,variavel,h,ponto,lo68,hi68,lo90,hi90,sig68,sig90,grupo,fomc_coincide,ust2_ter_qua,ust2_qua_qui,sp500_ter_qua,sp500_qua_qui,sd_ust2_ter_qua,sd_ust2_qua_qui,n_fomc,share_z,ano,sem_fomc,com_fomc
regressao_conjunta,bloco US (d_ust2 + r_sp500),copom (todos),95,NA,NA,NA,0.5131780133137228,0.5415,0.006776838707230332,2,0.6719936325444256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
regressao_conjunta,bloco global (US + VIX + Brent),copom (todos),95,NA,NA,NA,0.7850588932782862,0.848,0.019824686003538705,4,0.4321529021325532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
regressao_conjunta,bloco US (d_ust2 + r_sp500),copom rejeitados,33,NA,NA,NA,0.11666055528098314,0.166,0.1074980026004237,2,2.3099703151711717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
regressao_conjunta,bloco global (US + VIX + Brent),copom rejeitados,33,NA,NA,NA,0.18789674162934605,0.627,0.1147713237334267,4,1.65721835318818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
regressao_conjunta,bloco US (d_ust2 + r_sp500),copom com FOMC,35,NA,NA,NA,0.9143124220032179,0.921,0.004669146690398746,2,0.08983420076355611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
regressao_conjunta,bloco global (US + VIX + Brent),copom com FOMC,35,NA,NA,NA,0.7566818903562584,0.851,0.07786754846548757,4,0.4708363728994211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
regressao_conjunta,bloco US (d_ust2 + r_sp500),copom sem FOMC,60,NA,NA,NA,0.223336293958219,0.2725,0.02955297447348705,2,1.5392021267105147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
regressao_conjunta,bloco global (US + VIX + Brent),copom sem FOMC,60,NA,NA,NA,0.40133553711187686,0.672,0.03032334246653139,4,1.0274967026035668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
regressao_conjunta,bloco US (d_ust2 + r_sp500),nao-copom (controle),503,NA,NA,NA,0.6138305709946472,0.7105,0.0027852200905484027,2,0.4885130009675651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
regressao_conjunta,bloco global (US + VIX + Brent),nao-copom (controle),503,NA,NA,NA,0.1547208051295245,0.307,0.011243926644136384,4,1.6739269878353567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
interacao,bloco US x 1(fomc_coincide),95 dias Copom,95,NA,NA,NA,0.4306124108559594,0.4655,0.026039277341496355,2,0.8505736897097319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
interacao,bloco US x 1(jk_bs),todas as quintas validas,598,NA,NA,NA,0.44035328270496604,0.5115,0.008855781490379582,2,0.8213153130988382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xi_mp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full,z_jk_bs_purif,62,10.430830652608899,13.985973327222139,6.312951670141357,8.635575697546008e-5,TRUE,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xi_mp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full,z_jk_bs_noglob,62,10.220190349811345,13.770291598577472,5.9507378079727475,8.672708643629346e-5,TRUE,TRUE,1.0042999965936135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xi_mp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full,z_jk_bs_glob,61,7.718113571513787,11.248512268610948,5.473426389312517,7.389448784515938e-5,TRUE,FALSE,0.8556984552420536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xi_mp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,full,z_jk_us,63,5.435906410274862,13.618790594144697,11.313091171456135,6.303142060637614e-5,TRUE,FALSE,0.7299040945734276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xi_mp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pre_covid,z_jk_bs_purif,31,12.223433503146005,16.219742252022847,3.093447400967736,5.220870247887684e-5,TRUE,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xi_mp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pre_covid,z_jk_bs_noglob,31,12.616229312889987,16.865501896438797,3.2273444401441655,5.401391323203457e-5,TRUE,TRUE,1.0345768170332925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
